Class	GO_Name	GO_ID	GO_Level	P_value	EnrichmentScore	HitsGenesCountsInSelectedSet	HitsGenesCountsInBackground	AllGenesCountsInSelectedSet	AllGenesCountsInBackground	p_adj
MF	aspartic-type endopeptidase activity	GO:0004190	6	4.375553809277122E-7	4.020205479452055	18	146	240	7826	1.4876882951542214E-4
MF	aspartic-type peptidase activity	GO:0070001	5	4.375553809277122E-7	4.020205479452055	18	146	240	7826	1.4876882951542214E-4
MF	transmembrane signaling receptor activity	GO:0004888	4	3.986576180392554E-6	2.557516339869281	28	357	240	7826	4.5181196711115607E-4
MF	signaling receptor activity	GO:0038023	3	5.619326340799979E-6	2.4154320987654323	30	405	240	7826	4.7764273896799825E-4
MF	molecular transducer activity	GO:0060089	2	5.619326340799979E-6	2.4154320987654323	30	405	240	7826	4.7764273896799825E-4
MF	structural constituent of cuticle	GO:0042302	3	6.443337613570854E-6	4.4157118055555555	13	96	240	7826	3.6512246476901505E-4
MF	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0000981	4	2.4962337758727138E-5	2.7390999999999996	21	250	240	7826	0.0012124564054238895
MF	N,N-dimethylaniline monooxygenase activity	GO:0004499	6	6.07361561738573E-5	10.869444444444444	5	15	240	7826	0.0025812866373889354
MF	oxidoreductase activity, acting on paired donors	GO:0016709	5	8.614566717435324E-5	10.190104166666666	5	16	240	7826	0.0032543918710311224
MF	DNA-binding transcription factor activity	GO:0003700	3	1.517282407706988E-4	2.2553314121037467	24	347	240	7826	0.005158760186203759
MF	monooxygenase activity	GO:0004497	4	2.2949071034039648E-4	3.8819444444444446	10	84	240	7826	0.0065022367929779
MF	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0000978	10	3.4060584443407205E-4	2.4765822784810125	18	237	240	7826	0.008908152854429576
MF	cis-regulatory region sequence-specific DNA binding	GO:0000987	9	4.172803968353067E-4	2.4354771784232363	18	241	240	7826	0.010133952494571734
MF	transcription regulatory region nucleic acid binding	GO:0001067	5	4.599505057011344E-4	2.2305374592833873	21	307	240	7826	0.01042554479589238
MF	transcription cis-regulatory region binding	GO:0000976	8	4.599505057011344E-4	2.2305374592833873	21	307	240	7826	0.01042554479589238
MF	RNA polymerase II transcription regulatory region sequence-specific DNA binding	GO:0000977	9	5.6646158981144E-4	2.2488505747126437	20	290	240	7826	0.0113292317962288
MF	sequence-specific double-stranded DNA binding	GO:1990837	7	8.245068997151384E-4	2.1332554517133957	21	321	240	7826	0.015574019216841503
MF	G protein-coupled receptor activity	GO:0004930	5	8.829921042491362E-4	2.5212628865979383	15	194	240	7826	0.01580091133919507
MF	double-stranded DNA binding	GO:0003690	6	0.0010157875960620233	2.0555396370582617	22	349	240	7826	0.016446084888623234
MF	NADP binding	GO:0050661	8	0.0012081885259170866	6.03858024691358	5	27	240	7826	0.018672004491445883
MF	sequence-specific DNA binding	GO:0043565	6	0.0013042187152879636	1.9788698328935799	23	379	240	7826	0.019279754921648157
MF	transcription regulator activity	GO:0140110	2	0.0027793438646457336	1.8370892018779343	24	426	240	7826	0.03048312625740482
MF	endopeptidase activity	GO:0004175	5	0.004662420640176079	1.8848747591522157	20	346	240	7826	0.04529208621885334
MF	extracellular ligand-gated ion channel activity	GO:0005230	9	0.005408751380424848	2.9643939393939394	8	88	240	7826	0.04970203971201211
CC	lysosome	GO:0005764	8	4.008253623122293E-6	4.013921610623259	15	161	145	6247	5.210729710058981E-4
CC	lytic vacuole	GO:0000323	7	5.0441681302970665E-6	3.9404962153069802	15	164	145	6247	3.278709284693093E-4
CC	vacuole	GO:0005773	6	4.579323449249717E-5	3.2804130929459125	15	197	145	6247	0.0019843734946748772
