effector,raw_cluster,cluster
BM00088,7,1
BM00084,7,1
BM00053,8,2
BM00020,6,3
BM00024,6,3
BM00058,6,3
BM00030,6,3
BM00012,6,3
BM00073,6,3
BM00031,6,3
BM00034,6,3
BM00004,6,3
BM00033,4,4
BM00046,4,4
BM00025,4,4
BM00045,4,4
BM00023,4,4
BM00022,4,4
BM00044,4,4
BM00039,4,4
BM00059,4,4
BM00017,4,4
BM00061,4,4
BM00003,4,4
BM00015,4,4
BM00021,4,4
BM00007,4,4
BM00086,4,4
BM00092,5,5
BM00051,5,5
BM00042,5,5
BM00063,5,5
BM00057,5,5
BM00060,5,5
BM00052,5,5
BM00075,5,5
BM00001,5,5
BM00006,5,5
BM00036,5,5
BM00038,5,5
BM00002,5,5
BM00008,5,5
BM00016,5,5
BM00080,3,6
BM00083,3,6
BM00067,3,6
BM00065,3,6
BM00085,3,6
BM00077,3,6
BM00027,3,6
BM00029,3,6
BM00032,3,6
BM00037,3,6
BM00076,3,6
BM00090,1,7
BM00091,1,7
BM00009,1,7
BM00093,1,7
Col-0,1,7
EmptyVector,1,7
BM00071,1,7
BM00010,1,7
BM00011,1,7
BM00064,1,7
BM00014,1,7
BM00062,1,7
BM00018,1,7
BM00019,1,7
BM00028,1,7
BM00056,1,7
BM00055,1,7
BM00035,1,7
BM00078,1,7
GFP,1,7
BM00079,2,8
