effector,raw_cluster,cluster
BM00053,3,1
BM00084,3,1
BM00088,3,1
BM00001,2,2
BM00002,2,2
BM00003,2,2
BM00004,2,2
BM00006,2,2
BM00007,2,2
BM00008,2,2
BM00012,2,2
BM00015,2,2
BM00016,2,2
BM00017,2,2
BM00020,2,2
BM00021,2,2
BM00022,2,2
BM00023,2,2
BM00024,2,2
BM00025,2,2
BM00030,2,2
BM00031,2,2
BM00033,2,2
BM00034,2,2
BM00036,2,2
BM00038,2,2
BM00039,2,2
BM00042,2,2
BM00044,2,2
BM00045,2,2
BM00046,2,2
BM00051,2,2
BM00052,2,2
BM00057,2,2
BM00058,2,2
BM00059,2,2
BM00060,2,2
BM00061,2,2
BM00063,2,2
BM00073,2,2
BM00075,2,2
BM00086,2,2
BM00092,2,2
BM00009,1,3
BM00010,1,3
BM00011,1,3
BM00014,1,3
BM00018,1,3
BM00019,1,3
BM00027,1,3
BM00028,1,3
BM00029,1,3
BM00032,1,3
BM00035,1,3
BM00037,1,3
BM00055,1,3
BM00056,1,3
BM00062,1,3
BM00064,1,3
BM00065,1,3
BM00067,1,3
BM00071,1,3
BM00076,1,3
BM00077,1,3
BM00078,1,3
BM00079,1,3
BM00080,1,3
BM00083,1,3
BM00085,1,3
BM00090,1,3
BM00091,1,3
BM00093,1,3
Col-0,1,3
EmptyVector,1,3
GFP,1,3
