effector,raw_cluster,cluster
BM00088,1,1
BM00084,1,1
BM00053,2,2
BM00058,3,3
BM00024,3,3
BM00030,3,3
BM00031,3,3
BM00034,3,3
BM00012,3,3
BM00020,3,3
BM00061,3,3
BM00073,3,3
BM00007,3,3
BM00004,3,3
BM00033,4,4
BM00086,4,4
BM00023,4,4
BM00001,4,4
BM00044,4,4
BM00014,4,4
BM00003,4,4
BM00017,4,4
BM00015,4,4
BM00021,4,4
BM00051,5,5
BM00046,5,5
BM00060,5,5
BM00042,5,5
BM00038,5,5
BM00063,5,5
BM00036,5,5
BM00022,5,5
BM00016,5,5
BM00006,5,5
BM00002,5,5
BM00008,5,5
BM00057,5,5
BM00075,6,6
BM00078,6,6
BM00062,6,6
BM00059,6,6
BM00091,6,6
BM00092,6,6
BM00010,6,6
BM00052,6,6
BM00045,6,6
BM00018,6,6
BM00039,6,6
BM00025,6,6
BM00029,6,6
BM00035,6,6
BM00056,7,7
Col-0,7,7
BM00019,7,7
BM00028,7,7
BM00055,7,7
GFP,7,7
BM00011,7,7
EmptyVector,7,7
BM00009,7,7
BM00037,7,7
BM00064,7,7
BM00071,7,7
BM00032,8,8
BM00093,8,8
BM00090,8,8
BM00085,8,8
BM00083,8,8
BM00080,8,8
BM00079,8,8
BM00065,8,8
BM00067,8,8
BM00076,8,8
BM00027,8,8
BM00077,8,8
