effector,raw_cluster,cluster
BM00088,1,1
BM00084,1,1
BM00068,1,1
BM00053,1,1
BM00030,4,2
BM00052,4,2
BM00073,4,2
BM00020,4,2
BM00001,2,3
BM00029,2,3
BM00028,2,3
BM00027,2,3
BM00023,2,3
BM00021,2,3
BM00019,2,3
BM00017,2,3
BM00015,2,3
BM00014,2,3
BM00008,2,3
BM00004,2,3
BM00003,2,3
BM00033,2,3
BM00034,3,4
BM00061,3,4
BM00062,3,4
BM00045,3,4
BM00086,3,4
BM00093,3,4
BM00058,3,4
BM00044,3,4
BM00031,3,4
BM00024,3,4
BM00012,3,4
BM00090,7,5
BM00006,7,5
BM00007,7,5
BM00009,7,5
BM00083,7,5
BM00063,7,5
BM00076,7,5
BM00071,7,5
Col-0,7,5
BM00011,7,5
BM00067,7,5
BM00065,7,5
BM00032,7,5
BM00002,7,5
BM00080,7,5
BM00064,7,5
GFP,7,5
BM00059,7,5
BM00057,7,5
BM00056,7,5
BM00055,7,5
BM00036,7,5
BM00037,7,5
BM00038,7,5
BM00046,7,5
BM00042,7,5
EmptyVector,7,5
BM00060,7,5
BM00035,6,6
BM00091,6,6
BM00016,6,6
BM00075,6,6
BM00010,6,6
BM00051,6,6
BM00022,6,6
BM00078,5,7
BM00039,5,7
BM00092,5,7
BM00018,5,7
BM00025,5,7
BM00077,8,8
BM00085,8,8
BM00079,8,8
