effector,raw_cluster,cluster
BM00084,1,1
BM00088,1,1
BM00053,1,1
BM00068,1,1
BM00055,2,2
BM00056,2,2
BM00051,2,2
BM00057,2,2
BM00058,2,2
BM00067,2,2
BM00059,2,2
BM00060,2,2
BM00061,2,2
BM00062,2,2
BM00063,2,2
BM00064,2,2
BM00065,2,2
BM00052,2,2
BM00001,2,2
BM00071,2,2
BM00073,2,2
Col-0,2,2
BM00093,2,2
BM00092,2,2
BM00091,2,2
BM00090,2,2
BM00086,2,2
BM00046,2,2
BM00085,2,2
BM00080,2,2
BM00079,2,2
BM00078,2,2
BM00077,2,2
BM00076,2,2
BM00075,2,2
BM00083,2,2
BM00045,2,2
BM00044,2,2
BM00042,2,2
BM00018,2,2
BM00017,2,2
BM00016,2,2
BM00015,2,2
BM00014,2,2
BM00012,2,2
BM00011,2,2
BM00010,2,2
BM00009,2,2
BM00008,2,2
BM00007,2,2
BM00006,2,2
BM00004,2,2
BM00003,2,2
BM00002,2,2
BM00019,2,2
BM00020,2,2
BM00021,2,2
BM00022,2,2
BM00039,2,2
BM00038,2,2
BM00037,2,2
BM00036,2,2
BM00035,2,2
BM00034,2,2
BM00033,2,2
EmptyVector,2,2
BM00032,2,2
BM00030,2,2
BM00029,2,2
BM00028,2,2
BM00027,2,2
BM00025,2,2
BM00024,2,2
BM00023,2,2
BM00031,2,2
GFP,2,2
