effector,R_area_end_mm2,R_AUC,R_AGR_mean,R_AGR_max,R_RGR_mean,R_RGR_peak,R_RGR_final,R_tt10,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00001,-0.937468059565428,-0.8644311732311724,-0.8750493534522644,-0.7387396037530188,-0.73938068824531,0.1257601221208976,-1.0294744234448086,0.05609840647740736,-0.6889319589862193,-1.5762786805139444,-0.8628940893680396,-1.5078107761916284,0.42673630261091594,0.05284471287773295,-0.3767005026836392,0.3043265772890777
BM00002,-0.9782561658636305,-1.0834802102760457,-0.9987456250974853,-0.9806405946078436,-0.831665170292665,-1.5025355576802903,-0.4299551680631846,0.4460602946048934,-0.2466710835893323,-0.8630145225726822,-0.23950071631159367,0.01211867037495531,-0.27644125102550415,0.939968377831804,0.4860469223265314,0.27538513036408596
BM00003,-1.627301101917195,-1.2199637302922086,-1.6102143924872914,-1.6128640289789968,-1.519427353546722,-0.6649922585566935,-0.1479432148124965,0.8195137331344904,-1.401681679859075,-1.886036736536261,-1.5154671069827181,-1.8084860559928249,0.015252619171050124,-0.6513071250360809,-0.48430957627830507,0.6806844232157456
BM00004,-2.587759982586059,-2.1143470559699247,-2.408640359243829,-2.3470698237470446,-0.6259415110424844,-1.5157693768792306,1.6073019535766881,0.12383560615363085,-2.600224010634965,-2.7209780180084437,-1.6805608629672182,-1.955934122068991,0.21195055304205423,-0.7781759624850939,-1.2727582934425692,0.08892865261905647
BM00006,-0.740143184501427,-0.9092131426386677,-0.7164969801897084,-0.679697951875805,-0.8691975519171484,-1.0366349034130404,-1.113610607255291,-0.056035909632112954,0.06178138198832156,-0.4968298355196244,-0.07766131756791261,-0.4134863035585101,0.6473559216946093,-0.20315001718039763,0.4295746956777774,0.19366476697730808
BM00007,-1.844595359638976,-1.5766229301659562,-1.7195403277574495,-1.932101592214185,-0.6251226309801862,-1.13213511321024,-0.5191580904137495,0.9366878318807211,-0.12365058482591708,-1.3209205121332872,-0.04294801492272247,-0.5206940822081382,0.531632055706873,-0.19534025373162864,0.616313364339774,0.5499580210754732
BM00008,-1.1943375696303,-1.0585380500245334,-0.9445786206001451,-1.2169953819120372,-1.7698285817491166,-2.9294638576679164,0.424028775143579,-0.09458021940172147,-0.7430995805011502,-0.8618664189563189,-0.9228971701868567,-1.5168587450867894,-0.37039798543705543,0.06447874873954883,-1.0252546111980416,0.49218637392970016
BM00009,-0.5082768143922419,-0.8709941659800483,-0.5889547719361773,-0.2998385427639943,-0.35946800744266844,0.5824086542175215,0.7097022634799556,-0.8756019175278549,0.07281212715081964,-0.5159915915618929,0.015704839438229565,-0.43271589135965566,0.01858081764708115,-0.5164005591947708,-0.3330920036636371,-0.10151250221122371
BM00010,-0.47497941449932324,-0.3246435812217513,-0.48663648093805933,-0.6921370417039152,-0.7235246237739331,-0.4855036325524538,-0.4443745114161497,-0.1127355611961989,-0.4038209067018531,-0.39608123074592017,-0.4941951822572132,-0.9540615754386962,0.9549224323698666,1.2513082271591753,-1.175243266426294,0.06236787719551934
BM00011,-0.53778225540056,-0.6694310657934397,-0.46525116800115474,-0.1438777603943947,-0.094958071760222,0.2609027125780691,0.3245875034205798,0.7984261338503552,0.08079689570944953,-0.6560059675431315,-0.14035051125175046,-0.8759720675359159,0.7368197897716148,0.3011163834375451,-0.446575912993725,0.767476420170729
