effector,R_area_end_mm2,R_AUC,R_AGR_mean,R_AGR_max,R_RGR_mean,R_RGR_peak,R_RGR_final,R_tt10
BM00001,-0.937468059565428,-0.8644311732311724,-0.8750493534522644,-0.7387396037530188,-0.73938068824531,0.1257601221208976,-1.0294744234448086,0.05609840647740736
BM00002,-0.9782561658636305,-1.0834802102760457,-0.9987456250974853,-0.9806405946078436,-0.831665170292665,-1.5025355576802903,-0.4299551680631846,0.4460602946048934
BM00003,-1.627301101917195,-1.2199637302922086,-1.6102143924872914,-1.6128640289789968,-1.519427353546722,-0.6649922585566935,-0.1479432148124965,0.8195137331344904
BM00004,-2.587759982586059,-2.1143470559699247,-2.408640359243829,-2.3470698237470446,-0.6259415110424844,-1.5157693768792306,1.6073019535766881,0.12383560615363085
BM00006,-0.740143184501427,-0.9092131426386677,-0.7164969801897084,-0.679697951875805,-0.8691975519171484,-1.0366349034130404,-1.113610607255291,-0.056035909632112954
BM00007,-1.844595359638976,-1.5766229301659562,-1.7195403277574495,-1.932101592214185,-0.6251226309801862,-1.13213511321024,-0.5191580904137495,0.9366878318807211
BM00008,-1.1943375696303,-1.0585380500245334,-0.9445786206001451,-1.2169953819120372,-1.7698285817491166,-2.9294638576679164,0.424028775143579,-0.09458021940172147
BM00009,-0.5082768143922419,-0.8709941659800483,-0.5889547719361773,-0.2998385427639943,-0.35946800744266844,0.5824086542175215,0.7097022634799556,-0.8756019175278549
BM00010,-0.47497941449932324,-0.3246435812217513,-0.48663648093805933,-0.6921370417039152,-0.7235246237739331,-0.4855036325524538,-0.4443745114161497,-0.1127355611961989
BM00011,-0.53778225540056,-0.6694310657934397,-0.46525116800115474,-0.1438777603943947,-0.094958071760222,0.2609027125780691,0.3245875034205798,0.7984261338503552
BM00012,-1.422358893261198,-1.5017814240252265,-1.115471294778062,-1.1230228870368326,-0.860462670275737,-1.6674044263998662,1.126722500066942,1.4280067893924688
BM00014,-1.2918796472004002,-0.7928793710006118,-1.2066594674991833,-1.4704985096028167,-0.4076898049806193,1.8881423600104883,-0.9002744024907666,-0.7847640407853733
BM00015,-1.4422861936528684,-1.2701560660999214,-1.3731271502195583,-1.435609109947579,-0.5320090705099444,-0.6619159034504397,-0.27604471982051454,0.5199200758637086
BM00016,-1.1056178749814258,-0.7068999692004656,-1.0873500830933163,-0.9791055113638375,-0.15858016079655385,-1.7801842690322,-0.4826557970036555,0.7128299702179173
BM00017,-1.1087792650137365,-0.7533976060401952,-1.1906558127727496,-1.2581673225875867,-0.5987689309082774,-0.40712942414586023,-0.38864217797779477,-0.0014172969275037719
BM00018,-1.1065346392648845,-0.7249161282889761,-1.0001722700821405,-1.2849205564459572,-0.4566154882530984,0.2693980274933774,0.08992197964882559,-0.42207327824466034
BM00019,-0.025460961510841575,-0.09728896874869877,-0.3471844673408137,-0.3228583227852313,0.4230413488835332,-0.0070027156900941915,0.10709379436375227,-0.7100019538684135
BM00020,-1.9982175738720083,-2.108069624585884,-2.008694722512556,-1.9525547322510834,-2.477914080712895,-1.9830871209664258,0.23074342793388866,0.5479460680593884
BM00021,-1.3144849371116716,-1.5689436354475754,-1.2299850527808032,-1.1763064040496367,-0.24478480069401234,0.13617279629651327,-0.08966035312131995,0.35138114476283844
BM00022,-1.4211498331038752,-1.0531368367168996,-0.9637997915077402,-1.7987102106035258,-0.8967334948098654,-1.314802229749984,-0.7735943859841522,-1.0990241640874754
BM00023,-1.3249774800736753,-1.1434909330238705,-1.2783566066380285,-1.794246420312241,-1.6502630874161026,-1.1227291454447614,-1.4065284689128275,-0.45149954505771395
BM00024,-2.067733810842944,-2.035895627200929,-2.0086938954474207,-1.597200584027786,-1.2567109089436153,-1.9563427575161045,0.31987140496339256,1.6992832140287972
BM00025,-1.6052129572188845,-1.0268828180444345,-1.5808361204186137,-2.2204569942855246,-0.8003904345476929,0.12374266899779214,-1.5529931122973548,0.5989888853280508
BM00027,-0.17996307747513013,0.4000182591592398,-0.05271531526563027,-0.6792103904657235,-0.7467336778229436,-1.10014074028211,-1.9582509834239523,-0.15380809816208182
BM00028,-0.4662938184846857,-0.20859272385796673,-0.49488539528688436,-0.4828392299186797,-0.08538678251199082,0.18429228909400722,-1.1096475003828075,-0.8468276777417795
BM00029,-0.0374460521355052,0.3777130820890826,0.040092509321296266,-0.15795423058231597,-0.8668650249264055,-2.1848761342203047,-1.2639921454940826,-0.2766485248333272
BM00030,-3.135521563533904,-3.156128865520444,-3.0535114090712687,-2.9706395903800624,-0.3277426973319135,-1.295802812746155,0.029200624007302757,2.348885512329592
BM00031,-1.4697630673533943,-1.9203838192527918,-1.435510510778751,-1.020472028028073,-0.9084947896697896,-0.9504193095294037,0.842696018291365,2.0855517682388536
BM00032,0.8868739477609505,1.0765029809771098,0.9324472797334401,0.32676311791568163,-0.05410630841370618,-0.7507500847015186,-0.9004572895370422,-0.13926724917540856
BM00033,-1.8790024028795622,-1.4165704719555485,-1.711654848803257,-2.188832867019902,-1.5641467102104347,-0.7465374336839696,-0.8203117522335185,0.09842131821255701
BM00034,-1.5094774197318712,-1.2285014321529397,-1.5284754374092606,-1.207901155452776,-1.617010153793587,-2.0250696650154727,-0.4804328028246195,1.1267997290617784
BM00035,-0.3248908592281293,-0.08575273420640613,-0.30393670248491245,-0.3951204738974869,-0.6377675754348449,-0.5256537208074724,-0.0651467532202591,-0.5003903319399559
BM00036,-0.7939042511393117,-0.7145010342662939,-0.8193332329818376,-1.0264910438963852,-0.8576422980303676,-0.6524238472535403,-1.1834394820152825,-0.04418468613412992
BM00037,0.14680792698847328,0.17187292982671434,0.13361168650497915,-0.02654676958483866,-0.5556560290951474,-0.23431133812129398,-1.34341760235503,-0.6294772215993374
BM00038,-0.7029403936194962,-1.1177510763869003,-0.6708850205431395,-0.45595751926035744,-1.1821126567743352,-0.9989091396255746,-0.2843491985448805,0.5063235852123886
BM00039,-1.3962615805263423,-0.9980748345486439,-1.2525918214580845,-1.641288094739972,-0.38963313882930734,0.08909888533183301,-0.6113664565581173,0.5270400341528984
BM00042,-0.8408299222192477,-0.5927702303050415,-0.7596378509611,-1.3929670484316785,-1.2009098545798467,-1.4199948405132554,-0.9631726255551313,0.3626015830447274
BM00044,-1.7235266745603446,-1.7573752229210178,-1.711140297887129,-1.6985231326543169,-1.318022486948695,-0.9138651621804865,-1.6539244658218661,1.0971679158605971
BM00045,-1.8712246527337857,-1.6594595005775876,-1.8436868403886286,-1.3595692331211149,-0.41375899424688967,1.1067722049654676,-0.1515174415833192,0.6181586498609772
BM00046,-1.3515413031404102,-1.095080541388743,-1.3759930508900509,-1.476702594397791,-1.740080958177493,-0.7777386080778981,0.10403459286240747,0.11697343804379519
BM00051,-0.6680789148567229,-0.7678365294998173,-0.7234052464592936,-1.1133530072385782,-1.0876351579001844,-1.109438205215287,-0.39267767231055356,0.10446975888055092
BM00052,-0.7968913020787773,-0.7628385888411865,-0.7557711851393935,-0.967590885312944,-1.6943577305763817,-0.4440848035472851,-1.214689975657348,0.8275488193298381
BM00053,-4.132281394921652,-4.087486631635298,-4.094491727450543,-3.589097834167423,-5.3935362868528545,-0.6373745044130853,3.964906498072428,5.098837467176973
BM00055,-0.7919529559855676,-1.0783824519156617,-0.7577581070209631,-0.7420008336383029,0.22460037017906567,1.0370208736855824,0.15758114899617884,0.6574643220368569
BM00056,-0.2604003060277717,-0.46036395740419345,-0.3428492374666562,-0.5608722035633072,0.10570634840667367,1.6893203281525633,-0.01209961940516442,0.8783304983620931
BM00057,-1.058522587063876,-1.0340051938350217,-0.9899337132158775,-1.065322648773659,-0.08801455062142712,-0.7809452379663587,0.6234416910237792,0.8242512618654833
BM00058,-1.61634012344744,-2.0430955267248496,-1.7025010705689,-1.6907166674803666,-0.7816936863328378,-0.9235014557609059,0.9160998445494019,2.2486465193819245
BM00059,-1.2177846458884265,-1.3457297261354708,-1.1647870302784071,-0.8630973639704704,-0.836324769997735,-0.17540111016105128,-0.49894271977929233,1.2618475479912636
BM00060,-1.233738408856101,-1.412988136411774,-0.8498278244750639,-1.1423553632646632,-0.5350098315846893,-1.7560475712826493,-0.05801394526042803,1.1802519959148878
BM00061,-1.847166956580684,-1.7491169163890257,-1.6649247466151034,-1.8104289860570861,-0.703387520469971,-1.2733387289866225,0.0698128028680462,0.7645921215962964
BM00062,-0.4467850652679092,-0.563637965540962,-0.29016064916825834,-0.6156117093521335,-0.5917278293554801,-0.1020685857942477,0.29367903839675824,0.6213884175715058
BM00063,-0.919097078264656,-0.5805369403674501,-0.7914337829866591,-0.9624761103185927,-1.2359507397822191,-2.1173128482139454,-0.7687902118538634,-0.21441601987879558
BM00064,-0.6317805748052789,-0.3708436850394574,-0.552597418443079,-0.8685623188713496,-0.6519611934993071,0.013466871861376989,-0.15695050841912436,-0.10689224091379583
BM00065,-0.21250555231254167,-0.011712776120207595,-0.08715844896578691,-0.09136317658921879,-1.4932604340343625,-1.312845766639983,-0.7188479799861768,-0.016367220367513858
BM00067,0.6287219586181816,0.5559703632220457,0.4708947036234757,1.2892282639117287,-0.9721592061637228,-1.3884416743653218,-0.763565866458284,-0.5980975862180119
BM00071,-0.4002034799763994,-0.04543539136928069,-0.3429054048895132,-0.7219435733062283,-0.08882573219982456,-0.24003923119195764,-0.518096791342178,-0.37714563215717634
BM00073,-2.602274453165435,-2.5007390629575323,-2.611268210365616,-2.8118785757319547,-2.1810644618152977,-0.5095397082017323,-1.4038329525843922,1.4354441248421217
BM00075,-0.6723406678047482,-0.6511956233585128,-0.615547939429571,-0.5155341755518146,-0.4243029343815787,-0.898100857058596,-0.10580343885869793,0.41720787989413166
BM00076,-0.32494651444341044,-0.2650798535951371,-0.1434500428891945,-0.46331225059904274,-0.5406265147622791,-1.7291248063333204,-0.27920789836285487,-0.08306922333941456
BM00077,0.8916212452289443,1.0213684746851721,1.624923949627737,1.7485699785824356,-0.44845742475034606,-1.6356978429577311,-0.7825830498380478,-0.3489698504852747
BM00078,-0.37475233976224437,-0.5384321559638965,-0.4813793838423566,0.8305850412690262,-1.6660269121191345,-0.22770381544448812,0.4282773819109147,0.18139008270810958
BM00079,1.277399063066378,1.3263223351031452,1.3640534885596096,0.5320420565967934,0.5080293158403096,2.0219896265235975,-0.6628298056048662,-1.0698016085240158
BM00080,0.05556693347675746,0.2294045132712871,0.14458916480585252,0.1590437590735755,-0.7582648135811978,-1.2007110161757573,-1.548467148158674,-0.6245351615721063
BM00083,-0.11226254701078366,0.3910067849615057,-0.10816653545219032,-0.5992349485781446,-1.350604970687416,-1.8970873620589406,-0.18295406222865807,-0.8980796385336666
BM00084,-3.6501025614654523,-3.251695269320246,-3.56879693466364,-3.663594367608159,-3.580727495609036,-2.198157437685066,-3.977315746525868,0.6826710591045551
BM00085,0.11152177845481083,0.7414155315365958,0.1336723221217045,-0.1461933534572204,-1.4540753782482105,-1.8094163882769063,-1.1320833925975373,-1.4272026939569118
BM00086,-1.2473418800532532,-1.1435198009448921,-1.1699972455442704,-1.4201167397534193,-2.1328069274037493,-0.961021178380504,-1.2366323286332144,-0.22283867184725664
BM00088,-3.900765927333646,-3.30570683642574,-3.785044487032995,-3.4998020189383108,-4.940265406350211,-2.493550416698073,-3.1330489885561725,2.6173941988220557
BM00090,0.08519419242432438,0.37752797106935554,-0.012678246877259923,0.41187169578367694,-0.6494837588835803,-0.6258898508076917,-0.11653545536303753,-0.4111626090408279
BM00091,-1.2107932406625819,-1.3401746710047364,-1.3137667745057502,-0.7033957509606695,0.04158158530171157,0.3940236382890377,0.212886831255249,-0.9968684628407787
