effector,S_area_end_mm2,S_AUC,S_AGR_mean,S_AGR_max,S_RGR_mean,S_RGR_peak,S_RGR_final,S_tt10
BM00001,-0.6587550631146009,-1.5066482181571004,-0.8195785130993217,-1.4341979797905033,0.3563131307090382,0.04910013224851341,-0.3770428439675627,0.26596122941704514
BM00002,-0.23586629001440762,-0.8248917585143534,-0.22747825414430137,0.011527025037854632,-0.23082087698507622,0.8733621425429183,0.4864886364369479,0.24066832574150662
BM00003,-1.3402846122001648,-1.8027230359765383,-1.439393656180293,-1.7201939984374848,0.012735519465061195,-0.6051554494706254,-0.48474971150769397,0.5948730066764015
BM00004,-2.4863278730145257,-2.600781659459102,-1.596200032210582,-1.86044350575602,0.17697290961154466,-0.7230343508353542,-1.2739149622157653,0.07771773990839823
BM00006,0.05907520715240637,-0.4748828970831883,-0.07376287305926416,-0.393299497920083,0.5405244731483524,-0.18875479052982624,0.42996508844819237,0.16925015218478265
BM00007,-0.11823438838723355,-1.2625702298301025,-0.040792109535379206,-0.4952732879903981,0.4438982130069947,-0.18149842755078277,0.6168734631634926,0.48062680793751233
BM00008,-0.7105500110254872,-0.8237943711746416,-0.8765695579619429,-1.4428042179972784,-0.30927217813885133,0.059909779388063036,-1.0261863513402651,0.4301382228221138
BM00009,0.06962277884064018,-0.49319820259022706,0.014916487566480383,-0.4115902784424673,0.015514474082608488,-0.47980837379766406,-0.33339471402209564,-0.08871518922138696
BM00010,-0.3861325685526744,-0.37858475656997426,-0.4693875617479886,-0.9074833564633069,0.7973340898822637,1.1626404249621147,-1.1763113146128097,0.054505385112307576
BM00011,0.07725779511065899,-0.627027589929102,-0.13330519323487644,-0.8332062546907113,0.6152243539056798,0.2797792521493176,-0.44698175628391035,0.6707234513511076
BM00012,-1.1771049699978047,-1.6466223664235886,-0.8260785925957335,-1.1549656372394912,0.4615007111508512,0.1530927324818708,1.0652865474754425,0.9367890597260151
BM00014,-0.8198284814403377,-1.0616029421475521,-0.9482113137901835,-1.312474576092623,-0.37754671627705244,-0.330796525939778,-0.42539436838409267,0.5361519232434862
BM00015,-0.9964301003888867,-1.4760459206999628,-1.002704180147691,-1.253324796185344,-0.22546128437273105,-0.22891218341028097,-0.5723529368587371,0.3993510060077717
BM00016,-0.052437961527555754,-0.7950071148563093,-0.3931995826899468,-0.6349898897534038,0.7772236718506035,1.1690241158836494,0.25970923918045447,0.6390496661834436
BM00017,-0.8603063269233544,-1.2389936068427405,-1.0118886196261498,-1.5391928851654644,-0.08166826625926843,-0.24589009678706794,0.22220906943224508,0.30185782438003317
BM00018,-0.9627191297378244,-2.426912125862368,0.3222288136231552,0.09748413916225879,1.9513953230149554,2.236529539440297,2.1472803176846385,1.3867573275586367
BM00019,-0.6002436894179792,-0.7317452620273559,-0.7224468855770587,-1.341524646825085,0.04668659644553618,-0.35145811319948955,-0.1296763502243992,0.10960682349946706
BM00020,-1.8951360409827636,-2.3638779618356267,-2.018665246717886,-2.4376605298597136,-0.13473819007827412,0.08983345188236846,0.9349047137489561,0.5569527973141936
BM00021,-1.2918946923709689,-1.896712376240472,-1.380220311216587,-1.5482296562634907,0.4941364605058038,0.22159797672445544,-0.7108825286653919,0.7840084902970537
BM00022,-0.5053108979178156,-0.8996401790836562,-0.4626540099281041,-0.97895932256736,0.55368383030231,0.9932753123635343,-0.19211005826302976,-0.28203132557235705
BM00023,-1.1292732717843341,-1.9126332508531747,-1.3417381568113536,-1.4314037496376284,0.6819276741254673,0.0660998570350609,0.22616856602346117,0.8426120598141371
BM00024,-0.8658851029574437,-1.903122273906222,-1.0251658308330382,-1.6205590894638011,-0.26510007588228973,-0.20550810465232458,2.386916909831704,0.9301134533418158
BM00025,-1.108464707649655,-1.6622768797695897,-1.2455489736912042,-1.5322559195042627,0.8789792724146998,1.9296027595301242,0.7713688521110394,0.6731138535484096
BM00027,-0.4021160917472469,-0.9931884642973161,-0.3717374164461678,-1.3154569918280834,-0.6168925816248834,-0.3422501009415798,0.5204080902777658,-0.12266936648540021
BM00028,-0.8414080192657054,-1.1225713518916682,-0.5994982688384958,-0.8058373874927047,0.11970356097990771,-0.22621657834433892,-1.2086707159181804,0.027371115449001275
BM00029,-1.883834982030526,-2.2014306262696173,-0.5262019725777525,-1.3000113966708977,1.1675083793899692,1.3152493734166861,-1.4485003408215478,2.5798374063254896
BM00030,-1.9499726488116196,-2.754305414006079,-2.1430979570771367,-2.2020888068890065,-0.5980620399968898,-0.08801899018237264,1.2860758747196845,1.6733525110213574
BM00031,-0.8691230474667837,-1.6940333652169426,-0.827759689781899,-1.0362424352107729,1.065855887654046,0.2812241392995689,1.2567583594518563,0.8441536844697821
BM00032,0.6006349114535108,0.2170392968650575,0.320472790633685,0.3373224941571266,0.1916829014079843,0.061957256469671304,-1.4097851082449315,0.08854591506226708
BM00033,-1.3350819691166227,-2.0909246739715677,-1.5025727332245802,-1.7332471451078872,-0.020451778722016024,0.05454418650182458,0.6146237667231602,0.7654187616873456
BM00034,-0.34459136780693495,-1.4378942603560951,-0.457699551110447,-0.3675375785584619,1.0753591306903314,0.44399581071560906,1.3481143292031628,0.5636182311380779
BM00035,0.438113115556095,-0.8708257534336036,0.08778910351425222,-0.6847360652207032,1.1741077988840942,1.4694688847443236,-0.287210066123558,0.47189658400100093
BM00036,0.6595268943776466,0.07198487726930967,0.6229627829918482,0.09817199415088923,0.3947611620529872,-0.14359988889561182,-0.9859318154203115,0.30936649196419747
