effector,replicate,n_timepoints,days_post_inoculation,area_end_mm2,AUC,AGR_mean,AGR_max,RGR_mean,RGR_peak,RGR_final,dpi_to_10mm2,outliers
BM00001,1,13,28,56.83856485,507.8687168,2.008584137,5.454244604,0.144636314,0.35341908,0.086449478,12.1444565,FALSE
BM00001,2,12,28,126.2901705,960.9788215,4.17105242,12.049387,0.146014734,0.227148673,0.11239863,10.89053177,FALSE
BM00001,3,10,21,46.83144905,418.7831087,2.161410694,6.181559047,0.136901813,0.234070366,0.011627872,8.730928461,FALSE
BM00001,4,12,28,108.3236835,1108.730208,3.727510407,8.062540671,0.128956567,0.208301822,0.058568417,7.410507302,FALSE
BM00001,5,11,28,145.7019503,1503.37116,4.790245305,8.898042372,0.205188419,0.376380058,0.067457956,6.850552807,FALSE
BM00001,6,13,28,101.6617054,806.7848933,3.543703118,10.67645294,0.139015856,0.190156649,0.084575074,11.02538756,FALSE
BM00001,7,11,25,125.5693709,1071.863315,5.271539047,11.60259089,0.176023767,0.314364342,0.069197024,7.280741259,FALSE
BM00001,8,13,28,104.0936704,973.7878398,3.596032759,7.981930699,0.135357698,0.304336777,0.081168202,8.373180392,FALSE
BM00001,9,13,28,132.7495792,1187.599785,4.554453846,9.529323377,0.162780922,0.301570276,0.080840288,7.446808026,FALSE
BM00001,10,13,28,34.30783547,362.9191017,1.168348376,2.239024393,0.124317149,0.499894572,0.059073251,13.49951677,FALSE
BM00001,11,13,28,120.9333452,1013.966685,4.260544122,9.352680175,0.194686622,0.343911169,0.071271978,10.27715254,FALSE
BM00001,12,12,28,0.603323459,16.42831188,0.019877769,0.504037035,0.025783719,0.594308708,-0.065102917,,TRUE
BM00002,1,13,28,121.5527825,1191.074243,4.203398,8.437451604,0.148781736,0.295092551,0.065622082,7.386503322,FALSE
BM00002,2,13,28,125.5937266,1140.862798,4.398105109,9.650095992,0.151107627,0.341547364,0.078785477,8.022214405,FALSE
BM00002,3,13,28,139.5993543,1348.004997,4.925585344,9.83253456,0.154761783,0.264893636,0.06703391,6.7592137,FALSE
BM00002,4,12,28,1.476447247,47.95710156,0.020139555,0.523739733,0.025587135,0.37215745,-0.10349757,,TRUE
BM00002,5,13,28,82.592211,699.8891128,2.879553777,7.863083327,0.137748914,0.27199192,0.077821463,11.45256427,FALSE
BM00002,7,13,28,101.4285214,831.8226829,3.526364448,8.690179795,0.150720318,0.291720597,0.099034825,11.06168213,FALSE
BM00002,8,13,28,65.07398133,637.7361567,2.174132998,6.212020683,0.124649365,0.21988225,0.112469482,9.639232529,FALSE
BM00002,9,13,28,137.1635452,1244.841571,4.723276456,9.168895177,0.147206669,0.229727161,0.07275883,9.159817361,FALSE
BM00002,10,13,28,78.42057355,653.0661522,2.545277449,7.475096835,0.107330348,0.207042824,0.112272952,11.58941008,FALSE
BM00002,11,12,28,112.9542002,972.5488689,3.686368363,8.286789997,0.138817385,0.188273496,0.082859977,9.485649233,FALSE
BM00002,12,13,28,85.4247184,872.1923093,2.970862459,7.218922882,0.12368627,0.199830641,0.055479808,8.264833346,FALSE
BM00003,1,13,28,2.045220957,56.27625746,-0.007848253,0.50380956,-0.005410061,0.210887994,0.163301071,,TRUE
BM00003,2,12,28,124.2396759,1225.929874,4.437253627,7.58717838,0.124616461,0.269488115,0.0582711,7.104144047,FALSE
BM00003,3,12,28,75.08775866,594.740836,2.438433798,8.611980018,0.134833059,0.209325975,0.140570417,11.13210116,FALSE
BM00003,4,13,28,88.99346317,796.7629671,3.005761587,7.381917257,0.126980572,0.199190062,0.09538195,9.670085252,FALSE
BM00003,5,11,28,64.48499908,581.1151073,1.772262742,5.150882097,0.092621226,0.142676048,0.091317428,11.47647935,FALSE
BM00003,6,12,28,142.687872,1278.660526,4.579455023,10.0670041,0.164099631,0.317842716,0.071904695,7.437616252,FALSE
BM00003,7,13,28,2.587450236,28.52385079,0.090384293,0.68303156,0.081168406,0.566021724,0.523302992,,TRUE
BM00003,8,12,28,97.63000453,983.9048195,3.009267004,6.540994963,0.103409161,0.283797778,0.039665184,10.10888468,FALSE
BM00003,10,12,28,76.38914844,610.3941898,2.338352789,6.240656973,0.153284581,0.372589666,0.105011273,13.55856826,FALSE
BM00003,12,13,28,89.35285561,1028.825189,3.093629438,5.264319847,0.140142127,0.3221852,0.057027396,5.991324692,FALSE
BM00004,1,1,0,0.570322124,0,,,,,,,TRUE
BM00004,2,11,25,31.99592795,496.7395433,1.138000337,3.177944836,0.12413797,0.26118561,0.017266472,7.885709924,FALSE
BM00004,3,12,28,105.4684949,885.8657124,3.153179973,9.057427417,0.148879094,0.232508234,0.11220993,9.563960112,FALSE
BM00004,4,1,0,1.290149667,0,,,,,,,TRUE
BM00004,6,7,14,20.39237215,96.37698401,1.297945111,3.024413306,0.193132795,0.286078711,0.196222168,10.46503633,FALSE
BM00004,7,13,28,93.02360066,864.0521069,3.168645818,7.491762658,0.14438679,0.229286544,0.092185157,8.103492298,FALSE
BM00004,12,3,4,5.360566922,19.01789069,0.197741367,0.408352883,0.039910937,0.082646307,0.082646307,,TRUE
BM00005,7,1,0,3.276338625,0,,,,,,,TRUE
BM00006,2,13,28,129.3487853,1301.61142,4.453217643,9.234111881,0.15469625,0.284022102,0.076664415,6.380593573,FALSE
BM00006,3,3,4,1.148799409,4.974407365,-0.024603374,0.020992311,-0.020548495,0.016554283,-0.057651274,,TRUE
BM00006,4,13,28,113.0303943,957.6403046,3.842383969,8.627190173,0.154309953,0.233873443,0.075466267,9.493538731,FALSE
BM00006,5,13,28,74.42922055,661.5514953,2.580467525,6.400060999,0.14259952,0.270951715,0.063588078,11.52287604,FALSE
BM00006,6,11,28,95.25899871,949.2634858,3.340152594,6.484383084,0.101041685,0.18657592,0.072688364,8.052395798,FALSE
BM00006,7,13,28,149.3162971,1478.262011,5.146802529,9.818327173,0.142103329,0.249922078,0.067882001,5.813887793,FALSE
BM00006,8,11,28,130.8650951,1383.59405,4.836669783,10.27872588,0.124877281,0.254631154,0.062313857,5.790780299,FALSE
BM00006,9,13,28,88.13405604,675.9100693,2.944398221,9.092810961,0.137365019,0.285413147,0.123451598,11.99158782,FALSE
BM00006,10,12,28,37.2967145,389.1201599,1.187302214,2.857292821,0.099100456,0.256302746,0.049963246,13.28710847,FALSE
BM00006,11,12,28,114.5728839,968.9120847,3.923198654,8.964882425,0.150872853,0.300496354,0.08917915,9.06911181,FALSE
BM00006,12,13,28,131.0051975,1317.460124,4.552478837,9.690828212,0.15289153,0.312063723,0.043658071,6.981407098,FALSE
