GeneID	WTLPmock_1	WTLPmock_2	WTLPmock_3	WTLPmock_4	WTLPmyc_1	WTLPmyc_2	WTLPmyc_3	WTLPmyc_4
AGIS_Os01g000010	306	259	404	321	442	306	540	432
AGIS_Os01g000020	0	6	8	24	0	8	12	20
AGIS_Os01g000030	80	101	239	93	70	52	122	224
AGIS_Os01g000040	878	883	1498	1038	948	787	1162	701
AGIS_Os01g000050	391	566	560	481	388	263	496	239
AGIS_Os01g000060	2469	3485	4892	3563	4528	2783	4321	3674
AGIS_Os01g000070	160	305	248	120	300	145	159	143
AGIS_Os01g000080	1639	1768	2086	1909	2185	2670	3275	2568
AGIS_Os01g000090	0	0	0	0	0	0	0	0
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	12	22	18	7	0	14	40	10
AGIS_Os01g000120	21	0	67	19	41	6	83	51
AGIS_Os01g000130	91	143	259	196	159	70	75	120
AGIS_Os01g000140	258	260	479	344	494	245	565	320
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	569	432	740	536	583	371	980	639
AGIS_Os01g000170	292	225	431	317	211	195	302	155
AGIS_Os01g000180	239	608	539	546	679	633	956	561
AGIS_Os01g000190	1444	2312	2197	2276	3643	3086	4365	2462
AGIS_Os01g000200	174	222	313	298	703	515	817	571
AGIS_Os01g000210	0	0	6	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	6	0	0	0	0	0
AGIS_Os01g000260	0	0	0	0	0	0	0	0
AGIS_Os01g000270	0	6	0	0	0	0	0	0
AGIS_Os01g000280	16	16	34	42	42	24	71	54
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	219	241	366	275	304	130	405	229
AGIS_Os01g000310	330	320	550	365	552	338	539	341
AGIS_Os01g000320	1464	2198	2491	1579	2215	1329	2406	1533
AGIS_Os01g000330	267	429	456	377	502	434	576	463
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	74	106	38	52	44	55	58	41
AGIS_Os01g000360	97	344	241	194	282	209	166	269
AGIS_Os01g000370	130	153	242	160	226	73	81	124
AGIS_Os01g000380	62	44	162	205	44	8	81	54
AGIS_Os01g000390	1073	1410	2150	1388	1785	1027	1848	1203
AGIS_Os01g000400	74	110	103	134	141	66	178	102
AGIS_Os01g000410	345	344	726	556	341	398	507	379
AGIS_Os01g000420	254	266	422	338	156	148	172	158
AGIS_Os01g000430	569	670	1097	642	556	392	709	458
AGIS_Os01g000440	946	783	1118	941	773	648	908	645
AGIS_Os01g000450	119	373	237	275	109	100	167	139
AGIS_Os01g000460	0	0	0	4	0	0	0	4
AGIS_Os01g000470	4373	6450	8583	7382	5055	2864	4079	3978
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	155	160	217	133	151	156	234	166
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	337	366	455	301	463	414	555	451
AGIS_Os01g000530	866	1153	1371	1035	689	329	766	1078
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	4	0	0	0	0	0	0
AGIS_Os01g000570	221	267	275	252	172	161	268	327
AGIS_Os01g000580	230	373	281	351	260	120	313	314
AGIS_Os01g000590	1	10	1	3	4	0	0	1
AGIS_Os01g000600	2	10	0	0	0	0	0	0
