ID,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTLPmock_1,CPM.WTLPmock_2,CPM.WTLPmock_3,CPM.WTLPmock_4,CPM.WTLPmyc_1,CPM.WTLPmyc_2,CPM.WTLPmyc_3,CPM.WTLPmyc_4
1,AGIS_Os01g000010, 6.164424e-01, 4.0397926769, 8.511614e+00,1.424777e-02,7.771453e-02,Not_significant,1.547678e+01,9.947350e+00,1.297081e+01,1.362534e+01,1.908659e+01,1.860742e+01,1.978032e+01,2.144610e+01
2,AGIS_Os01g000020, 5.595654e-01,-0.9731279667, 1.458634e-01,7.106695e-01,8.540588e-01,Not_significant,0.000000e+00,2.304405e-01,2.568477e-01,1.018717e+00,0.000000e+00,4.864685e-01,4.395627e-01,9.928750e-01
3,AGIS_Os01g000030,-1.961019e-02, 2.3932423371, 1.994416e-03,9.651941e-01,9.845037e-01,Not_significant,4.046218e+00,3.879082e+00,7.673324e+00,3.947530e+00,3.022762e+00,3.162045e+00,4.468888e+00,1.112020e+01
4,AGIS_Os01g000040,-3.572638e-02, 5.3979264175, 3.929296e-02,8.465507e-01,9.291952e-01,Not_significant,4.440724e+01,3.391317e+01,4.809472e+01,4.405952e+01,4.093684e+01,4.785634e+01,4.256432e+01,3.480027e+01
5,AGIS_Os01g000050,-3.605770e-01, 4.1639208764, 2.838048e+00,1.206933e-01,3.105227e-01,Not_significant,1.977589e+01,2.173822e+01,1.797934e+01,2.041679e+01,1.675474e+01,1.599265e+01,1.816859e+01,1.186486e+01
6,AGIS_Os01g000060, 3.163868e-01, 7.3141599939, 3.938082e+00,7.318931e-02,2.280914e-01,Not_significant,1.248764e+02,1.338475e+02,1.570623e+02,1.512371e+02,1.955295e+02,1.692302e+02,1.582792e+02,1.823911e+02
7,AGIS_Os01g000070, 7.227406e-02, 3.0924736686, 5.473461e-02,8.193953e-01,9.162065e-01,Not_significant,8.092436e+00,1.171406e+01,7.962277e+00,5.093587e+00,1.295470e+01,8.817241e+00,5.824206e+00,7.099056e+00
8,AGIS_Os01g000080, 7.351740e-01, 6.6502417256, 1.561606e+01,2.346247e-03,2.147445e-02,Not_significant,8.289689e+01,6.790314e+01,6.697303e+01,8.103047e+01,9.435337e+01,1.623589e+02,1.199640e+02,1.274851e+02
11,AGIS_Os01g000110,-2.037384e-01,-0.4529658831, 2.076771e-02,8.880670e-01,9.504563e-01,Not_significant,6.069327e-01,8.449486e-01,5.779072e-01,2.971259e-01,0.000000e+00,8.513198e-01,1.465209e+00,4.964375e-01
12,AGIS_Os01g000120, 1.460648e+00, 0.6436262219, 2.534830e+00,1.401765e-01,3.397484e-01,Not_significant,1.062132e+00,0.000000e+00,2.151099e+00,8.064845e-01,1.770475e+00,3.648514e-01,3.040309e+00,2.531831e+00
13,AGIS_Os01g000130,-4.648922e-01, 2.5632765385, 1.330310e+00,2.736334e-01,5.105041e-01,Not_significant,4.602573e+00,5.492166e+00,8.315443e+00,8.319525e+00,6.865989e+00,4.256599e+00,2.747267e+00,5.957250e+00
14,AGIS_Os01g000140, 4.587007e-01, 3.9832588997, 4.578404e+00,5.607726e-02,1.925234e-01,Not_significant,1.304905e+01,9.985757e+00,1.537875e+01,1.460161e+01,2.133207e+01,1.489810e+01,2.069608e+01,1.588600e+01
16,AGIS_Os01g000160, 3.326239e-01, 4.6998611819, 2.914989e+00,1.163020e-01,3.035640e-01,Not_significant,2.877873e+01,1.659172e+01,2.375841e+01,2.275135e+01,2.517529e+01,2.255998e+01,3.589762e+01,3.172236e+01
17,AGIS_Os01g000170,-3.458655e-01, 3.5096018058, 1.539405e+00,2.409783e-01,4.732031e-01,Not_significant,1.476870e+01,8.641520e+00,1.383767e+01,1.345556e+01,9.111470e+00,1.185767e+01,1.106233e+01,7.694781e+00
18,AGIS_Os01g000180, 8.191509e-01, 4.6951547591, 1.561284e+01,2.347870e-03,2.148119e-02,Not_significant,1.208808e+01,2.335131e+01,1.730511e+01,2.317582e+01,2.932080e+01,3.849182e+01,3.501850e+01,2.785014e+01
19,AGIS_Os01g000190, 9.283595e-01, 6.9018776060, 2.714536e+01,3.076193e-04,4.825081e-03,Not_significant,7.303424e+01,8.879642e+01,7.053679e+01,9.660836e+01,1.573132e+02,1.876552e+02,1.598909e+02,1.222229e+02
20,AGIS_Os01g000200, 1.599103e+00, 4.3270392977, 5.837199e+01,1.123060e-05,4.053391e-04,UP,8.800524e+00,8.526300e+00,1.004916e+01,1.264907e+01,3.035717e+01,3.131641e+01,2.992690e+01,2.834658e+01
28,AGIS_Os01g000280, 1.055988e+00, 0.7577556460, 2.341821e+00,1.546860e-01,3.611826e-01,Not_significant,8.092436e-01,6.145081e-01,1.091603e+00,1.782755e+00,1.813657e+00,1.459405e+00,2.600746e+00,2.680762e+00
30,AGIS_Os01g000300, 8.129140e-02, 3.5191381613, 1.139462e-01,7.421639e-01,8.722569e-01,Not_significant,1.107652e+01,9.256028e+00,1.175078e+01,1.167280e+01,1.312743e+01,7.905113e+00,1.483524e+01,1.136842e+01
31,AGIS_Os01g000310, 3.851214e-01, 4.1685109722, 3.392643e+00,9.308504e-02,2.654656e-01,Not_significant,1.669065e+01,1.229016e+01,1.765828e+01,1.549299e+01,2.383664e+01,2.055329e+01,1.974369e+01,1.692852e+01
32,AGIS_Os01g000320, 1.574702e-01, 6.3372980211, 1.105468e+00,3.160223e-01,5.540342e-01,Not_significant,7.404579e+01,8.441805e+01,7.997594e+01,6.702311e+01,9.564884e+01,8.081457e+01,8.813233e+01,7.610387e+01
33,AGIS_Os01g000330, 6.026244e-01, 4.2611989801, 9.989901e+00,9.261924e-03,5.710419e-02,Not_significant,1.350425e+01,1.647650e+01,1.464032e+01,1.600235e+01,2.167752e+01,2.639091e+01,2.109901e+01,2.298506e+01
35,AGIS_Os01g000350,-1.495624e-01, 1.4103055238, 7.782977e-02,7.855291e-01,8.973532e-01,Not_significant,3.742752e+00,4.071116e+00,1.220026e+00,2.207221e+00,1.900022e+00,3.344471e+00,2.124553e+00,2.035394e+00
36,AGIS_Os01g000360, 3.946501e-01, 3.3046879949, 1.515390e+00,2.444494e-01,4.777218e-01,Not_significant,4.906039e+00,1.321192e+01,7.737536e+00,8.234632e+00,1.217741e+01,1.270899e+01,6.080618e+00,1.335417e+01
37,AGIS_Os01g000370,-3.342920e-01, 2.6735278071, 7.806571e-01,3.961794e-01,6.292311e-01,Not_significant,6.575104e+00,5.876234e+00,7.769642e+00,6.791449e+00,9.759204e+00,4.439025e+00,2.967048e+00,6.155825e+00
38,AGIS_Os01g000380,-1.230951e+00, 1.7847274258, 7.162259e+00,2.185946e-02,1.029946e-01,Not_significant,3.135819e+00,1.689897e+00,5.201165e+00,8.701544e+00,1.900022e+00,4.864685e-01,2.967048e+00,2.680762e+00
39,AGIS_Os01g000390, 1.753152e-01, 5.9773062896, 1.237859e+00,2.900318e-01,5.271286e-01,Not_significant,5.426990e+01,5.415353e+01,6.902781e+01,5.891582e+01,7.708044e+01,6.245039e+01,6.769266e+01,5.972143e+01
40,AGIS_Os01g000400, 3.609516e-01, 2.2981394220, 8.955834e-01,3.646581e-01,5.998295e-01,Not_significant,3.742752e+00,4.224743e+00,3.306914e+00,5.687838e+00,6.088707e+00,4.013365e+00,6.520180e+00,5.063662e+00
41,AGIS_Os01g000410,-1.343133e-02, 4.2719121128, 2.971603e-03,9.575221e-01,9.818057e-01,Not_significant,1.744932e+01,1.321192e+01,2.330892e+01,2.360028e+01,1.472517e+01,2.420181e+01,1.857153e+01,1.881498e+01
42,AGIS_Os01g000420,-7.745362e-01, 3.3494363578, 8.395939e+00,1.475962e-02,7.978489e-02,Not_significant,1.284674e+01,1.021620e+01,1.354871e+01,1.434694e+01,6.736442e+00,8.999667e+00,6.300399e+00,7.843712e+00
43,AGIS_Os01g000430,-2.686825e-01, 4.7431726127, 2.451120e+00,1.462465e-01,3.492971e-01,Not_significant,2.877873e+01,2.573253e+01,3.522023e+01,2.725069e+01,2.400937e+01,2.383696e+01,2.597083e+01,2.273684e+01
44,AGIS_Os01g000440,-1.408464e-01, 5.1921656023, 5.636863e-01,4.688191e-01,6.890315e-01,Not_significant,4.784653e+01,3.007249e+01,3.589446e+01,3.994221e+01,3.337993e+01,3.940395e+01,3.326025e+01,3.202022e+01
45,AGIS_Os01g000450,-6.654160e-01, 3.0038022618, 5.022626e+00,4.703052e-02,1.719483e-01,Not_significant,6.018749e+00,1.432572e+01,7.609112e+00,1.167280e+01,4.706873e+00,6.080856e+00,6.117248e+00,6.900481e+00
47,AGIS_Os01g000470,-5.198980e-01, 7.8120697360, 8.725113e+00,1.335777e-02,7.411192e-02,Not_significant,2.211764e+02,2.477236e+02,2.755654e+02,3.133405e+02,2.182866e+02,1.741557e+02,1.494147e+02,1.974828e+02
50,AGIS_Os01g000500, 3.022718e-01, 2.9082849478, 1.010419e+00,3.367891e-01,5.742062e-01,Not_significant,7.839548e+00,6.145081e+00,6.966993e+00,5.645392e+00,6.520530e+00,9.486135e+00,8.571473e+00,8.240862e+00
52,AGIS_Os01g000520, 5.889060e-01, 4.1995813006, 8.047322e+00,1.644113e-02,8.566721e-02,Not_significant,1.704469e+01,1.405687e+01,1.460821e+01,1.277641e+01,1.999341e+01,2.517474e+01,2.032978e+01,2.238933e+01
53,AGIS_Os01g000530,-5.166474e-01, 5.2671781676, 5.363215e+00,4.157259e-02,1.587019e-01,Not_significant,4.380031e+01,4.428299e+01,4.401727e+01,4.393218e+01,2.975262e+01,2.000602e+01,2.805875e+01,5.351596e+01
57,AGIS_Os01g000570, 2.748564e-02, 3.4072995247, 1.006959e-02,9.219068e-01,9.657423e-01,Not_significant,1.117768e+01,1.025460e+01,8.829138e+00,1.069653e+01,7.427359e+00,9.790178e+00,9.816901e+00,1.623351e+01
58,AGIS_Os01g000580,-1.454989e-01, 3.5873507549, 2.820480e-01,6.061095e-01,7.879945e-01,Not_significant,1.163288e+01,1.432572e+01,9.021774e+00,1.489874e+01,1.122740e+01,7.297027e+00,1.146526e+01,1.558814e+01
62,AGIS_Os01g000620,-4.301087e-01, 1.8439549890, 8.445546e-01,3.781623e-01,6.122977e-01,Not_significant,2.933508e+00,5.108099e+00,3.242702e+00,4.584228e+00,2.461392e+00,2.858002e+00,4.798560e+00,1.985750e+00
63,AGIS_Os01g000630, 1.251175e+00, 5.7749436599, 6.544675e+01,6.590898e-06,2.678160e-04,UP,2.958797e+01,3.057178e+01,3.910506e+01,3.060397e+01,7.535315e+01,7.211895e+01,7.930444e+01,8.077038e+01
64,AGIS_Os01g000640,-3.836076e-01, 6.5038396876, 5.986625e+00,3.279953e-02,1.357356e-01,Not_significant,8.881449e+01,1.032374e+02,1.087108e+02,1.099790e+02,8.714192e+01,7.625393e+01,7.886488e+01,7.228130e+01
65,AGIS_Os01g000650,-1.204453e+00, 1.9660245451, 4.208217e+00,6.535134e-02,2.117447e-01,Not_significant,5.057773e+00,2.611659e+00,1.017759e+01,2.886366e+00,1.900022e+00,8.513198e-01,1.794881e+00,5.162950e+00
66,AGIS_Os01g000660,-1.031180e+00, 5.9653199790, 1.338836e+01,5.918043e-03,4.161373e-02,DOWN,5.917594e+01,9.981916e+01,8.597975e+01,8.480822e+01,4.775965e+01,3.788373e+01,2.175835e+01,6.190575e+01
67,AGIS_Os01g000670, 4.328821e-01, 3.6891270289, 3.310243e+00,9.664714e-02,2.713014e-01,Not_significant,1.052017e+01,1.517067e+01,9.695999e+00,8.616651e+00,1.342970e+01,1.544537e+01,1.732610e+01,1.231165e+01
68,AGIS_Os01g000680,-2.118655e-01, 0.9294043839, 8.665275e-02,7.740562e-01,8.910446e-01,Not_significant,2.124265e+00,1.766711e+00,1.187920e+00,1.782755e+00,2.331845e+00,3.952556e+00,3.663023e-01,1.191450e+00
69,AGIS_Os01g000690, 2.875010e-01, 2.3532617549, 5.744537e-01,4.647092e-01,6.859885e-01,Not_significant,5.563550e+00,3.034134e+00,4.687470e+00,4.754014e+00,3.670497e+00,4.864685e+00,7.472566e+00,6.155825e+00
70,AGIS_Os01g000700,-4.114239e-02, 5.6931392413, 6.406286e-02,8.049382e-01,9.087686e-01,Not_significant,4.637978e+01,5.426875e+01,5.361695e+01,5.501073e+01,5.790749e+01,5.320749e+01,4.769256e+01,4.512617e+01
71,AGIS_Os01g000710, 1.497591e-01, 8.5996970088, 6.867846e-01,4.251936e-01,6.537577e-01,Not_significant,4.028010e+02,3.453536e+02,3.169179e+02,4.021811e+02,4.400710e+02,4.446322e+02,4.394528e+02,3.114649e+02
72,AGIS_Os01g000720,-1.699075e-01, 4.9154069706, 1.045943e+00,3.288023e-01,5.664086e-01,Not_significant,3.317899e+01,3.279937e+01,2.902378e+01,3.217449e+01,3.303448e+01,2.955296e+01,2.531149e+01,2.566582e+01
74,AGIS_Os01g000740,-9.254216e-03, 3.5155290319, 7.752349e-04,9.782999e-01,9.899497e-01,Not_significant,1.289732e+01,1.179087e+01,1.101234e+01,8.659097e+00,5.311425e+00,1.508052e+01,1.146526e+01,1.464491e+01
75,AGIS_Os01g000750,-4.483402e-01,-0.2952070286, 9.008687e-02,7.697640e-01,8.888168e-01,Not_significant,2.023109e-01,1.459457e+00,6.742251e-01,6.791449e-01,1.165923e+00,9.729369e-01,0.000000e+00,6.950125e-01
76,AGIS_Os01g000760,-2.776270e+00, 0.0745390653, 5.381415e+00,4.099409e-02,1.573118e-01,Not_significant,5.563550e-01,2.765286e+00,1.348450e+00,1.867648e+00,2.159116e-01,4.864685e-01,0.000000e+00,3.971500e-01
77,AGIS_Os01g000770,-6.254036e-01, 2.0625069470, 2.611029e+00,1.349269e-01,3.327244e-01,Not_significant,3.034664e+00,4.263150e+00,6.100132e+00,6.324537e+00,1.813657e+00,3.162045e+00,4.725299e+00,3.226844e+00
78,AGIS_Os01g000780, 1.922111e-01, 5.5801049968, 1.470065e+00,2.511873e-01,4.860114e-01,Not_significant,4.096796e+01,4.685624e+01,4.061404e+01,4.991715e+01,4.771646e+01,5.776813e+01,5.194166e+01,4.626797e+01
79,AGIS_Os01g000790, 1.043422e-01, 4.3245304029, 2.643504e-01,6.175018e-01,7.953336e-01,Not_significant,2.275998e+01,1.436413e+01,1.842882e+01,2.194487e+01,1.995023e+01,2.073572e+01,1.970706e+01,2.174396e+01
81,AGIS_Os01g000810, 8.003015e-01, 5.0641105884, 1.678976e+01,1.834318e-03,1.791991e-02,Not_significant,3.024548e+01,1.981789e+01,2.494633e+01,2.249667e+01,4.253459e+01,4.785634e+01,3.322362e+01,4.592047e+01
85,AGIS_Os01g000850,-2.384666e-01, 3.7687669027, 3.223967e-01,5.847854e-01,7.734330e-01,Not_significant,1.866318e+01,8.219046e+00,1.020969e+01,2.258157e+01,7.945547e+00,1.416839e+01,1.721621e+01,9.382669e+00
87,AGIS_Os01g000870, 2.124857e-01, 2.0660506017, 3.108257e-01,5.885408e-01,7.760232e-01,Not_significant,4.147374e+00,3.264574e+00,3.050066e+00,4.838907e+00,5.181878e+00,4.134982e+00,3.809544e+00,4.418294e+00
89,AGIS_Os01g000890,-3.657760e-01, 3.4028618738, 1.622359e+00,2.294880e-01,4.585594e-01,Not_significant,1.244212e+01,1.436413e+01,9.439151e+00,1.090876e+01,9.068287e+00,6.384899e+00,1.007331e+01,1.121949e+01
90,AGIS_Os01g000900,-4.802829e-01, 3.1656906966, 3.058551e+00,1.086312e-01,2.917310e-01,Not_significant,1.264443e+01,1.048504e+01,1.001706e+01,8.107292e+00,9.154652e+00,5.229536e+00,8.571473e+00,6.850837e+00
94,AGIS_Os01g000940, 7.786889e-01,-1.0877534431, 7.400326e-02,7.907374e-01,9.008834e-01,Not_significant,0.000000e+00,0.000000e+00,5.136953e-01,7.640380e-01,1.122740e+00,4.864685e-01,0.000000e+00,1.985750e-01
95,AGIS_Os01g000950, 5.173063e-01, 6.3489143205, 6.356281e+00,2.902075e-02,1.247691e-01,Not_significant,8.785351e+01,5.242522e+01,6.215713e+01,6.638641e+01,7.120765e+01,9.121284e+01,1.111361e+02,1.090673e+02
96,AGIS_Os01g000960,-4.820828e-01, 3.7374484997, 4.439366e+00,5.933637e-02,1.995013e-01,Not_significant,1.598256e+01,1.601562e+01,1.438347e+01,1.515342e+01,1.334334e+01,8.878050e+00,1.179493e+01,1.042519e+01
99,AGIS_Os01g000990,-7.862540e-01, 3.4970823269, 4.283535e+00,6.535256e-02,2.117447e-01,Not_significant,2.159669e+01,1.052345e+01,1.370924e+01,1.095121e+01,4.447779e+00,1.191848e+01,8.095280e+00,8.439437e+00
100,AGIS_Os01g001000,-9.871866e-01, 5.4651819708, 1.903202e+01,1.262839e-03,1.367163e-02,Not_significant,4.865577e+01,6.486901e+01,5.098426e+01,6.333026e+01,2.746396e+01,3.046509e+01,1.505502e+01,5.187772e+01
101,AGIS_Os01g001010,-4.850867e-01, 4.8567551240, 5.976581e+00,3.291839e-02,1.359975e-01,Not_significant,3.879312e+01,3.567988e+01,2.995486e+01,3.017950e+01,1.891386e+01,2.468827e+01,2.871810e+01,2.417651e+01
102,AGIS_Os01g001020,-4.357978e-01, 3.2449753291, 1.600264e+00,2.324752e-01,4.618972e-01,Not_significant,7.738392e+00,1.036982e+01,1.139761e+01,1.163036e+01,7.254630e+00,3.344471e+00,8.022020e+00,1.533992e+01
104,AGIS_Os01g001040,-2.373377e+00,-0.1783876922, 2.613545e+00,1.347579e-01,3.325419e-01,Not_significant,1.213865e+00,1.305830e+00,1.027391e+00,1.103610e+00,4.318232e-02,0.000000e+00,9.523859e-01,6.453687e-01
106,AGIS_Os01g001060,-7.450621e-01, 0.4387425725, 6.950619e-01,4.225011e-01,6.511060e-01,Not_significant,8.092436e-01,2.342812e+00,1.027391e+00,1.867648e+00,3.454586e-01,6.080856e-01,1.978032e+00,1.092162e+00
107,AGIS_Os01g001070, 5.992481e-02, 6.2441170741, 1.307275e-01,7.246518e-01,8.622508e-01,Not_significant,7.986223e+01,5.972251e+01,8.546606e+01,7.224404e+01,6.593940e+01,8.130104e+01,7.952422e+01,8.166397e+01
108,AGIS_Os01g001080, 2.340920e-01, 3.3814143176, 8.643341e-01,3.728392e-01,6.074703e-01,Not_significant,8.598214e+00,9.640096e+00,9.984953e+00,9.508028e+00,1.066603e+01,1.380354e+01,1.201471e+01,8.489081e+00
109,AGIS_Os01g001090,-2.289483e+00, 1.9569985481, 1.076936e+01,8.141805e-03,5.228805e-02,Not_significant,8.395903e+00,7.604538e+00,5.779072e+00,2.546793e+00,2.159116e+00,7.297027e-01,3.663023e-01,2.730406e+00
111,AGIS_Os01g001110, 2.323652e+00, 0.9300179950, 1.078040e+01,7.460841e-03,4.903971e-02,UP,1.062132e+00,1.459457e+00,3.210596e-01,1.273397e-01,4.318232e+00,3.770131e+00,2.234444e+00,1.390025e+00
112,AGIS_Os01g001120,-6.725068e-01, 4.7542608319, 8.667723e+00,1.359030e-02,7.517814e-02,Not_significant,2.528886e+01,3.802269e+01,3.461022e+01,3.259895e+01,2.465711e+01,2.924892e+01,1.750925e+01,1.325488e+01
113,AGIS_Os01g001130,-5.938856e-01, 7.1267238488, 1.038890e+01,8.294805e-03,5.291981e-02,Not_significant,1.282145e+02,1.735601e+02,1.772249e+02,1.935987e+02,1.330015e+02,1.008814e+02,9.696021e+01,1.138331e+02
114,AGIS_Os01g001140,-4.024208e-01, 1.2994507321, 3.013374e-01,5.942104e-01,7.794707e-01,Not_significant,1.719643e+00,2.112372e+00,2.761112e+00,2.886366e+00,3.713680e+00,1.094554e+00,4.395627e-01,4.269362e+00
115,AGIS_Os01g001150, 1.661959e-01, 2.6127979031, 2.757024e-01,6.101397e-01,7.907247e-01,Not_significant,5.057773e+00,4.608811e+00,6.164344e+00,7.003681e+00,5.613702e+00,6.688941e+00,5.934097e+00,7.198344e+00
