GeneID	pho2LPmock_1	pho2LPmock_2	pho2LPmock_3	pho2LPmock_4	pho2LPmyc_1	pho2LPmyc_2	pho2LPmyc_3	pho2LPmyc_4
AGIS_Os01g000010	122	523	746	498	481	1053	595	635
AGIS_Os01g000020	18	16	8	6	4	10	4	17
AGIS_Os01g000030	261	254	213	318	66	162	117	173
AGIS_Os01g000040	1103	1440	1522	1695	861	1260	1222	1035
AGIS_Os01g000050	344	606	613	377	388	620	521	520
AGIS_Os01g000060	4313	4094	3060	3162	3202	3561	4373	3101
AGIS_Os01g000070	102	260	298	126	213	307	138	239
AGIS_Os01g000080	1920	1952	2459	2426	3060	4110	3312	2983
AGIS_Os01g000090	0	0	0	0	0	2	0	1
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	0	8	4	0	10	8	12	0
AGIS_Os01g000120	32	62	89	40	77	59	95	99
AGIS_Os01g000130	163	200	204	242	68	177	96	175
AGIS_Os01g000140	361	408	356	368	466	359	390	386
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	310	1068	1276	796	919	1483	762	869
AGIS_Os01g000170	366	260	262	206	89	158	171	140
AGIS_Os01g000180	188	650	836	393	871	2369	965	816
AGIS_Os01g000190	688	1809	1515	1569	3212	4319	3930	3080
AGIS_Os01g000200	234	340	390	293	675	782	662	616
AGIS_Os01g000210	0	0	0	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	6	0	0	0	8	0
AGIS_Os01g000260	0	4	2	0	4	14	0	8
AGIS_Os01g000270	18	6	8	0	0	7	2	14
AGIS_Os01g000280	30	35	15	6	2	112	37	75
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	330	380	410	289	276	273	284	247
AGIS_Os01g000310	161	421	382	322	438	561	463	505
AGIS_Os01g000320	1830	1886	1793	1770	1571	2028	1906	1553
AGIS_Os01g000330	167	558	612	442	578	730	546	649
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	34	140	75	68	92	95	92	36
AGIS_Os01g000360	32	214	187	122	81	408	223	234
AGIS_Os01g000370	250	244	173	226	105	130	101	80
AGIS_Os01g000380	89	98	61	116	30	95	71	55
AGIS_Os01g000390	1701	1693	1585	1491	1387	1789	1433	1557
AGIS_Os01g000400	23	176	202	150	137	188	140	111
AGIS_Os01g000410	614	563	473	605	256	367	367	397
AGIS_Os01g000420	278	225	179	242	206	141	149	145
AGIS_Os01g000430	671	643	591	648	432	538	460	429
AGIS_Os01g000440	1004	860	824	814	745	851	936	676
AGIS_Os01g000450	251	217	430	238	63	157	104	121
AGIS_Os01g000460	3	24	23	9	0	7	8	0
AGIS_Os01g000470	9485	4973	4616	6455	2401	2930	2751	3515
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	30	298	282	229	241	537	232	248
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	166	745	688	521	560	792	684	532
AGIS_Os01g000530	1293	1236	1203	1604	651	999	735	985
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	0	0	0	0	0
AGIS_Os01g000570	126	571	496	427	290	770	373	348
AGIS_Os01g000580	130	633	555	431	318	817	400	420
AGIS_Os01g000590	0	12	14	8	20	4	0	0
AGIS_Os01g000600	0	0	0	0	0	0	0	0
AGIS_Os01g000610	26	37	18	38	0	2	36	12
AGIS_Os01g000620	104	64	74	68	70	72	43	52
AGIS_Os01g000630	1125	1388	856	1289	1650	2764	2009	2383
AGIS_Os01g000640	2617	2167	2185	2012	1705	1858	1818	1818
AGIS_Os01g000650	304	118	138	343	30	84	35	153
AGIS_Os01g000660	2967	992	894	2225	138	618	332	1172
AGIS_Os01g000670	286	278	199	235	158	244	260	304
AGIS_Os01g000680	137	83	59	48	54	48	26	40
AGIS_Os01g000690	42	390	499	255	243	1284	267	305
AGIS_Os01g000700	1332	988	859	808	861	938	939	761
AGIS_Os01g000710	3511	7450	9148	8094	6996	10110	10849	7904
AGIS_Os01g000720	663	595	612	511	710	580	635	788
AGIS_Os01g000730	0	0	0	0	0	0	0	0
