,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2LPmock_1,CPM.pho2LPmock_2,CPM.pho2LPmock_3,CPM.pho2LPmock_4,CPM.pho2LPmyc_1,CPM.pho2LPmyc_2,CPM.pho2LPmyc_3,CPM.pho2LPmyc_4
1,AGIS_Os01g000010, 8.327776e-01, 4.6429467120,5.448909e+00,5.104762e-02,1.861037e-01,Not_significant,5.693456e+00,1.995040e+01,3.005534e+01,2.186764e+01,2.482469e+01,4.011635e+01,2.720466e+01,2.943304e+01
3,AGIS_Os01g000030,-9.817258e-01, 3.0891525703,1.113788e+01,1.184004e-02,7.516388e-02,Not_significant,1.218026e+01,9.689104e+00,8.581484e+00,1.396368e+01,3.406299e+00,6.171746e+00,5.349487e+00,8.018765e+00
4,AGIS_Os01g000040,-2.932945e-01, 5.7785518370,3.568493e+00,9.913597e-02,2.767865e-01,Not_significant,5.147445e+01,5.493035e+01,6.131934e+01,7.442903e+01,4.443671e+01,4.800247e+01,5.587242e+01,4.797354e+01
5,AGIS_Os01g000050, 2.088428e-01, 4.4321368475,1.254468e+00,2.982305e-01,5.187931e-01,Not_significant,1.605368e+01,2.311652e+01,2.469695e+01,1.655442e+01,2.002491e+01,2.362026e+01,2.382122e+01,2.410265e+01
6,AGIS_Os01g000060, 6.309464e-02, 7.3047489101,1.028904e-01,7.574362e-01,8.683434e-01,Not_significant,2.012777e+02,1.561700e+02,1.232833e+02,1.388464e+02,1.652571e+02,1.356641e+02,1.999428e+02,1.437352e+02
7,AGIS_Os01g000070, 3.872955e-01, 3.1900168817,9.793398e-01,3.542304e-01,5.729827e-01,Not_significant,4.760103e+00,9.917981e+00,1.200602e+01,5.532777e+00,1.099305e+01,1.169584e+01,6.309652e+00,1.107795e+01
8,AGIS_Os01g000080, 7.194856e-01, 6.9285690009,1.912251e+01,2.985558e-03,3.104500e-02,Not_significant,8.960194e+01,7.446115e+01,9.906981e+01,1.065279e+02,1.579284e+02,1.565795e+02,1.514316e+02,1.382658e+02
12,AGIS_Os01g000120, 7.429420e-01, 1.6447823161,2.958849e+00,1.275286e-01,3.179929e-01,Not_significant,1.493366e+00,2.365057e+00,3.585690e+00,1.756437e+00,3.974015e+00,2.247735e+00,4.343601e+00,4.588773e+00
13,AGIS_Os01g000130,-6.414834e-01, 2.8470474699,5.153625e+00,5.600990e-02,1.971989e-01,Not_significant,7.606831e+00,7.629216e+00,8.218886e+00,1.062645e+01,3.509520e+00,6.743204e+00,4.389323e+00,8.111468e+00
14,AGIS_Os01g000140, 1.973101e-01, 4.0982204050,9.554554e-01,3.596421e-01,5.778979e-01,Not_significant,1.684703e+01,1.556360e+01,1.434276e+01,1.615922e+01,2.405053e+01,1.367689e+01,1.783162e+01,1.789158e+01
16,AGIS_Os01g000160, 4.440880e-01, 5.3279578482,1.676539e+00,2.350906e-01,4.535789e-01,Not_significant,1.446698e+01,4.074001e+01,5.140833e+01,3.495310e+01,4.743013e+01,5.649815e+01,3.484025e+01,4.027923e+01
17,AGIS_Os01g000170,-8.708042e-01, 3.1744251637,7.504588e+00,2.796828e-02,1.282383e-01,Not_significant,1.708037e+01,9.917981e+00,1.055563e+01,9.045652e+00,4.593342e+00,6.019358e+00,7.818481e+00,6.489174e+00
18,AGIS_Os01g000180, 1.432636e+00, 5.2402896092,1.964825e+01,2.784869e-03,2.970003e-02,UP,8.773523e+00,2.479495e+01,3.368132e+01,1.725700e+01,4.495282e+01,9.025227e+01,4.412184e+01,3.782261e+01
19,AGIS_Os01g000190, 1.552471e+00, 6.7886726706,4.350722e+01,2.623470e-04,6.558429e-03,UP,3.210736e+01,6.900626e+01,6.103731e+01,6.889625e+01,1.657732e+02,1.645418e+02,1.796879e+02,1.427618e+02
20,AGIS_Os01g000200, 1.240534e+00, 4.4640985682,4.099598e+01,3.103477e-04,7.357556e-03,UP,1.092024e+01,1.296967e+01,1.571258e+01,1.286590e+01,3.483714e+01,2.979201e+01,3.026804e+01,2.855237e+01
28,AGIS_Os01g000280, 1.206739e+00, 0.7968470974,1.046302e+00,3.392711e-01,5.590632e-01,Not_significant,1.400030e+00,1.335113e+00,6.043298e-01,2.634656e-01,1.032212e-01,4.266886e+00,1.691718e+00,3.476343e+00
30,AGIS_Os01g000300,-2.719486e-01, 3.7665216609,1.857543e+00,2.135003e-01,4.291849e-01,Not_significant,1.540033e+01,1.449551e+01,1.651835e+01,1.269026e+01,1.424452e+01,1.040054e+01,1.298508e+01,1.144876e+01
31,AGIS_Os01g000310, 7.891382e-01, 4.1532084026,9.905115e+00,1.548934e-02,8.934564e-02,Not_significant,7.513496e+00,1.605950e+01,1.539027e+01,1.413932e+01,2.260544e+01,2.137253e+01,2.116934e+01,2.340738e+01
32,AGIS_Os01g000320, 4.701744e-02, 6.2887758814,1.056399e-01,7.542909e-01,8.665983e-01,Not_significant,8.540185e+01,7.194351e+01,7.223756e+01,7.772235e+01,8.108023e+01,7.726112e+01,8.714635e+01,7.198348e+01
