GeneID	WTHPmock_1	WTHPmock_2	WTHPmock_3	WTHPmock_4	WTHPmyc_1	WTHPmyc_2	WTHPmyc_3	WTHPmyc_4
AGIS_Os01g000010	28	428	52	770	64	345	646	305
AGIS_Os01g000020	24	20	50	62	22	14	22	47
AGIS_Os01g000030	167	383	237	308	400	175	163	218
AGIS_Os01g000040	724	1557	776	1807	1104	1373	1103	1267
AGIS_Os01g000050	125	406	184	467	382	361	326	456
AGIS_Os01g000060	3719	3369	3444	3786	5184	2354	2233	2567
AGIS_Os01g000070	79	279	101	267	182	195	168	214
AGIS_Os01g000080	942	2157	1327	2339	1656	1570	1687	2102
AGIS_Os01g000090	0	0	0	0	0	0	0	0
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	0	40	0	0	0	4	14	42
AGIS_Os01g000120	0	54	24	88	71	39	142	18
AGIS_Os01g000130	264	294	174	359	236	260	149	175
AGIS_Os01g000140	563	576	477	663	718	299	379	496
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	200	889	314	1121	348	649	934	932
AGIS_Os01g000170	286	460	266	357	312	293	174	268
AGIS_Os01g000180	34	115	52	115	226	125	205	173
AGIS_Os01g000190	72	68	291	396	1164	166	422	387
AGIS_Os01g000200	78	132	135	172	234	66	172	179
AGIS_Os01g000210	0	0	0	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	0	0	0	0	0	0
AGIS_Os01g000260	0	4	0	0	0	0	3	0
AGIS_Os01g000270	0	8	0	11	14	2	11	6
AGIS_Os01g000280	29	72	0	22	0	24	82	59
AGIS_Os01g000290	0	0	0	0	0	0	4	0
AGIS_Os01g000300	434	353	372	302	512	246	281	405
AGIS_Os01g000310	142	219	206	304	234	167	181	244
AGIS_Os01g000320	1353	2506	2338	2466	2633	1828	1556	2150
AGIS_Os01g000330	104	444	92	722	92	490	553	623
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	92	52	48	107	92	60	64	125
AGIS_Os01g000360	490	888	428	1099	615	385	469	479
AGIS_Os01g000370	114	197	140	229	149	147	141	213
AGIS_Os01g000380	355	245	75	181	94	156	43	190
AGIS_Os01g000390	1888	2162	1815	2465	2936	1851	1429	2076
AGIS_Os01g000400	12	132	0	191	19	129	126	85
AGIS_Os01g000410	561	852	771	867	867	555	567	836
AGIS_Os01g000420	199	342	258	281	304	280	203	311
AGIS_Os01g000430	757	990	730	1007	1104	849	687	956
AGIS_Os01g000440	1300	1577	931	1392	1897	1140	962	1351
AGIS_Os01g000450	202	263	83	292	166	286	199	302
AGIS_Os01g000460	0	0	0	4	0	0	4	0
AGIS_Os01g000470	9897	8115	7221	8607	11859	4878	4544	6356
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	44	207	60	321	114	205	269	131
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	169	518	120	983	227	574	679	550
AGIS_Os01g000530	2479	2725	1703	2565	2208	1394	1154	2471
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	0	0	0	0	0
AGIS_Os01g000570	57	301	99	629	223	261	397	241
AGIS_Os01g000580	28	357	152	783	198	326	441	286
AGIS_Os01g000590	0	0	6	2	0	1	0	11
AGIS_Os01g000600	0	0	0	0	0	0	0	0
AGIS_Os01g000610	4	18	18	10	0	3	7	14
AGIS_Os01g000620	0	74	54	55	57	29	36	26
AGIS_Os01g000630	1258	1869	1494	2270	2685	2270	1616	2186
AGIS_Os01g000640	3598	2030	1798	2694	3343	1616	1434	2417
AGIS_Os01g000650	417	171	140	155	180	100	17	232
AGIS_Os01g000660	4564	3113	2359	4155	6081	2668	1100	2860
AGIS_Os01g000670	268	498	386	509	444	416	293	510
AGIS_Os01g000680	116	69	74	153	151	27	58	120
AGIS_Os01g000690	57	168	33	209	143	109	216	211
AGIS_Os01g000700	1770	1801	1863	1883	2963	1491	1072	1737
AGIS_Os01g000710	1940	3283	3642	4821	5959	2703	4848	4338
AGIS_Os01g000720	447	922	617	1069	881	738	654	913
AGIS_Os01g000730	0	0	0	0	0	0	0	0
AGIS_Os01g000740	522	679	572	772	1270	997	741	1324
AGIS_Os01g000750	38	18	34	70	60	10	16	29
AGIS_Os01g000760	75	7	0	18	16	4	4	16
AGIS_Os01g000770	4	177	44	164	68	133	88	112
AGIS_Os01g000780	280	888	384	1437	436	837	1125	953
AGIS_Os01g000790	231	687	417	825	522	520	627	902
AGIS_Os01g000800	0	0	0	0	0	0	0	0
AGIS_Os01g000810	211	901	471	1509	380	716	1014	877
AGIS_Os01g000820	0	0	0	0	0	0	0	0
AGIS_Os01g000830	0	0	0	0	0	0	0	0
AGIS_Os01g000840	0	0	0	0	0	0	0	0
AGIS_Os01g000850	483	392	386	373	815	309	338	407
AGIS_Os01g000860	0	0	0	0	0	0	0	0
AGIS_Os01g000870	154	171	189	288	282	177	86	250
AGIS_Os01g000880	0	0	0	0	0	0	0	0
AGIS_Os01g000890	73	70	85	260	143	68	179	207
AGIS_Os01g000900	30	219	61	228	52	216	122	132
AGIS_Os01g000910	0	0	0	0	0	0	0	0
AGIS_Os01g000920	34	14	0	0	10	0	4	14
AGIS_Os01g000930	20	0	0	0	0	0	1	4
AGIS_Os01g000940	0	14	0	0	0	6	16	0
AGIS_Os01g000950	836	2397	750	4559	1191	2243	3540	2810
AGIS_Os01g000960	113	279	104	324	304	247	178	294
AGIS_Os01g000970	0	0	0	0	0	4	0	12
AGIS_Os01g000980	0	0	0	0	0	0	0	0
AGIS_Os01g000990	227	373	119	256	416	224	228	347
AGIS_Os01g001000	2063	1521	1462	2009	1690	572	431	961
AGIS_Os01g001010	735	696	435	733	632	426	388	500
AGIS_Os01g001020	341	453	578	531	457	254	315	413
AGIS_Os01g001030	0	3	0	2	12	6	6	6
AGIS_Os01g001040	102	66	32	75	13	50	32	65
AGIS_Os01g001050	0	0	0	1	0	0	0	0
AGIS_Os01g001060	28	18	12	68	8	4	2	37
AGIS_Os01g001070	1901	2773	1529	3095	3015	2230	2114	2811
AGIS_Os01g001080	196	401	382	487	449	432	322	405
AGIS_Os01g001090	138	116	161	227	106	113	60	149
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	14	101	8	4	22	22	32	19
AGIS_Os01g001120	1281	725	609	1037	1206	722	258	600
AGIS_Os01g001130	4646	5106	3927	5717	7371	3557	2030	4714
AGIS_Os01g001140	95	42	145	104	133	92	53	48
AGIS_Os01g001150	156	146	135	234	242	44	110	207
AGIS_Os01g001160	220	422	301	610	530	277	369	389
AGIS_Os01g001170	26	8	0	1	24	4	6	22
AGIS_Os01g001180	3260	2434	1564	2526	3329	2103	1850	2294
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	10	14	0	0	4	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	12	0	0	0	0	2	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	16	45	30	76	48	87	93	69
AGIS_Os01g001280	0	66	44	56	60	67	74	70
AGIS_Os01g001290	54	232	84	253	96	102	103	251
AGIS_Os01g001300	58	258	66	372	234	390	315	184
AGIS_Os01g001310	247	102	115	300	95	184	168	220
AGIS_Os01g001320	86	394	256	435	330	180	534	250
AGIS_Os01g001330	53	60	40	104	98	60	152	79
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	26	21	78	45	62	104	46	42
AGIS_Os01g001370	1	142	57	125	26	67	122	159
AGIS_Os01g001380	0	0	0	0	0	0	0	0
AGIS_Os01g001390	10	36	47	26	24	25	18	18
AGIS_Os01g001400	20	7	0	15	38	12	3	2
AGIS_Os01g001410	0	0	0	0	0	2	0	0
AGIS_Os01g001420	0	0	24	0	0	1	0	8
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	75	17	47	38	75	13	38	46
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	0	0	0	12	0	6	16	9
AGIS_Os01g001470	40	64	18	97	0	12	50	54
