,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTHPmock_1,CPM.WTHPmock_2,CPM.WTHPmock_3,CPM.WTHPmock_4,CPM.WTHPmyc_1,CPM.WTHPmyc_2,CPM.WTHPmyc_3,CPM.WTHPmyc_4
1,AGIS_Os01g000010, 6.376868e-01, 2.5834424013, 7.146620e-01,4.253332e-01,0.811443895,Not_significant,5.997042e-01,7.089428e+00,1.208545e+00,1.098031e+01,9.389446e-01,7.093255e+00,1.472663e+01,5.022391e+00
2,AGIS_Os01g000020,-5.670028e-01,-0.6611372522, 4.911846e-01,5.022439e-01,0.842448060,Not_significant,5.140322e-01,3.312817e-01,1.162062e+00,8.841290e-01,3.227622e-01,2.878422e-01,5.015261e-01,7.739422e-01
3,AGIS_Os01g000030,-2.460884e-01, 2.2052590212, 5.370878e-01,4.834790e-01,0.833609387,Not_significant,3.576807e+00,6.344044e+00,5.508175e+00,4.392125e+00,5.868404e+00,3.598028e+00,3.715852e+00,3.589774e+00
4,AGIS_Os01g000040, 9.143670e-02, 4.4580063922, 2.539999e-01,6.271518e-01,0.890806016,Not_significant,1.550664e+01,2.579028e+01,1.803520e+01,2.576808e+01,1.619679e+01,2.822910e+01,2.514469e+01,2.086351e+01
5,AGIS_Os01g000050, 5.405220e-01, 2.6030609030, 3.828373e+00,8.418852e-02,0.597246605,Not_significant,2.677251e+00,6.725018e+00,4.276389e+00,6.659488e+00,5.604326e+00,7.422217e+00,7.431705e+00,7.508886e+00
6,AGIS_Os01g000060,-3.191404e-01, 5.9289648616, 4.180297e+00,7.327413e-02,0.582465398,Not_significant,7.965357e+01,5.580440e+01,8.004284e+01,5.398891e+01,7.605451e+01,4.839861e+01,5.090490e+01,4.227042e+01
7,AGIS_Os01g000070, 2.574753e-01, 1.7442746005, 5.910841e-01,4.629504e-01,0.825356886,Not_significant,1.692023e+00,4.621380e+00,2.347366e+00,3.807459e+00,2.670124e+00,4.009231e+00,3.829836e+00,3.523907e+00
8,AGIS_Os01g000080, 1.231095e-01, 4.9659901748, 6.065100e-01,4.573629e-01,0.823523108,Not_significant,2.017576e+01,3.572873e+01,3.084113e+01,3.335448e+01,2.429519e+01,3.227945e+01,3.845793e+01,3.461333e+01
12,AGIS_Os01g000120, 1.251061e+00, 0.0627969307, 7.020694e-01,4.271575e-01,0.811443895,Not_significant,0.000000e+00,8.944606e-01,5.577898e-01,1.254893e+00,1.041642e+00,8.018462e-01,3.237123e+00,2.964034e-01
13,AGIS_Os01g000130,-4.139517e-01, 2.1318080478, 1.889909e+00,2.045710e-01,0.685667849,Not_significant,5.654354e+00,4.869841e+00,4.043976e+00,5.119392e+00,3.462358e+00,5.345641e+00,3.396699e+00,2.881700e+00
