GeneID	pho2HPmock_1	phoHPmock_2	pho2HPmock_3	pho2HPmock_4	pho2HPmyc_1	pho2HPmyc_2	pho2HPmyc_3	pho2HPmyc_4
AGIS_Os01g000010	467	591	58	394	360	364	484	745
AGIS_Os01g000020	14	14	28	22	6	10	38	11
AGIS_Os01g000030	195	256	164	319	177	196	274	212
AGIS_Os01g000040	1122	1386	1323	1771	877	1247	1357	1493
AGIS_Os01g000050	287	311	277	381	256	499	542	673
AGIS_Os01g000060	2469	3539	5380	3513	2878	4836	4843	3983
AGIS_Os01g000070	227	212	59	160	121	151	164	202
AGIS_Os01g000080	1468	1648	1704	2117	1648	2825	2866	3325
AGIS_Os01g000090	0	0	0	0	0	0	0	8
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	4	1	6	7	25	0	6	3
AGIS_Os01g000120	19	74	42	40	68	38	61	71
AGIS_Os01g000130	131	173	224	224	129	177	296	192
AGIS_Os01g000140	394	330	451	447	400	417	564	518
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	752	845	472	881	583	798	884	1155
AGIS_Os01g000170	219	185	254	235	164	106	189	178
AGIS_Os01g000180	113	550	390	215	456	722	952	1155
AGIS_Os01g000190	27	1594	2212	390	1349	3623	3077	2949
AGIS_Os01g000200	60	189	397	172	242	690	552	546
AGIS_Os01g000210	0	0	0	0	0	0	0	4
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	6	0	0	0	0
AGIS_Os01g000250	0	0	0	0	0	0	0	0
AGIS_Os01g000260	0	0	0	0	16	0	0	0
AGIS_Os01g000270	0	8	0	0	4	0	2	0
AGIS_Os01g000280	32	1	20	0	14	10	21	45
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	325	271	411	406	330	293	476	441
AGIS_Os01g000310	84	350	409	191	243	451	520	531
AGIS_Os01g000320	1591	1829	2075	1846	1427	2187	2292	2214
AGIS_Os01g000330	507	578	216	447	500	585	713	990
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	67	64	43	48	67	22	55	34
AGIS_Os01g000360	248	106	179	181	49	159	205	254
AGIS_Os01g000370	125	192	258	199	96	136	215	107
AGIS_Os01g000380	80	68	140	94	169	66	51	94
AGIS_Os01g000390	1439	1511	2056	1877	1125	1911	1889	1927
AGIS_Os01g000400	153	146	20	104	93	97	145	207
AGIS_Os01g000410	549	658	771	646	382	448	573	630
AGIS_Os01g000420	207	164	252	212	157	158	295	265
AGIS_Os01g000430	472	571	641	724	513	595	665	632
AGIS_Os01g000440	840	759	900	1035	802	948	1018	916
AGIS_Os01g000450	104	173	225	335	205	233	209	208
AGIS_Os01g000460	12	3	0	3	11	0	17	34
AGIS_Os01g000470	3143	4199	8182	7888	3910	5275	6389	4671
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	116	272	66	126	142	206	263	338
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	506	672	246	411	416	532	495	835
AGIS_Os01g000530	1793	1156	1311	2200	736	1009	1394	1000
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	1	0	2	0	6
AGIS_Os01g000570	268	375	85	253	270	241	333	539
AGIS_Os01g000580	399	476	77	415	313	313	453	659
AGIS_Os01g000590	8	9	0	5	1	0	11	21
AGIS_Os01g000600	0	0	0	1	0	0	0	0
AGIS_Os01g000610	6	46	24	30	5	18	20	27
AGIS_Os01g000620	43	59	96	48	61	65	11	40
AGIS_Os01g000630	924	980	1311	1504	1434	2258	2789	2841
AGIS_Os01g000640	1586	1732	2426	2565	1530	2146	2286	2171
AGIS_Os01g000650	96	111	176	311	81	92	152	154
AGIS_Os01g000660	513	911	2573	2061	1519	1261	1301	913
AGIS_Os01g000670	187	297	227	247	301	266	278	257
AGIS_Os01g000680	24	60	91	121	74	37	54	52
AGIS_Os01g000690	166	336	34	136	150	98	226	315
AGIS_Os01g000700	829	918	1301	1083	819	1174	825	1095
AGIS_Os01g000710	2894	8592	8812	3651	7418	10094	11217	12450
AGIS_Os01g000720	719	511	466	625	645	706	672	979
AGIS_Os01g000730	0	0	0	0	0	0	0	0
AGIS_Os01g000740	744	347	302	551	312	474	462	457
AGIS_Os01g000750	18	3	32	1	9	0	6	6
AGIS_Os01g000760	12	18	27	16	0	8	20	28
AGIS_Os01g000770	115	112	132	59	50	87	81	174
AGIS_Os01g000780	1028	972	681	992	1013	1149	1359	1405
AGIS_Os01g000790	499	448	349	628	662	677	619	971
AGIS_Os01g000800	0	0	0	0	0	0	0	0
AGIS_Os01g000810	954	1122	471	1158	765	1027	1124	1369
AGIS_Os01g000820	0	2	0	1	4	0	1	0
AGIS_Os01g000830	0	0	0	0	0	0	0	0
AGIS_Os01g000840	0	0	0	0	0	0	0	0
AGIS_Os01g000850	618	248	391	332	916	758	439	963
AGIS_Os01g000860	0	0	0	0	0	0	0	0
AGIS_Os01g000870	223	181	163	339	117	187	285	243
AGIS_Os01g000880	0	0	0	0	0	0	0	0
AGIS_Os01g000890	208	215	109	178	295	240	236	374
AGIS_Os01g000900	182	303	216	288	180	185	331	230
AGIS_Os01g000910	0	0	0	0	0	0	0	0
AGIS_Os01g000920	0	0	0	8	0	12	8	14
AGIS_Os01g000930	10	4	0	21	0	21	11	2
AGIS_Os01g000940	4	0	0	4	11	9	0	0
AGIS_Os01g000950	3199	2938	982	2635	2382	2650	3031	4367
AGIS_Os01g000960	178	264	298	268	248	335	335	293
AGIS_Os01g000970	0	0	0	0	4	0	0	0
AGIS_Os01g000980	0	0	0	0	0	0	0	0
AGIS_Os01g000990	323	191	150	249	155	195	175	290
AGIS_Os01g001000	525	1291	1821	2394	1088	881	1009	730
AGIS_Os01g001010	602	583	817	722	556	737	881	723
AGIS_Os01g001020	449	312	365	650	278	248	274	258
AGIS_Os01g001030	4	4	0	18	5	2	2	14
AGIS_Os01g001040	16	24	14	13	9	34	30	28
AGIS_Os01g001050	1	0	0	0	0	0	0	0
AGIS_Os01g001060	70	30	8	42	2	10	0	0
AGIS_Os01g001070	2154	2023	2503	2753	1886	2527	2739	2630
AGIS_Os01g001080	396	279	254	456	256	409	409	328
AGIS_Os01g001090	236	191	313	294	54	142	186	160
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	49	25	20	16	44	60	119	91
AGIS_Os01g001120	243	455	751	512	266	631	531	496
AGIS_Os01g001130	3142	3381	4995	5580	3044	4211	4439	3504
AGIS_Os01g001140	61	40	119	194	14	26	82	32
AGIS_Os01g001150	96	175	148	190	96	156	253	174
AGIS_Os01g001160	288	310	207	298	221	329	366	478
AGIS_Os01g001170	20	19	46	26	7	23	33	22
AGIS_Os01g001180	1736	1128	1632	1464	1682	1486	1444	1842
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	14	10	0	18	0	0	0	0
AGIS_Os01g001240	0	0	0	5	0	0	0	0
AGIS_Os01g001250	2	0	0	0	0	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
