,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2HPmock_1,CPM.phoHPmock_2,CPM.pho2HPmock_3,CPM.pho2HPmock_4,CPM.pho2HPmyc_1,CPM.pho2HPmyc_2,CPM.pho2HPmyc_3,CPM.pho2HPmyc_4
1,AGIS_Os01g000010, 5.089682e-01, 3.088348e+00, 7.428621e-01,4.172297e-01,7.910823e-01,Not_significant,1.031363e+01,1.278661e+01,1.173501e+00,7.476962e+00,8.758175e+00,6.797505e+00,8.375333e+00,1.204636e+01
2,AGIS_Os01g000020,-6.791698e-01,-1.372959e+00, 6.575150e-01,4.432991e-01,8.069893e-01,Not_significant,3.091880e-01,3.028977e-01,5.665178e-01,4.174953e-01,1.459696e-01,1.867446e-01,6.575674e-01,1.778657e-01
3,AGIS_Os01g000030,-2.285047e-01, 2.156348e+00, 5.631614e-01,4.766885e-01,8.240218e-01,Not_significant,4.306547e+00,5.538700e+00,3.318176e+00,6.053682e+00,4.306102e+00,3.660195e+00,4.741407e+00,3.427957e+00
4,AGIS_Os01g000040,-3.118391e-01, 4.698384e+00, 4.165370e+00,7.930495e-02,4.292271e-01,Not_significant,2.477921e+01,2.998687e+01,2.676797e+01,3.360837e+01,2.133589e+01,2.328706e+01,2.348208e+01,2.414123e+01
5,AGIS_Os01g000050, 4.460232e-01, 2.955219e+00, 4.093837e+00,8.141860e-02,4.352022e-01,Not_significant,6.338354e+00,6.728656e+00,5.604480e+00,7.230260e+00,6.228035e+00,9.318558e+00,9.378988e+00,1.088215e+01
6,AGIS_Os01g000060, 4.308593e-02, 6.265537e+00, 5.559948e-02,8.201296e-01,9.529255e-01,Not_significant,5.452751e+01,7.656821e+01,1.088524e+02,6.666641e+01,7.001674e+01,9.030971e+01,8.380524e+01,6.440356e+01
7,AGIS_Os01g000070,-4.924450e-02, 1.700552e+00, 1.443285e-02,9.076442e-01,9.758581e-01,Not_significant,5.013263e+00,4.586736e+00,1.193734e+00,3.036330e+00,2.943720e+00,2.819844e+00,2.837923e+00,3.266261e+00
8,AGIS_Os01g000080, 4.542046e-01, 5.406259e+00, 9.334052e+00,1.772432e-02,2.165144e-01,Not_significant,3.242057e+01,3.565538e+01,3.447666e+01,4.017444e+01,4.009298e+01,5.275536e+01,4.959443e+01,5.376395e+01
12,AGIS_Os01g000120, 4.205537e-01, 8.736531e-02, 4.224230e-01,5.358208e-01,8.503756e-01,Not_significant,4.196123e-01,1.601031e+00,8.497767e-01,7.590824e-01,1.654322e+00,7.096296e-01,1.055569e+00,1.148042e+00
13,AGIS_Os01g000130,-8.480934e-02, 1.926512e+00, 1.050909e-01,7.549780e-01,9.320050e-01,Not_significant,2.893116e+00,3.742950e+00,4.532143e+00,4.250861e+00,3.138346e+00,3.305380e+00,5.122104e+00,3.104565e+00
14,AGIS_Os01g000140, 9.119756e-02, 3.117190e+00, 2.402979e-01,6.385114e-01,8.931947e-01,Not_significant,8.701434e+00,7.139731e+00,9.124983e+00,8.482746e+00,9.731305e+00,7.787252e+00,9.759685e+00,8.375858e+00
16,AGIS_Os01g000160, 7.751684e-02, 3.960410e+00, 1.315891e-01,7.271596e-01,9.220843e-01,Not_significant,1.660781e+01,1.828204e+01,9.549872e+00,1.671879e+01,1.418338e+01,1.490222e+01,1.529709e+01,1.867590e+01
17,AGIS_Os01g000170,-6.426398e-01, 1.947452e+00, 6.000596e+00,4.305035e-02,3.273910e-01,Not_significant,4.836584e+00,4.002576e+00,5.139126e+00,4.459609e+00,3.989835e+00,1.979493e+00,3.270533e+00,2.878191e+00
18,AGIS_Os01g000180, 1.395522e+00, 3.433541e+00, 1.397732e+01,7.055034e-03,1.384632e-01,Not_significant,2.495589e+00,1.189955e+01,7.890784e+00,4.080068e+00,1.109369e+01,1.348296e+01,1.647379e+01,1.867590e+01
19,AGIS_Os01g000190, 2.163963e+00, 5.174868e+00, 6.233716e+00,4.111526e-02,3.207330e-01,Not_significant,5.962912e-01,3.448706e+01,4.475491e+01,7.401053e+00,3.281883e+01,6.765758e+01,5.324566e+01,4.768418e+01
20,AGIS_Os01g000200, 1.367808e+00, 2.760465e+00, 1.623304e+01,4.673729e-03,1.102892e-01,Not_significant,1.325091e+00,4.089119e+00,8.032413e+00,3.264054e+00,5.887440e+00,1.288538e+01,9.552032e+00,8.828607e+00
28,AGIS_Os01g000280, 1.439542e+00,-1.379864e+00, 8.132175e-01,3.962066e-01,7.786928e-01,Not_significant,7.067154e-01,2.163555e-02,4.046556e-01,0.000000e+00,3.405957e-01,1.867446e-01,3.633925e-01,7.276325e-01
30,AGIS_Os01g000300,-1.596169e-02, 2.863987e+00, 6.403249e-03,9.383904e-01,9.837711e-01,Not_significant,7.177579e+00,5.863234e+00,8.315672e+00,7.704686e+00,8.028327e+00,5.471618e+00,8.236897e+00,7.130798e+00
31,AGIS_Os01g000310, 7.849734e-01, 2.743598e+00, 5.661404e+00,4.780366e-02,3.440070e-01,Not_significant,1.855128e+00,7.572442e+00,8.275207e+00,3.624618e+00,5.911768e+00,8.422183e+00,8.998291e+00,8.586063e+00
