GeneID	WTmockLP_1	WTmockLP_2	WTmockLP_3	WTmockLP_4	WTmockHP_1	WTmockHP_2	WTmockHP_3	WTmockHP_4
AGIS_Os01g000010	306	259	404	321	28	428	52	770
AGIS_Os01g000020	0	6	8	24	24	20	50	62
AGIS_Os01g000030	80	101	239	93	167	383	237	308
AGIS_Os01g000040	878	883	1498	1038	724	1557	776	1807
AGIS_Os01g000050	391	566	560	481	125	406	184	467
AGIS_Os01g000060	2469	3485	4892	3563	3719	3369	3444	3786
AGIS_Os01g000070	160	305	248	120	79	279	101	267
AGIS_Os01g000080	1639	1768	2086	1909	942	2157	1327	2339
AGIS_Os01g000090	0	0	0	0	0	0	0	0
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	12	22	18	7	0	40	0	0
AGIS_Os01g000120	21	0	67	19	0	54	24	88
AGIS_Os01g000130	91	143	259	196	264	294	174	359
AGIS_Os01g000140	258	260	479	344	563	576	477	663
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	569	432	740	536	200	889	314	1121
AGIS_Os01g000170	292	225	431	317	286	460	266	357
AGIS_Os01g000180	239	608	539	546	34	115	52	115
AGIS_Os01g000190	1444	2312	2197	2276	72	68	291	396
AGIS_Os01g000200	174	222	313	298	78	132	135	172
AGIS_Os01g000210	0	0	6	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	6	0	0	0	0	0
AGIS_Os01g000260	0	0	0	0	0	4	0	0
AGIS_Os01g000270	0	6	0	0	0	8	0	11
AGIS_Os01g000280	16	16	34	42	29	72	0	22
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	219	241	366	275	434	353	372	302
AGIS_Os01g000310	330	320	550	365	142	219	206	304
AGIS_Os01g000320	1464	2198	2491	1579	1353	2506	2338	2466
AGIS_Os01g000330	267	429	456	377	104	444	92	722
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	74	106	38	52	92	52	48	107
AGIS_Os01g000360	97	344	241	194	490	888	428	1099
AGIS_Os01g000370	130	153	242	160	114	197	140	229
AGIS_Os01g000380	62	44	162	205	355	245	75	181
AGIS_Os01g000390	1073	1410	2150	1388	1888	2162	1815	2465
AGIS_Os01g000400	74	110	103	134	12	132	0	191
