,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmockLP_1,CPM.WTmockLP_2,CPM.WTmockLP_3,CPM.WTmockLP_4,CPM.WTmockHP_1,CPM.WTmockHP_2,CPM.WTmockHP_3,CPM.WTmockHP_4
1,AGIS_Os01g000010,-1.127959e+00, 2.4083719339, 1.996826e+00,1.945130e-01,0.5357991269,Not_significant,7.174774e+00,4.594399e+00,6.008480e+00,6.272846e+00,5.822115e-01,6.565401e+00,1.145540e+00,9.809354e+00
2,AGIS_Os01g000020, 2.526836e+00,-1.1232248258, 3.667401e+00,9.094526e-02,0.3996496654,Not_significant,0.000000e+00,1.064339e-01,1.189798e-01,4.689978e-01,4.990384e-01,3.067944e-01,1.101481e+00,7.898441e-01
3,AGIS_Os01g000030, 1.064119e+00, 1.7984461062, 8.752687e+00,1.752071e-02,0.1867131931,Not_significant,1.875758e+00,1.791638e+00,3.554522e+00,1.817367e+00,3.472476e+00,5.875114e+00,5.221021e+00,3.923742e+00
4,AGIS_Os01g000040,-1.107602e-02, 4.3052308658, 1.905191e-03,9.662297e-01,0.9878772628,Not_significant,2.058644e+01,1.566353e+01,2.227897e+01,2.028416e+01,1.505433e+01,2.388395e+01,1.709499e+01,2.302013e+01
5,AGIS_Os01g000050,-1.044198e+00, 2.8086656953, 1.136635e+01,9.319165e-03,0.1358751007,Not_significant,9.167766e+00,1.004027e+01,8.328587e+00,9.399498e+00,2.599158e+00,6.227927e+00,4.053451e+00,5.949309e+00
6,AGIS_Os01g000060,-7.781280e-02, 6.0097647074, 1.142507e-01,7.437877e-01,0.8953378595,Not_significant,5.789058e+01,6.182038e+01,7.275615e+01,6.962664e+01,7.733016e+01,5.167952e+01,7.587002e+01,4.823145e+01
7,AGIS_Os01g000070,-4.308406e-01, 1.7570681450, 1.161727e+00,3.116186e-01,0.6385787359,Not_significant,3.751516e+00,5.410392e+00,3.688374e+00,2.344989e+00,1.642668e+00,4.279783e+00,2.224992e+00,3.401425e+00
8,AGIS_Os01g000080,-3.238698e-01, 4.9664012578, 1.818730e+00,2.135011e-01,0.5542344625,Not_significant,3.842959e+01,3.136254e+01,3.102399e+01,3.730487e+01,1.958726e+01,3.308778e+01,2.923331e+01,2.979750e+01
11,AGIS_Os01g000110,-3.897735e+00,-2.0091116131, 3.307472e+00,1.056334e-01,0.4211457733,Not_significant,2.813637e-01,3.902578e-01,2.677046e-01,1.367910e-01,0.000000e+00,6.135889e-01,0.000000e+00,0.000000e+00
12,AGIS_Os01g000120, 3.597125e-01,-0.7782186433, 2.758223e-02,8.721245e-01,0.9498746535,Not_significant,4.923864e-01,0.000000e+00,9.964559e-01,3.712899e-01,0.000000e+00,8.283450e-01,5.287110e-01,1.121069e+00
13,AGIS_Os01g000130, 6.060409e-01, 1.9565304439, 2.747554e+00,1.347316e-01,0.4651586535,Not_significant,2.133675e+00,2.536676e+00,3.851971e+00,3.830149e+00,5.489423e+00,4.509878e+00,3.833154e+00,4.573452e+00
14,AGIS_Os01g000140, 6.945534e-01, 3.0063531452, 6.877857e+00,2.967065e-02,0.2477759634,Not_significant,6.049319e+00,4.612138e+00,7.123916e+00,6.722302e+00,1.170661e+01,8.835680e+00,1.050813e+01,8.446236e+00
16,AGIS_Os01g000160,-2.522596e-01, 3.3536326412, 3.423885e-01,5.742288e-01,0.8126598103,Not_significant,1.334133e+01,7.663244e+00,1.100563e+01,1.047428e+01,4.158653e+00,1.363701e+01,6.917302e+00,1.428089e+01
17,AGIS_Os01g000170, 6.678688e-03, 2.5585505371, 4.306974e-04,9.839344e-01,0.9943381946,Not_significant,6.846516e+00,3.991273e+00,6.410037e+00,6.194680e+00,5.946874e+00,7.056272e+00,5.859880e+00,4.547973e+00
18,AGIS_Os01g000180,-2.812682e+00, 2.3376258096, 8.202907e+01,1.418898e-05,0.0026910291,DOWN,5.603826e+00,1.078531e+01,8.016265e+00,1.066970e+01,7.069711e-01,1.764068e+00,1.145540e+00,1.465033e+00
19,AGIS_Os01g000190,-3.792720e+00, 4.3774834738, 5.563344e+01,6.396487e-05,0.0068078925,DOWN,3.385743e+01,4.101255e+01,3.267483e+01,4.447663e+01,1.497115e+00,1.043101e+00,6.410620e+00,5.044811e+00
20,AGIS_Os01g000200,-1.085598e+00, 1.7856598220, 9.958237e+00,1.291569e-02,0.1603027066,Not_significant,4.079773e+00,3.938056e+00,4.655085e+00,5.823390e+00,1.621875e+00,2.024843e+00,2.973999e+00,2.191180e+00
28,AGIS_Os01g000280,-6.850378e-01,-0.9059013055, 1.923827e-01,6.722894e-01,0.8625144263,Not_significant,3.751516e-01,2.838239e-01,5.056642e-01,8.207462e-01,6.030048e-01,1.104460e+00,0.000000e+00,2.802673e-01
30,AGIS_Os01g000300, 3.193275e-01, 2.5537278007, 9.720268e-01,3.521648e-01,0.6712061611,Not_significant,5.134887e+00,4.275097e+00,5.443326e+00,5.373933e+00,9.024278e+00,5.414922e+00,8.195020e+00,3.847305e+00
31,AGIS_Os01g000310,-9.675135e-01, 2.4503515971, 1.085044e+01,1.045313e-02,0.1440144450,Not_significant,7.737501e+00,5.676477e+00,8.179862e+00,7.132675e+00,2.952644e+00,3.359399e+00,4.538102e+00,3.872784e+00
32,AGIS_Os01g000320, 4.834385e-02, 5.1848406695, 5.054611e-02,8.275680e-01,0.9321186086,Not_significant,3.432637e+01,3.899030e+01,3.704734e+01,3.085615e+01,2.813329e+01,3.844134e+01,5.150526e+01,3.141541e+01
33,AGIS_Os01g000330,-7.694450e-01, 2.6007600595, 3.284536e+00,1.066669e-01,0.4231118958,Not_significant,6.260342e+00,7.610027e+00,6.781849e+00,7.367174e+00,2.162500e+00,6.810837e+00,2.026725e+00,9.197862e+00
35,AGIS_Os01g000350, 6.668919e-02, 0.4049923568, 1.327949e-02,9.110048e-01,0.9660398999,Not_significant,1.735076e+00,1.880333e+00,5.651541e-01,1.016162e+00,1.912981e+00,7.976656e-01,1.057422e+00,1.363118e+00
36,AGIS_Os01g000360, 1.646334e+00, 2.9841849999, 3.169133e+01,4.364722e-04,0.0215361770,UP,2.274356e+00,6.102213e+00,3.584267e+00,3.791066e+00,1.018870e+01,1.362167e+01,9.428679e+00,1.400062e+01
37,AGIS_Os01g000370,-1.320471e-01, 1.5949318854, 1.475280e-01,7.105904e-01,0.8794887218,Not_significant,3.048106e+00,2.714066e+00,3.599139e+00,3.126652e+00,2.370432e+00,3.021925e+00,3.084147e+00,2.917327e+00
38,AGIS_Os01g000380, 8.068391e-01, 1.5863822159, 1.372415e+00,2.743722e-01,0.6084688045,Not_significant,1.453712e+00,7.805156e-01,2.409341e+00,4.006023e+00,7.381610e+00,3.758232e+00,1.652222e+00,2.305835e+00
39,AGIS_Os01g000390, 3.954382e-01, 4.9850388506, 3.849564e+00,8.418676e-02,0.3879208750,Not_significant,2.515860e+01,2.501198e+01,3.197582e+01,2.712371e+01,3.925769e+01,3.316448e+01,3.998377e+01,3.140267e+01
40,AGIS_Os01g000400,-1.806903e+00, 0.6845588680, 2.520522e+00,1.501874e-01,0.4827327715,Not_significant,1.735076e+00,1.951289e+00,1.531865e+00,2.618571e+00,2.495192e-01,2.024843e+00,0.000000e+00,2.433229e+00
41,AGIS_Os01g000410, 5.756678e-01, 3.4740753999, 4.737660e+00,6.007409e-02,0.3353203967,Not_significant,8.089206e+00,6.102213e+00,1.079742e+01,1.086512e+01,1.166502e+01,1.306944e+01,1.698484e+01,1.104508e+01
42,AGIS_Os01g000420,-3.491432e-01, 2.4085995994, 1.236664e+00,2.973741e-01,0.6272382086,Not_significant,5.955531e+00,4.718572e+00,6.276185e+00,6.605053e+00,4.137860e+00,5.246185e+00,5.683643e+00,3.579777e+00
43,AGIS_Os01g000430, 1.507372e-01, 3.8354816707, 4.763439e-01,5.089728e-01,0.7751571014,Not_significant,1.334133e+01,1.188512e+01,1.631511e+01,1.254569e+01,1.574050e+01,1.518633e+01,1.608162e+01,1.282860e+01
