GeneID	pho2mockLP_1	pho2mockLP_2	pho2mockLP_3	pho2mockLP_4	pho2mockHP_1	pho2mockHP_2	pho2mockHP_3	pho2mockHP_4
AGIS_Os01g000010	122	523	746	498	467	591	58	394
AGIS_Os01g000020	18	16	8	6	14	14	28	22
AGIS_Os01g000030	261	254	213	318	195	256	164	319
AGIS_Os01g000040	1103	1440	1522	1695	1122	1386	1323	1771
AGIS_Os01g000050	344	606	613	377	287	311	277	381
AGIS_Os01g000060	4313	4094	3060	3162	2469	3539	5380	3513
AGIS_Os01g000070	102	260	298	126	227	212	59	160
AGIS_Os01g000080	1920	1952	2459	2426	1468	1648	1704	2117
AGIS_Os01g000090	0	0	0	0	0	0	0	0
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	0	8	4	0	4	1	6	7
AGIS_Os01g000120	32	62	89	40	19	74	42	40
AGIS_Os01g000130	163	200	204	242	131	173	224	224
AGIS_Os01g000140	361	408	356	368	394	330	451	447
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	310	1068	1276	796	752	845	472	881
AGIS_Os01g000170	366	260	262	206	219	185	254	235
AGIS_Os01g000180	188	650	836	393	113	550	390	215
AGIS_Os01g000190	688	1809	1515	1569	27	1594	2212	390
AGIS_Os01g000200	234	340	390	293	60	189	397	172
AGIS_Os01g000210	0	0	0	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	6
AGIS_Os01g000250	0	0	6	0	0	0	0	0
AGIS_Os01g000260	0	4	2	0	0	0	0	0
AGIS_Os01g000270	18	6	8	0	0	8	0	0
AGIS_Os01g000280	30	35	15	6	32	1	20	0
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	330	380	410	289	325	271	411	406
AGIS_Os01g000310	161	421	382	322	84	350	409	191
AGIS_Os01g000320	1830	1886	1793	1770	1591	1829	2075	1846
AGIS_Os01g000330	167	558	612	442	507	578	216	447
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	34	140	75	68	67	64	43	48
AGIS_Os01g000360	32	214	187	122	248	106	179	181
AGIS_Os01g000370	250	244	173	226	125	192	258	199
AGIS_Os01g000380	89	98	61	116	80	68	140	94
AGIS_Os01g000390	1701	1693	1585	1491	1439	1511	2056	1877
AGIS_Os01g000400	23	176	202	150	153	146	20	104
AGIS_Os01g000410	614	563	473	605	549	658	771	646
AGIS_Os01g000420	278	225	179	242	207	164	252	212
AGIS_Os01g000430	671	643	591	648	472	571	641	724
