,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mockLP_1,CPM.pho2mockLP_2,CPM.pho2mockLP_3,CPM.pho2mockLP_4,CPM.pho2mockHP_1,CPM.pho2mockHP_2,CPM.pho2mockHP_3,CPM.pho2mockHP_4
1,AGIS_Os01g000010,-2.427254e-01, 3.0813439471, 7.051482e-02,7.993282e-01,0.9999110,Not_significant,2.600378e+00,9.288929e+00,1.396486e+01,1.000789e+01,1.016103e+01,1.282753e+01,1.186079e+00,7.352506e+00
2,AGIS_Os01g000020, 8.447152e-01,-1.4909606535, 9.531660e-01,3.657433e-01,0.9999110,Not_significant,3.836624e-01,2.841737e-01,1.497572e-01,1.205770e-01,3.046134e-01,3.038670e-01,5.725897e-01,4.105460e-01
3,AGIS_Os01g000030,-1.104594e-01, 2.3174733224, 1.960981e-01,6.730420e-01,0.9999110,Not_significant,5.563104e+00,4.511258e+00,3.987286e+00,6.390580e+00,4.242830e+00,5.556425e+00,3.353740e+00,5.952917e+00
4,AGIS_Os01g000040, 4.248320e-02, 4.8237489197, 6.568090e-02,8.060913e-01,0.9999110,Not_significant,2.350998e+01,2.557564e+01,2.849131e+01,3.406299e+01,2.441259e+01,3.008283e+01,2.705486e+01,3.304895e+01
5,AGIS_Os01g000050,-5.033631e-01, 2.9828494160, 4.099165e+00,8.825020e-02,0.9999110,Not_significant,7.332214e+00,1.076308e+01,1.147515e+01,7.576253e+00,6.244575e+00,6.750188e+00,5.664548e+00,7.109911e+00
6,AGIS_Os01g000060, 7.232392e-02, 6.2091985971, 5.729080e-02,8.186637e-01,0.9999110,Not_significant,9.192976e+01,7.271295e+01,5.728213e+01,6.354406e+01,5.372075e+01,7.681323e+01,1.100190e+02,6.555674e+01
7,AGIS_Os01g000070,-1.466095e-01, 1.8558836612, 6.243498e-02,8.108835e-01,0.9999110,Not_significant,2.174087e+00,4.617823e+00,5.578456e+00,2.532116e+00,4.939089e+00,4.601414e+00,1.206528e+00,2.985789e+00
8,AGIS_Os01g000080,-2.546105e-01, 5.2889182676, 2.109215e+00,1.954564e-01,0.9999110,Not_significant,4.092398e+01,3.466919e+01,4.603162e+01,4.875329e+01,3.194089e+01,3.576948e+01,3.484617e+01,3.950572e+01
12,AGIS_Os01g000120,-3.062976e-01, 0.0359507632, 3.902106e-01,5.546441e-01,0.9999110,Not_significant,6.820664e-01,1.101173e+00,1.666049e+00,8.038465e-01,4.134039e-01,1.606154e+00,8.588846e-01,7.464473e-01
13,AGIS_Os01g000130,-3.999850e-02, 1.9724916272, 2.388878e-02,8.821167e-01,0.9999110,Not_significant,3.474276e+00,3.552172e+00,3.818809e+00,4.863271e+00,2.850311e+00,3.754928e+00,4.580718e+00,4.180105e+00
