GeneID	WTmycLP_1	WTmycLP_2	WTmycLP_3	WTmycLP_4	WTmycHP_1	WTmycHP_2	WTmycHP_3	WTmycHP_4
AGIS_Os01g000010	442	306	540	432	64	345	646	305
AGIS_Os01g000020	0	8	12	20	22	14	22	47
AGIS_Os01g000030	70	52	122	224	400	175	163	218
AGIS_Os01g000040	948	787	1162	701	1104	1373	1103	1267
AGIS_Os01g000050	388	263	496	239	382	361	326	456
AGIS_Os01g000060	4528	2783	4321	3674	5184	2354	2233	2567
AGIS_Os01g000070	300	145	159	143	182	195	168	214
AGIS_Os01g000080	2185	2670	3275	2568	1656	1570	1687	2102
AGIS_Os01g000090	0	0	0	0	0	0	0	0
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	0	14	40	10	0	4	14	42
AGIS_Os01g000120	41	6	83	51	71	39	142	18
AGIS_Os01g000130	159	70	75	120	236	260	149	175
AGIS_Os01g000140	494	245	565	320	718	299	379	496
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	583	371	980	639	348	649	934	932
AGIS_Os01g000170	211	195	302	155	312	293	174	268
AGIS_Os01g000180	679	633	956	561	226	125	205	173
AGIS_Os01g000190	3643	3086	4365	2462	1164	166	422	387
AGIS_Os01g000200	703	515	817	571	234	66	172	179
AGIS_Os01g000210	0	0	0	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	0	0	0	0	0	0
AGIS_Os01g000260	0	0	0	0	0	0	3	0
AGIS_Os01g000270	0	0	0	0	14	2	11	6
AGIS_Os01g000280	42	24	71	54	0	24	82	59
AGIS_Os01g000290	0	0	0	0	0	0	4	0
AGIS_Os01g000300	304	130	405	229	512	246	281	405
AGIS_Os01g000310	552	338	539	341	234	167	181	244
AGIS_Os01g000320	2215	1329	2406	1533	2633	1828	1556	2150
AGIS_Os01g000330	502	434	576	463	92	490	553	623
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	44	55	58	41	92	60	64	125
AGIS_Os01g000360	282	209	166	269	615	385	469	479
AGIS_Os01g000370	226	73	81	124	149	147	141	213
AGIS_Os01g000380	44	8	81	54	94	156	43	190
AGIS_Os01g000390	1785	1027	1848	1203	2936	1851	1429	2076
AGIS_Os01g000400	141	66	178	102	19	129	126	85
AGIS_Os01g000410	341	398	507	379	867	555	567	836
AGIS_Os01g000420	156	148	172	158	304	280	203	311
AGIS_Os01g000430	556	392	709	458	1104	849	687	956
AGIS_Os01g000440	773	648	908	645	1897	1140	962	1351
AGIS_Os01g000450	109	100	167	139	166	286	199	302
AGIS_Os01g000460	0	0	0	4	0	0	4	0
AGIS_Os01g000470	5055	2864	4079	3978	11859	4878	4544	6356
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	151	156	234	166	114	205	269	131
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	463	414	555	451	227	574	679	550
AGIS_Os01g000530	689	329	766	1078	2208	1394	1154	2471
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	0	0	0	0	0
AGIS_Os01g000570	172	161	268	327	223	261	397	241
AGIS_Os01g000580	260	120	313	314	198	326	441	286
AGIS_Os01g000590	4	0	0	1	0	1	0	11
AGIS_Os01g000600	0	0	0	0	0	0	0	0
AGIS_Os01g000610	18	0	1	2	0	3	7	14
AGIS_Os01g000620	57	47	131	40	57	29	36	26
AGIS_Os01g000630	1745	1186	2165	1627	2685	2270	1616	2186
AGIS_Os01g000640	2018	1254	2153	1456	3343	1616	1434	2417
AGIS_Os01g000650	44	14	49	104	180	100	17	232
AGIS_Os01g000660	1106	623	594	1247	6081	2668	1100	2860
AGIS_Os01g000670	311	254	473	248	444	416	293	510
