,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmycLP_1,CPM.WTmycLP_2,CPM.WTmycLP_3,CPM.WTmycLP_4,CPM.WTmycHP_1,CPM.WTmycHP_2,CPM.WTmycHP_3,CPM.WTmycHP_4
1,AGIS_Os01g000010,-9.339590e-01, 3.026940e+00, 2.925029e+00,1.213926e-01,3.408612e-01,Not_significant,9.172707e+00,8.894710e+00,9.357182e+00,1.047971e+01,9.584511e-01,6.977911e+00,1.398861e+01,5.107101e+00
2,AGIS_Os01g000020, 1.474222e+00,-1.351494e+00, 1.271588e+00,2.886424e-01,5.467423e-01,Not_significant,0.000000e+00,2.325414e-01,2.079374e-01,4.851716e-01,3.294676e-01,2.831616e-01,4.763922e-01,7.869959e-01
3,AGIS_Os01g000030, 8.597345e-01, 1.785050e+00, 3.608834e+00,8.994309e-02,2.851590e-01,Not_significant,1.452691e+00,1.511519e+00,2.114030e+00,5.433922e+00,5.990319e+00,3.539520e+00,3.529633e+00,3.650321e+00
4,AGIS_Os01g000040, 1.490238e-01, 4.404318e+00, 6.480457e-01,4.415661e-01,6.813810e-01,Not_significant,1.967359e+01,2.287626e+01,2.013527e+01,1.700526e+01,1.653328e+01,2.777006e+01,2.388457e+01,2.121540e+01
5,AGIS_Os01g000050,-1.129246e-01, 2.861040e+00, 2.037051e-01,6.624290e-01,8.333396e-01,Not_significant,8.052060e+00,7.644800e+00,8.594745e+00,5.797800e+00,5.720755e+00,7.301525e+00,7.059266e+00,7.635535e+00
6,AGIS_Os01g000060,-6.806500e-01, 6.118290e+00, 1.373968e+01,4.872547e-03,4.377128e-02,Not_significant,9.396837e+01,8.089535e+01,7.487479e+01,8.912602e+01,7.763454e+01,4.761160e+01,4.835381e+01,4.298337e+01
7,AGIS_Os01g000070,-2.059326e-01, 1.947425e+00, 3.472257e-01,5.701859e-01,7.762394e-01,Not_significant,6.225819e+00,4.214814e+00,2.755170e+00,3.468977e+00,2.725595e+00,3.944037e+00,3.637904e+00,3.583343e+00
8,AGIS_Os01g000080,-9.042643e-01, 5.533511e+00, 2.624692e+01,6.259531e-04,1.045613e-02,Not_significant,4.534472e+01,7.761070e+01,5.674958e+01,6.229603e+01,2.479992e+01,3.175455e+01,3.653062e+01,3.519714e+01
11,AGIS_Os01g000110,-6.406831e-01,-1.538945e+00, 1.854883e-01,6.780711e-01,8.426958e-01,Not_significant,0.000000e+00,4.069475e-01,6.931246e-01,2.425858e-01,0.000000e+00,8.090332e-02,3.031587e-01,7.032729e-01
12,AGIS_Os01g000120, 4.165672e-01, 2.106933e-01, 2.871697e-01,6.050328e-01,7.975193e-01,Not_significant,8.508620e-01,1.744061e-01,1.438234e+00,1.237188e+00,1.063282e+00,7.888074e-01,3.074895e+00,3.014027e-01
13,AGIS_Os01g000130, 6.912980e-01, 1.633579e+00, 3.248920e+00,1.049895e-01,3.130248e-01,Not_significant,3.299684e+00,2.034738e+00,1.299609e+00,2.911030e+00,3.534288e+00,5.258716e+00,3.226474e+00,2.930304e+00
