GeneID	pho2mycLP_1	pho2mycLP_2	pho2mycLP_3	pho2mycLP_4	pho2mycHP_1	pho2mycHP_2	pho2mycHP_3	pho2mycHP_4
AGIS_Os01g000010	481	1053	595	635	360	364	484	745
AGIS_Os01g000020	4	10	4	17	6	10	38	11
AGIS_Os01g000030	66	162	117	173	177	196	274	212
AGIS_Os01g000040	861	1260	1222	1035	877	1247	1357	1493
AGIS_Os01g000050	388	620	521	520	256	499	542	673
AGIS_Os01g000060	3202	3561	4373	3101	2878	4836	4843	3983
AGIS_Os01g000070	213	307	138	239	121	151	164	202
AGIS_Os01g000080	3060	4110	3312	2983	1648	2825	2866	3325
AGIS_Os01g000090	0	2	0	1	0	0	0	8
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	10	8	12	0	25	0	6	3
AGIS_Os01g000120	77	59	95	99	68	38	61	71
AGIS_Os01g000130	68	177	96	175	129	177	296	192
AGIS_Os01g000140	466	359	390	386	400	417	564	518
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	919	1483	762	869	583	798	884	1155
AGIS_Os01g000170	89	158	171	140	164	106	189	178
AGIS_Os01g000180	871	2369	965	816	456	722	952	1155
AGIS_Os01g000190	3212	4319	3930	3080	1349	3623	3077	2949
AGIS_Os01g000200	675	782	662	616	242	690	552	546
AGIS_Os01g000210	0	0	0	0	0	0	0	4
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	8	0	0	0	0	0
AGIS_Os01g000260	4	14	0	8	16	0	0	0
AGIS_Os01g000270	0	7	2	14	4	0	2	0
AGIS_Os01g000280	2	112	37	75	14	10	21	45
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	276	273	284	247	330	293	476	441
AGIS_Os01g000310	438	561	463	505	243	451	520	531
AGIS_Os01g000320	1571	2028	1906	1553	1427	2187	2292	2214
AGIS_Os01g000330	578	730	546	649	500	585	713	990
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	92	95	92	36	67	22	55	34
AGIS_Os01g000360	81	408	223	234	49	159	205	254
AGIS_Os01g000370	105	130	101	80	96	136	215	107
AGIS_Os01g000380	30	95	71	55	169	66	51	94
AGIS_Os01g000390	1387	1789	1433	1557	1125	1911	1889	1927
AGIS_Os01g000400	137	188	140	111	93	97	145	207
AGIS_Os01g000410	256	367	367	397	382	448	573	630
AGIS_Os01g000420	206	141	149	145	157	158	295	265
AGIS_Os01g000430	432	538	460	429	513	595	665	632
AGIS_Os01g000440	745	851	936	676	802	948	1018	916
AGIS_Os01g000450	63	157	104	121	205	233	209	208
AGIS_Os01g000460	0	7	8	0	11	0	17	34
AGIS_Os01g000470	2401	2930	2751	3515	3910	5275	6389	4671
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	241	537	232	248	142	206	263	338
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	560	792	684	532	416	532	495	835
AGIS_Os01g000530	651	999	735	985	736	1009	1394	1000
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	0	0	2	0	6
AGIS_Os01g000570	290	770	373	348	270	241	333	539
AGIS_Os01g000580	318	817	400	420	313	313	453	659
AGIS_Os01g000590	20	4	0	0	1	0	11	21
AGIS_Os01g000600	0	0	0	0	0	0	0	0
AGIS_Os01g000610	0	2	36	12	5	18	20	27
AGIS_Os01g000620	70	72	43	52	61	65	11	40
AGIS_Os01g000630	1650	2764	2009	2383	1434	2258	2789	2841
AGIS_Os01g000640	1705	1858	1818	1818	1530	2146	2286	2171
AGIS_Os01g000650	30	84	35	153	81	92	152	154
AGIS_Os01g000660	138	618	332	1172	1519	1261	1301	913
AGIS_Os01g000670	158	244	260	304	301	266	278	257
AGIS_Os01g000680	54	48	26	40	74	37	54	52
AGIS_Os01g000690	243	1284	267	305	150	98	226	315
