,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mycLP_1,CPM.pho2mycLP_2,CPM.pho2mycLP_3,CPM.pho2mycLP_4,CPM.pho2mycHP_1,CPM.pho2mycHP_2,CPM.pho2mycHP_3,CPM.pho2mycHP_4
1,AGIS_Os01g000010,-6.107913e-01, 3.479059e+00, 8.343718e+00,1.610305e-02,0.1081929486,Not_significant,1.106844e+01,1.776493e+01,1.189927e+01,1.295263e+01,8.595710e+00,6.659659e+00,8.201901e+00,1.174547e+01
3,AGIS_Os01g000030, 6.854086e-01, 1.713464e+00, 4.893384e+00,5.101292e-02,0.2078552076,Not_significant,1.518746e+00,2.733066e+00,2.339856e+00,3.528826e+00,4.226224e+00,3.585970e+00,4.643225e+00,3.342335e+00
4,AGIS_Os01g000040, 6.269789e-02, 4.469408e+00, 2.594645e-01,6.213860e-01,0.7969953644,Not_significant,1.981274e+01,2.125718e+01,2.443849e+01,2.111176e+01,2.094011e+01,2.281482e+01,2.299583e+01,2.353824e+01
5,AGIS_Os01g000050,-2.286862e-01, 3.243667e+00, 1.926114e+00,1.949128e-01,0.4361323589,Not_significant,8.928388e+00,1.045988e+01,1.041936e+01,1.060688e+01,6.112505e+00,9.129588e+00,9.184774e+00,1.061034e+01
6,AGIS_Os01g000060, 8.816873e-02, 6.196801e+00, 3.922015e-01,5.449792e-01,0.7467489909,Not_significant,7.368221e+01,6.007685e+01,8.745461e+01,6.325370e+01,6.871793e+01,8.847833e+01,8.206985e+01,6.279491e+01
7,AGIS_Os01g000070,-5.709669e-01, 1.888935e+00, 4.982295e+00,4.930406e-02,0.2043867986,Not_significant,4.901409e+00,5.179330e+00,2.759830e+00,4.875084e+00,2.889114e+00,2.762661e+00,2.779157e+00,3.184678e+00
8,AGIS_Os01g000080,-4.808058e-01, 5.842869e+00, 1.328751e+01,4.394155e-03,0.0510588309,Not_significant,7.041460e+01,6.933891e+01,6.623592e+01,6.084675e+01,3.934925e+01,5.168554e+01,4.856746e+01,5.242106e+01
12,AGIS_Os01g000120,-5.939541e-01, 5.138147e-01, 2.444764e+00,1.485530e-01,0.3774539884,Not_significant,1.771871e+00,9.953760e-01,1.899883e+00,2.019386e+00,1.623634e+00,6.952392e-01,1.033711e+00,1.119367e+00
13,AGIS_Os01g000130, 5.522666e-01, 1.628474e+00, 2.822528e+00,1.234395e-01,0.3403938304,Not_significant,1.564769e+00,2.986128e+00,1.919882e+00,3.569622e+00,3.080130e+00,3.238351e+00,5.016039e+00,3.027020e+00
14,AGIS_Os01g000140, 1.279199e-01, 3.079867e+00, 5.453467e-01,4.769644e-01,0.6989436044,Not_significant,1.072327e+01,6.056610e+00,7.799519e+00,7.873566e+00,9.550789e+00,7.629335e+00,9.557587e+00,8.166649e+00
16,AGIS_Os01g000160,-3.412875e-01, 4.141128e+00, 4.112959e+00,6.963549e-02,0.2477375802,Not_significant,2.114739e+01,2.501937e+01,1.523906e+01,1.772572e+01,1.392028e+01,1.460002e+01,1.498033e+01,1.820942e+01
17,AGIS_Os01g000170, 8.313963e-02, 1.532858e+00, 7.410072e-02,7.909180e-01,0.8975882106,Not_significant,2.048006e+00,2.665583e+00,3.419789e+00,2.855698e+00,3.915824e+00,1.939351e+00,3.202808e+00,2.806300e+00
