GeneID	LPmockWT_1	LPmockWT_2	LPmockWT_3	LPmockWT_4	LPmockpho2_1	LPmockpho2_2	LPmockpho2_3	LPmockpho2_4
AGIS_Os01g000010	306	259	404	321	122	523	746	498
AGIS_Os01g000020	0	6	8	24	18	16	8	6
AGIS_Os01g000030	80	101	239	93	261	254	213	318
AGIS_Os01g000040	878	883	1498	1038	1103	1440	1522	1695
AGIS_Os01g000050	391	566	560	481	344	606	613	377
AGIS_Os01g000060	2469	3485	4892	3563	4313	4094	3060	3162
AGIS_Os01g000070	160	305	248	120	102	260	298	126
AGIS_Os01g000080	1639	1768	2086	1909	1920	1952	2459	2426
AGIS_Os01g000090	0	0	0	0	0	0	0	0
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	12	22	18	7	0	8	4	0
AGIS_Os01g000120	21	0	67	19	32	62	89	40
AGIS_Os01g000130	91	143	259	196	163	200	204	242
AGIS_Os01g000140	258	260	479	344	361	408	356	368
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	569	432	740	536	310	1068	1276	796
AGIS_Os01g000170	292	225	431	317	366	260	262	206
AGIS_Os01g000180	239	608	539	546	188	650	836	393
AGIS_Os01g000190	1444	2312	2197	2276	688	1809	1515	1569
AGIS_Os01g000200	174	222	313	298	234	340	390	293
AGIS_Os01g000210	0	0	6	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	6	0	0	0	6	0
AGIS_Os01g000260	0	0	0	0	0	4	2	0
AGIS_Os01g000270	0	6	0	0	18	6	8	0
AGIS_Os01g000280	16	16	34	42	30	35	15	6
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	219	241	366	275	330	380	410	289
AGIS_Os01g000310	330	320	550	365	161	421	382	322
AGIS_Os01g000320	1464	2198	2491	1579	1830	1886	1793	1770
AGIS_Os01g000330	267	429	456	377	167	558	612	442
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	74	106	38	52	34	140	75	68
AGIS_Os01g000360	97	344	241	194	32	214	187	122
AGIS_Os01g000370	130	153	242	160	250	244	173	226
AGIS_Os01g000380	62	44	162	205	89	98	61	116
AGIS_Os01g000390	1073	1410	2150	1388	1701	1693	1585	1491
AGIS_Os01g000400	74	110	103	134	23	176	202	150
AGIS_Os01g000410	345	344	726	556	614	563	473	605
AGIS_Os01g000420	254	266	422	338	278	225	179	242
AGIS_Os01g000430	569	670	1097	642	671	643	591	648
AGIS_Os01g000440	946	783	1118	941	1004	860	824	814
AGIS_Os01g000450	119	373	237	275	251	217	430	238
AGIS_Os01g000460	0	0	0	4	3	24	23	9
AGIS_Os01g000470	4373	6450	8583	7382	9485	4973	4616	6455
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	155	160	217	133	30	298	282	229
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	337	366	455	301	166	745	688	521
AGIS_Os01g000530	866	1153	1371	1035	1293	1236	1203	1604
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	4	0	0	0	0	0	0
AGIS_Os01g000570	221	267	275	252	126	571	496	427
AGIS_Os01g000580	230	373	281	351	130	633	555	431
AGIS_Os01g000590	1	10	1	3	0	12	14	8
AGIS_Os01g000600	2	10	0	0	0	0	0	0
AGIS_Os01g000610	7	9	32	26	26	37	18	38
AGIS_Os01g000620	58	133	101	108	104	64	74	68
AGIS_Os01g000630	585	796	1218	721	1125	1388	856	1289
AGIS_Os01g000640	1756	2688	3386	2591	2617	2167	2185	2012
AGIS_Os01g000650	100	68	317	68	304	118	138	343
AGIS_Os01g000660	1170	2599	2678	1998	2967	992	894	2225
AGIS_Os01g000670	208	395	302	203	286	278	199	235
AGIS_Os01g000680	42	46	37	42	137	83	59	48
AGIS_Os01g000690	110	79	146	112	42	390	499	255
AGIS_Os01g000700	917	1413	1670	1296	1332	988	859	808
AGIS_Os01g000710	7964	8992	9871	9475	3511	7450	9148	8094
AGIS_Os01g000720	656	854	904	758	663	595	612	511
AGIS_Os01g000730	0	0	0	0	0	0	0	0
AGIS_Os01g000740	255	307	343	204	354	447	262	345
AGIS_Os01g000750	4	38	21	16	18	7	8	3
AGIS_Os01g000760	11	72	42	44	65	18	22	26
AGIS_Os01g000770	60	111	190	149	58	128	132	109
AGIS_Os01g000780	810	1220	1265	1176	761	1337	1514	1076
AGIS_Os01g000790	450	374	574	517	401	589	821	688
AGIS_Os01g000800	0	0	0	0	0	0	0	0
AGIS_Os01g000810	598	516	777	530	425	1218	1430	1333
AGIS_Os01g000820	0	12	0	0	0	0	1	0
AGIS_Os01g000830	0	0	0	0	0	0	0	0
AGIS_Os01g000840	0	0	0	0	0	0	0	0
AGIS_Os01g000850	369	214	318	532	389	249	201	275
AGIS_Os01g000860	0	0	0	0	0	0	0	0
AGIS_Os01g000870	82	85	95	114	235	272	126	174
AGIS_Os01g000880	0	0	0	0	0	0	0	0
AGIS_Os01g000890	246	374	294	257	105	404	389	257
AGIS_Os01g000900	250	273	312	191	180	268	424	357
AGIS_Os01g000910	0	0	0	0	0	0	0	0
AGIS_Os01g000920	0	19	0	0	0	18	4	7
AGIS_Os01g000930	17	1	0	0	4	6	0	0
AGIS_Os01g000940	0	0	16	18	0	0	4	2
AGIS_Os01g000950	1737	1365	1936	1564	918	3704	4302	3159
AGIS_Os01g000960	316	417	448	357	439	347	361	355
AGIS_Os01g000970	0	12	0	0	14	0	1	0
AGIS_Os01g000980	0	0	0	0	0	0	0	0
AGIS_Os01g000990	427	274	427	258	175	409	399	325
AGIS_Os01g001000	962	1689	1588	1492	2390	1330	1311	2294
AGIS_Os01g001010	767	929	933	711	789	683	843	675
AGIS_Os01g001020	153	270	355	274	326	415	402	497
AGIS_Os01g001030	0	0	4	2	6	10	2	6
AGIS_Os01g001040	24	34	32	26	20	62	24	57
AGIS_Os01g001050	0	0	0	0	0	2	5	0
AGIS_Os01g001060	16	61	32	44	8	22	21	0
AGIS_Os01g001070	1579	1555	2662	1702	1872	2421	2435	2259
AGIS_Os01g001080	170	251	311	224	190	314	348	241
AGIS_Os01g001090	166	198	180	60	73	255	292	129
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	21	38	10	3	12	86	27	24
AGIS_Os01g001120	500	990	1078	768	832	490	417	526
AGIS_Os01g001130	2535	4519	5520	4561	4467	3639	3568	4012
AGIS_Os01g001140	34	55	86	68	92	42	35	62
AGIS_Os01g001150	100	120	192	165	110	165	139	175
AGIS_Os01g001160	334	332	392	299	266	359	232	329
AGIS_Os01g001170	12	173	126	79	50	37	64	46
AGIS_Os01g001180	1895	2699	2981	2275	2043	1629	1865	1574
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	0	0	0	0	0	0	6	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	0	0	4	0	0	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	38	14	39	9	10	28	36	39
AGIS_Os01g001280	78	21	66	37	115	68	64	71
AGIS_Os01g001290	150	206	201	105	98	169	196	128
AGIS_Os01g001300	163	190	354	168	124	362	271	207
AGIS_Os01g001310	96	111	225	138	74	160	133	157
AGIS_Os01g001320	172	339	215	269	145	309	307	214
AGIS_Os01g001330	75	36	116	82	44	78	128	74
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	36	16	105	49	60	105	68	38
AGIS_Os01g001370	58	77	102	90	21	87	99	122
AGIS_Os01g001380	2	0	0	0	0	0	0	0
AGIS_Os01g001390	27	38	31	15	0	45	101	21
AGIS_Os01g001400	8	0	10	8	18	25	8	8
AGIS_Os01g001410	0	0	0	0	0	4	16	2
AGIS_Os01g001420	0	0	0	0	0	2	6	6
AGIS_Os01g001430	0	0	0	0	0	0	0	0
AGIS_Os01g001440	27	40	31	26	28	16	20	15
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	18	6	0	8	0	22	24	15
AGIS_Os01g001470	5	41	18	24	4	35	25	37
AGIS_Os01g001480	0	0	0	0	0	6	0	0
AGIS_Os01g001490	0	18	8	0	4	24	20	6
AGIS_Os01g001500	22	0	0	0	0	8	12	2
AGIS_Os01g001510	0	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	0	0	0	0	0	1	0
AGIS_Os01g001550	0	0	0	6	4	1	4	0
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	170	145	131	152	103	183	181	166
AGIS_Os01g001580	142	112	54	91	41	56	64	45
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
AGIS_Os01g001620	0	0	0	0	0	0	0	0
AGIS_Os01g001630	0	0	0	0	10	1	0	0
AGIS_Os01g001640	16	0	0	8	0	0	0	0
AGIS_Os01g001650	27	46	30	24	3	37	39	11
AGIS_Os01g001660	6	0	0	0	0	0	0	0
AGIS_Os01g001670	0	0	1	0	4	0	0	0
AGIS_Os01g001680	603	665	742	715	364	1008	1096	799
AGIS_Os01g001690	11	6	8	12	0	26	22	5
AGIS_Os01g001700	0	0	0	0	0	0	0	0
AGIS_Os01g001710	107	70	26	43	4	39	43	25
AGIS_Os01g001720	0	14	0	0	0	13	1	12
AGIS_Os01g001730	10	34	35	6	12	33	56	44
AGIS_Os01g001740	0	0	0	0	0	0	0	0
AGIS_Os01g001750	0	0	0	0	0	0	0	0
AGIS_Os01g001760	0	0	0	0	0	0	0	0
AGIS_Os01g001770	0	0	0	0	0	0	0	0
AGIS_Os01g001780	56	38	41	84	16	53	60	70
AGIS_Os01g001790	1	8	8	0	0	7	0	10
AGIS_Os01g001800	2	2	15	18	2	5	10	7
AGIS_Os01g001810	10	4	4	1	0	1	10	10
AGIS_Os01g001820	10	0	12	0	4	13	9	4
AGIS_Os01g001830	5872	6982	10007	8254	7322	6014	5598	6056
AGIS_Os01g001840	491	551	737	550	322	833	1102	814
