,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmockWT_1,CPM.LPmockWT_2,CPM.LPmockWT_3,CPM.LPmockWT_4,CPM.LPmockpho2_1,CPM.LPmockpho2_2,CPM.LPmockpho2_3,CPM.LPmockpho2_4
1,AGIS_Os01g000010, 3.481324e-01, 2.8730036532, 5.981361e-01,4.630940e-01,0.788255779,Not_significant,7.176548e+00,4.607418e+00,6.012567e+00,6.316277e+00,2.548999e+00,8.837301e+00,1.325334e+01,9.549876e+00
3,AGIS_Os01g000030, 1.158779e+00, 1.8574557492, 1.028347e+01,1.370256e-02,0.352444873,Not_significant,1.876222e+00,1.796715e+00,3.556940e+00,1.829949e+00,5.453186e+00,4.291920e+00,3.784131e+00,6.098114e+00
4,AGIS_Os01g000040, 4.356781e-01, 4.5409964659, 5.870990e+00,4.353544e-02,0.461921275,Not_significant,2.059153e+01,1.570791e+01,2.229412e+01,2.042460e+01,2.304546e+01,2.433215e+01,2.703966e+01,3.250410e+01
5,AGIS_Os01g000050,-8.181868e-02, 3.1875373805, 1.350275e-01,7.234003e-01,0.910690060,Not_significant,9.170034e+00,1.006872e+01,8.334252e+00,9.464577e+00,7.187341e+00,1.023978e+01,1.089048e+01,7.229525e+00
6,AGIS_Os01g000060, 4.029841e-02, 6.0698567497, 3.214338e-02,8.624874e-01,0.960100592,Not_significant,5.790490e+01,6.199556e+01,7.280564e+01,7.010870e+01,9.011338e+01,6.917765e+01,5.436357e+01,6.063596e+01
7,AGIS_Os01g000070,-1.385914e-01, 1.8960128272, 1.905097e-01,6.747670e-01,0.890595440,Not_significant,3.752444e+00,5.425723e+00,3.690883e+00,2.361225e+00,2.131130e+00,4.393304e+00,5.294230e+00,2.416234e+00
8,AGIS_Os01g000080, 2.329215e-01, 5.2388601226, 1.792290e+00,2.197030e-01,0.637310303,Not_significant,3.843909e+01,3.145141e+01,3.104509e+01,3.756315e+01,4.011539e+01,3.298358e+01,4.368628e+01,4.652209e+01
12,AGIS_Os01g000120, 1.572146e+00,-0.3573886918, 2.113531e+00,1.867496e-01,0.612381520,Not_significant,4.925082e-01,0.000000e+00,9.971337e-01,3.738606e-01,6.685899e-01,1.047634e+00,1.581163e+00,7.670583e-01
13,AGIS_Os01g000130, 3.132044e-01, 1.7941434079, 1.207189e+00,3.058167e-01,0.699772059,Not_significant,2.134202e+00,2.543864e+00,3.854591e+00,3.856667e+00,3.405630e+00,3.379465e+00,3.624238e+00,4.640703e+00
14,AGIS_Os01g000140, 1.945218e-01, 2.7194136863, 6.819882e-01,4.343175e-01,0.774502081,Not_significant,6.050815e+00,4.625207e+00,7.128762e+00,6.768845e+00,7.542530e+00,6.894108e+00,6.324651e+00,7.056937e+00
16,AGIS_Os01g000160, 4.681223e-01, 3.7190568763, 1.509418e+00,2.565799e-01,0.664106879,Not_significant,1.334463e+01,7.684959e+00,1.101312e+01,1.054680e+01,6.476965e+00,1.804634e+01,2.266926e+01,1.526446e+01
17,AGIS_Os01g000170,-2.066567e-01, 2.4735531919, 6.226947e-01,4.542040e-01,0.782997481,Not_significant,6.848210e+00,4.002583e+00,6.414397e+00,6.237569e+00,7.646997e+00,4.393304e+00,4.654659e+00,3.950350e+00
18,AGIS_Os01g000180,-2.910710e-02, 3.1859070143, 1.033655e-02,9.216993e-01,0.979830629,Not_significant,5.605213e+00,1.081587e+01,8.021717e+00,1.074357e+01,3.927966e+00,1.098326e+01,1.485227e+01,7.536348e+00
19,AGIS_Os01g000190,-6.269582e-01, 4.9927743784, 8.921081e+00,1.887196e-02,0.379597879,Not_significant,3.386580e+01,4.112876e+01,3.269706e+01,4.478457e+01,1.437468e+01,3.056726e+01,2.691530e+01,3.008786e+01
20,AGIS_Os01g000200, 3.286174e-01, 2.3934914045, 1.751455e+00,2.245105e-01,0.641259233,Not_significant,4.080782e+00,3.949215e+00,4.658251e+00,5.863709e+00,4.889064e+00,5.745090e+00,6.928691e+00,5.618702e+00
28,AGIS_Os01g000280,-4.087133e-01,-1.0412352207, 1.863279e-01,6.781642e-01,0.891751308,Not_significant,3.752444e-01,2.846281e-01,5.060081e-01,8.264287e-01,6.268030e-01,5.914064e-01,2.664881e-01,1.150587e-01
30,AGIS_Os01g000300, 3.655430e-01, 2.5459795749, 2.462494e+00,1.576283e-01,0.590692107,Not_significant,5.136157e+00,4.287211e+00,5.447029e+00,5.411140e+00,6.894833e+00,6.420983e+00,7.284008e+00,5.541996e+00
31,AGIS_Os01g000310,-3.359475e-01, 2.7153653906, 1.299890e+00,2.895199e-01,0.689242780,Not_significant,7.739415e+00,5.692562e+00,8.185426e+00,7.182059e+00,3.363843e+00,7.113774e+00,6.786564e+00,6.174820e+00
32,AGIS_Os01g000320,-5.793377e-02, 5.1177697839, 1.076349e-01,7.517999e-01,0.921346716,Not_significant,3.433486e+01,3.910079e+01,3.707254e+01,3.106978e+01,3.823498e+01,3.186835e+01,3.185421e+01,3.394233e+01
33,AGIS_Os01g000330, 9.396420e-02, 2.9230032686, 1.034834e-01,7.565180e-01,0.922024188,Not_significant,6.261890e+00,7.631591e+00,6.786462e+00,7.418182e+00,3.489203e+00,9.428707e+00,1.087271e+01,8.475994e+00
35,AGIS_Os01g000350, 1.731833e-01, 0.4874308286, 1.113838e-01,7.477625e-01,0.919673976,Not_significant,1.735505e+00,1.885661e+00,5.655385e-01,1.023197e+00,7.103768e-01,2.365625e+00,1.332441e+00,1.303999e+00
