GeneID	LPmycWT_1	LPmycWT_2	LPmycWT_3	LPmycWT_4	LPmycpho2_1	LPmycpho2_2	LPmycpho2_3	LPmycpho2_4
AGIS_Os01g000010	442	306	540	432	481	1053	595	635
AGIS_Os01g000020	0	8	12	20	4	10	4	17
AGIS_Os01g000030	70	52	122	224	66	162	117	173
AGIS_Os01g000040	948	787	1162	701	861	1260	1222	1035
AGIS_Os01g000050	388	263	496	239	388	620	521	520
AGIS_Os01g000060	4528	2783	4321	3674	3202	3561	4373	3101
AGIS_Os01g000070	300	145	159	143	213	307	138	239
AGIS_Os01g000080	2185	2670	3275	2568	3060	4110	3312	2983
AGIS_Os01g000090	0	0	0	0	0	2	0	1
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	0	14	40	10	10	8	12	0
AGIS_Os01g000120	41	6	83	51	77	59	95	99
AGIS_Os01g000130	159	70	75	120	68	177	96	175
AGIS_Os01g000140	494	245	565	320	466	359	390	386
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	583	371	980	639	919	1483	762	869
AGIS_Os01g000170	211	195	302	155	89	158	171	140
AGIS_Os01g000180	679	633	956	561	871	2369	965	816
AGIS_Os01g000190	3643	3086	4365	2462	3212	4319	3930	3080
AGIS_Os01g000200	703	515	817	571	675	782	662	616
AGIS_Os01g000210	0	0	0	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	0	0	0	0	8	0
AGIS_Os01g000260	0	0	0	0	4	14	0	8
AGIS_Os01g000270	0	0	0	0	0	7	2	14
AGIS_Os01g000280	42	24	71	54	2	112	37	75
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	304	130	405	229	276	273	284	247
AGIS_Os01g000310	552	338	539	341	438	561	463	505
AGIS_Os01g000320	2215	1329	2406	1533	1571	2028	1906	1553
AGIS_Os01g000330	502	434	576	463	578	730	546	649
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	44	55	58	41	92	95	92	36
AGIS_Os01g000360	282	209	166	269	81	408	223	234
AGIS_Os01g000370	226	73	81	124	105	130	101	80
AGIS_Os01g000380	44	8	81	54	30	95	71	55
AGIS_Os01g000390	1785	1027	1848	1203	1387	1789	1433	1557
AGIS_Os01g000400	141	66	178	102	137	188	140	111
AGIS_Os01g000410	341	398	507	379	256	367	367	397
AGIS_Os01g000420	156	148	172	158	206	141	149	145
AGIS_Os01g000430	556	392	709	458	432	538	460	429
AGIS_Os01g000440	773	648	908	645	745	851	936	676
AGIS_Os01g000450	109	100	167	139	63	157	104	121
AGIS_Os01g000460	0	0	0	4	0	7	8	0
AGIS_Os01g000470	5055	2864	4079	3978	2401	2930	2751	3515
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	151	156	234	166	241	537	232	248
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	463	414	555	451	560	792	684	532
AGIS_Os01g000530	689	329	766	1078	651	999	735	985
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	0	0	0	0	0
AGIS_Os01g000570	172	161	268	327	290	770	373	348
AGIS_Os01g000580	260	120	313	314	318	817	400	420
AGIS_Os01g000590	4	0	0	1	20	4	0	0
AGIS_Os01g000600	0	0	0	0	0	0	0	0
AGIS_Os01g000610	18	0	1	2	0	2	36	12
AGIS_Os01g000620	57	47	131	40	70	72	43	52
AGIS_Os01g000630	1745	1186	2165	1627	1650	2764	2009	2383
AGIS_Os01g000640	2018	1254	2153	1456	1705	1858	1818	1818
AGIS_Os01g000650	44	14	49	104	30	84	35	153
AGIS_Os01g000660	1106	623	594	1247	138	618	332	1172
AGIS_Os01g000670	311	254	473	248	158	244	260	304
AGIS_Os01g000680	54	65	10	24	54	48	26	40
AGIS_Os01g000690	85	80	204	124	243	1284	267	305
AGIS_Os01g000700	1341	875	1302	909	861	938	939	761
AGIS_Os01g000710	10191	7312	11997	6274	6996	10110	10849	7904
AGIS_Os01g000720	765	486	691	517	710	580	635	788
AGIS_Os01g000730	0	0	0	0	0	0	0	0
AGIS_Os01g000740	123	248	313	295	329	376	312	185
AGIS_Os01g000750	27	16	0	14	18	0	24	12
AGIS_Os01g000760	5	8	0	8	26	2	10	36
AGIS_Os01g000770	42	52	129	65	74	157	110	78
AGIS_Os01g000780	1105	950	1418	932	1378	1443	1207	1244
AGIS_Os01g000790	462	341	538	438	522	936	642	730
AGIS_Os01g000800	0	0	0	0	0	0	0	0
AGIS_Os01g000810	985	787	907	925	1156	1965	1352	1403
AGIS_Os01g000820	0	0	0	0	0	0	0	4
AGIS_Os01g000830	0	0	0	0	0	0	0	0
AGIS_Os01g000840	0	0	0	0	0	0	0	0
AGIS_Os01g000850	184	233	470	189	186	256	160	233
AGIS_Os01g000860	0	0	0	0	0	0	0	0
AGIS_Os01g000870	120	68	104	89	126	323	117	149
AGIS_Os01g000880	0	0	0	0	0	0	0	0
AGIS_Os01g000890	210	105	275	226	184	663	216	191
AGIS_Os01g000900	212	86	234	138	249	402	169	165
AGIS_Os01g000910	0	0	0	0	0	0	0	0
AGIS_Os01g000920	0	11	5	10	0	12	20	6
AGIS_Os01g000930	0	0	12	5	7	4	0	0
AGIS_Os01g000940	26	8	0	4	2	3	0	14
AGIS_Os01g000950	1649	1500	3034	2197	3405	5016	3292	3836
AGIS_Os01g000960	309	146	322	210	244	333	283	218
AGIS_Os01g000970	0	0	0	0	0	0	0	0
AGIS_Os01g000980	0	0	0	0	0	0	0	0
AGIS_Os01g000990	103	196	221	170	242	248	236	163
AGIS_Os01g001000	636	501	411	1045	353	409	290	955
AGIS_Os01g001010	438	406	784	487	503	758	526	533
AGIS_Os01g001020	168	55	219	309	150	255	179	284
AGIS_Os01g001030	0	0	0	2	22	4	10	0
AGIS_Os01g001040	1	0	26	13	0	14	0	16
AGIS_Os01g001050	3	0	0	0	0	0	0	0
AGIS_Os01g001060	8	10	54	22	26	66	26	23
AGIS_Os01g001070	1527	1337	2171	1645	1863	2259	2462	2253
AGIS_Os01g001080	247	227	328	171	307	271	415	210
AGIS_Os01g001090	50	12	10	55	74	42	28	80
AGIS_Os01g001100	0	0	0	0	0	2	0	0
AGIS_Os01g001110	100	62	61	28	16	64	31	41
AGIS_Os01g001120	571	481	478	267	219	363	401	274
AGIS_Os01g001130	3080	1659	2647	2293	1964	3026	2353	2955
AGIS_Os01g001140	86	18	12	86	8	71	50	74
AGIS_Os01g001150	130	110	162	145	75	202	202	134
AGIS_Os01g001160	487	312	529	266	442	381	351	330
AGIS_Os01g001170	47	22	2	6	6	22	11	12
AGIS_Os01g001180	1767	1354	2086	1448	1813	1838	1755	1467
AGIS_Os01g001190	0	0	0	0	0	0	0	0
AGIS_Os01g001200	0	0	0	0	0	0	0	0
AGIS_Os01g001210	0	0	0	0	0	0	0	0
AGIS_Os01g001220	0	0	0	0	0	0	0	0
AGIS_Os01g001230	4	0	0	0	9	4	8	0
AGIS_Os01g001240	0	0	0	0	0	0	0	0
AGIS_Os01g001250	0	0	0	0	0	1	0	0
AGIS_Os01g001260	0	0	0	0	0	0	0	0
AGIS_Os01g001270	0	23	7	17	40	89	42	41
AGIS_Os01g001280	63	56	56	54	72	72	29	70
AGIS_Os01g001290	105	125	328	75	86	124	241	168
AGIS_Os01g001300	432	341	478	329	380	653	357	341
AGIS_Os01g001310	142	189	252	87	159	245	204	176
AGIS_Os01g001320	288	146	243	90	87	220	148	177
AGIS_Os01g001330	56	24	45	34	24	160	52	64
AGIS_Os01g001340	0	0	0	0	0	0	0	0
AGIS_Os01g001350	0	0	0	0	0	0	0	0
AGIS_Os01g001360	37	0	49	21	47	155	76	107
AGIS_Os01g001370	20	71	84	34	66	93	36	38
AGIS_Os01g001380	0	0	4	0	0	0	0	0
AGIS_Os01g001390	31	4	8	18	33	45	53	35
AGIS_Os01g001400	10	6	16	1	12	19	8	1
AGIS_Os01g001410	2	8	20	0	5	0	41	0
AGIS_Os01g001420	1	0	0	0	4	2	8	10
AGIS_Os01g001430	0	0	0	0	0	8	0	8
AGIS_Os01g001440	85	21	64	13	8	9	23	10
AGIS_Os01g001450	0	0	0	0	0	0	0	0
AGIS_Os01g001460	24	20	47	17	73	179	56	57
AGIS_Os01g001470	4	16	26	55	17	152	19	31
AGIS_Os01g001480	28	7	12	9	4	16	8	0
AGIS_Os01g001490	0	0	0	24	12	40	2	8
AGIS_Os01g001500	0	0	14	2	6	31	2	4
AGIS_Os01g001510	14	0	0	0	0	0	0	0
AGIS_Os01g001520	0	0	0	0	0	0	0	0
AGIS_Os01g001530	0	0	0	0	0	0	0	0
AGIS_Os01g001540	0	0	0	0	0	4	0	6
AGIS_Os01g001550	0	0	0	0	0	0	0	0
AGIS_Os01g001560	0	0	0	0	0	0	0	0
AGIS_Os01g001570	105	75	178	98	175	297	209	164
AGIS_Os01g001580	113	129	147	74	316	299	155	230
AGIS_Os01g001590	0	0	0	0	0	0	0	0
AGIS_Os01g001600	0	0	0	0	0	0	0	0
AGIS_Os01g001610	0	0	0	0	0	0	0	0
