,genes,logFC,logCPM,F,PValue,FDR,change,CPM.LPmycWT_1,CPM.LPmycWT_2,CPM.LPmycWT_3,CPM.LPmycWT_4,CPM.LPmycpho2_1,CPM.LPmycpho2_2,CPM.LPmycpho2_3,CPM.LPmycpho2_4
1,AGIS_Os01g000010, 5.291698e-01, 3.481856e+00, 8.255084e+00,1.316765e-02,9.215073e-02,Not_significant,8.704524e+00,8.491375e+00,8.970042e+00,9.937619e+00,1.088229e+01,1.742621e+01,1.184982e+01,1.276520e+01
3,AGIS_Os01g000030, 1.524208e-01, 1.344176e+00, 1.848176e-01,6.743703e-01,8.350694e-01,Not_significant,1.378545e+00,1.442979e+00,2.026565e+00,5.152840e+00,1.493204e+00,2.680955e+00,2.330133e+00,3.477763e+00
4,AGIS_Os01g000040, 1.742165e-01, 4.337487e+00, 1.394156e+00,2.590500e-01,5.121322e-01,Not_significant,1.866943e+01,2.183893e+01,1.930220e+01,1.612563e+01,1.947952e+01,2.085187e+01,2.433694e+01,2.080627e+01
5,AGIS_Os01g000050, 4.859420e-01, 3.106215e+00, 6.044532e+00,2.889883e-02,1.450937e-01,Not_significant,7.641075e+00,7.298143e+00,8.239150e+00,5.497896e+00,8.778227e+00,1.026044e+01,1.037606e+01,1.045339e+01
6,AGIS_Os01g000060,-2.131648e-01, 6.237950e+00, 1.997716e+00,1.812466e-01,4.225834e-01,Not_significant,8.917214e+01,7.722712e+01,7.177695e+01,8.451577e+01,7.244300e+01,5.893136e+01,8.709120e+01,6.233840e+01
7,AGIS_Os01g000070, 1.605143e-01, 2.072084e+00, 3.735698e-01,5.516997e-01,7.587164e-01,Not_significant,5.908048e+00,4.023691e+00,2.641179e+00,3.289536e+00,4.818975e+00,5.080575e+00,2.748362e+00,4.804540e+00
8,AGIS_Os01g000080, 2.147538e-01, 5.948600e+00, 1.972048e+00,1.838832e-01,4.257940e-01,Not_significant,4.303028e+01,7.409141e+01,5.440164e+01,5.907363e+01,6.923035e+01,6.801682e+01,6.596068e+01,5.996629e+01
11,AGIS_Os01g000110,-1.118440e+00,-1.857971e+00, 4.188083e-01,5.288979e-01,7.426789e-01,Not_significant,0.000000e+00,3.884943e-01,6.644476e-01,2.300375e-01,2.262430e-01,1.323928e-01,2.389880e-01,0.000000e+00
12,AGIS_Os01g000120, 1.137952e+00, 3.904107e-01, 4.764808e+00,4.816898e-02,1.958813e-01,Not_significant,8.074332e-01,1.664976e-01,1.378729e+00,1.173191e+00,1.742071e+00,9.763971e-01,1.891988e+00,1.990165e+00
13,AGIS_Os01g000130, 1.447827e-01, 1.271219e+00, 1.418105e-01,7.126183e-01,8.579783e-01,Not_significant,3.131265e+00,1.942471e+00,1.245839e+00,2.760450e+00,1.538452e+00,2.929191e+00,1.911904e+00,3.517969e+00
14,AGIS_Os01g000140,-6.854500e-02, 3.035889e+00, 1.291679e-01,7.251199e-01,8.645564e-01,Not_significant,9.728586e+00,6.798650e+00,9.385322e+00,7.361199e+00,1.054292e+01,5.941128e+00,7.767109e+00,7.759634e+00
16,AGIS_Os01g000160, 5.620267e-01, 4.034419e+00, 7.060491e+00,2.074362e-02,1.199798e-01,Not_significant,1.148131e+01,1.029510e+01,1.627897e+01,1.469940e+01,2.079173e+01,2.454232e+01,1.517574e+01,1.746923e+01
17,AGIS_Os01g000170,-7.472779e-01, 1.873042e+00, 7.036472e+00,2.004067e-02,1.177146e-01,Not_significant,4.155327e+00,5.411171e+00,5.016579e+00,3.565581e+00,2.013562e+00,2.614758e+00,3.405578e+00,2.814375e+00
18,AGIS_Os01g000180, 5.842631e-01, 4.272548e+00, 1.159613e+01,4.751337e-03,5.141333e-02,Not_significant,1.337188e+01,1.756549e+01,1.588030e+01,1.290510e+01,1.970576e+01,3.920483e+01,1.921862e+01,1.640379e+01
19,AGIS_Os01g000190,-7.635199e-04, 6.157771e+00, 3.239790e-05,9.955457e-01,9.982373e-01,Not_significant,7.174340e+01,8.563524e+01,7.250784e+01,5.663523e+01,7.266924e+01,7.147558e+01,7.826856e+01,6.191625e+01
20,AGIS_Os01g000200,-3.196118e-02, 3.767389e+00, 4.180727e-02,8.411831e-01,9.286869e-01,Not_significant,1.384453e+01,1.429104e+01,1.357134e+01,1.313514e+01,1.527140e+01,1.294140e+01,1.318417e+01,1.238325e+01
28,AGIS_Os01g000280,-4.428436e-01, 7.626302e-02, 2.961458e-01,5.959914e-01,7.863391e-01,Not_significant,8.271267e-01,6.659902e-01,1.179394e+00,1.242202e+00,4.524859e-02,1.853500e+00,7.368795e-01,1.507701e+00
30,AGIS_Os01g000300, 1.012113e-02, 2.436860e+00, 1.974792e-03,9.652363e-01,9.864941e-01,Not_significant,5.986822e+00,3.607447e+00,6.727531e+00,5.267858e+00,6.244306e+00,4.517905e+00,5.656048e+00,4.965361e+00
31,AGIS_Os01g000310, 6.590958e-02, 3.246789e+00, 1.310221e-01,7.232439e-01,8.636895e-01,Not_significant,1.087081e+01,9.379362e+00,8.953431e+00,7.844278e+00,9.909442e+00,9.284047e+00,9.220952e+00,1.015185e+01
32,AGIS_Os01g000320,-1.703358e-01, 5.201343e+00, 1.770389e+00,2.064113e-01,4.531138e-01,Not_significant,4.362109e+01,3.687921e+01,3.996652e+01,3.526475e+01,3.554277e+01,3.356158e+01,3.795925e+01,3.121946e+01
33,AGIS_Os01g000330, 2.212808e-01, 3.516367e+00, 1.743350e+00,2.096976e-01,4.576980e-01,Not_significant,9.886134e+00,1.204332e+01,9.568045e+00,1.065074e+01,1.307684e+01,1.208085e+01,1.087395e+01,1.304664e+01
35,AGIS_Os01g000350, 4.697697e-01, 4.353236e-01, 8.989464e-01,3.605150e-01,6.109297e-01,Not_significant,8.665137e-01,1.526228e+00,9.634489e-01,9.431537e-01,2.081435e+00,1.572165e+00,1.832241e+00,7.236964e-01
36,AGIS_Os01g000360,-2.512055e-01, 2.260982e+00, 5.294166e-01,4.806666e-01,7.100328e-01,Not_significant,5.553565e+00,5.799665e+00,2.757457e+00,6.188008e+00,1.832568e+00,6.752034e+00,4.441193e+00,4.704027e+00
37,AGIS_Os01g000370,-2.723833e-01, 1.258288e+00, 5.168721e-01,4.850186e-01,7.130929e-01,Not_significant,4.450729e+00,2.025720e+00,1.345506e+00,2.852465e+00,2.375551e+00,2.151384e+00,2.011482e+00,1.608214e+00
38,AGIS_Os01g000380, 4.757182e-01, 1.426365e-01, 5.380618e-01,4.763773e-01,7.067826e-01,Not_significant,8.665137e-01,2.219967e-01,1.345506e+00,1.242202e+00,6.787289e-01,1.572165e+00,1.414012e+00,1.105647e+00
39,AGIS_Os01g000390,-9.315947e-03, 4.925864e+00, 4.858594e-03,9.455001e-01,9.777359e-01,Not_significant,3.515289e+01,2.849883e+01,3.069748e+01,2.767351e+01,3.137990e+01,2.960635e+01,2.853915e+01,3.129987e+01
40,AGIS_Os01g000400, 1.878017e-01, 1.425632e+00, 3.336772e-01,5.734618e-01,7.708163e-01,Not_significant,2.776783e+00,1.831473e+00,2.956792e+00,2.346382e+00,3.099529e+00,3.111232e+00,2.788193e+00,2.231397e+00
41,AGIS_Os01g000410,-3.511514e-01, 2.962355e+00, 2.887180e+00,1.132948e-01,3.244271e-01,Not_significant,6.715481e+00,1.104434e+01,8.421873e+00,8.718421e+00,5.791820e+00,6.073521e+00,7.309048e+00,7.980763e+00
42,AGIS_Os01g000420,-1.177167e-01, 1.746052e+00, 1.380696e-01,7.162486e-01,8.597292e-01,Not_significant,3.072185e+00,4.106940e+00,2.857124e+00,3.634592e+00,4.660605e+00,2.333424e+00,2.967434e+00,2.914888e+00
43,AGIS_Os01g000430,-2.760512e-01, 3.338480e+00, 2.608855e+00,1.304872e-01,3.512167e-01,Not_significant,1.094958e+01,1.087784e+01,1.177733e+01,1.053572e+01,9.773696e+00,8.903418e+00,9.161205e+00,8.624049e+00
44,AGIS_Os01g000440,-5.958882e-03, 3.984194e+00, 1.335859e-03,9.714047e-01,9.893758e-01,Not_significant,1.522307e+01,1.798174e+01,1.508296e+01,1.483742e+01,1.685510e+01,1.408329e+01,1.864106e+01,1.358941e+01
45,AGIS_Os01g000450,-3.737073e-01, 1.303219e+00, 1.304269e+00,2.742219e-01,5.280379e-01,Not_significant,2.146591e+00,2.774959e+00,2.774069e+00,3.197521e+00,1.425331e+00,2.598209e+00,2.071229e+00,2.432424e+00
47,AGIS_Os01g000470,-5.663609e-01, 6.146836e+00, 1.562100e+01,1.682712e-03,2.965888e-02,Not_significant,9.955061e+01,7.947483e+01,6.775704e+01,9.150891e+01,5.432094e+01,4.848887e+01,5.478799e+01,7.066091e+01
50,AGIS_Os01g000500, 6.361971e-01, 2.296561e+00, 6.479689e+00,2.454010e-02,1.325629e-01,Not_significant,2.973717e+00,4.328936e+00,3.887018e+00,3.818622e+00,5.452455e+00,8.886869e+00,4.620434e+00,4.985464e+00
52,AGIS_Os01g000520, 3.183438e-01, 3.501681e+00, 3.365398e+00,8.977562e-02,2.836991e-01,Not_significant,9.118087e+00,1.148833e+01,9.219210e+00,1.037469e+01,1.266961e+01,1.310689e+01,1.362231e+01,1.069462e+01
53,AGIS_Os01g000530, 2.085373e-01, 3.980184e+00, 1.209775e+00,2.915642e-01,5.451413e-01,Not_significant,1.356882e+01,9.129616e+00,1.272417e+01,2.479804e+01,1.472842e+01,1.653255e+01,1.463801e+01,1.980114e+01
