GeneID	HPmockWT_1	HPmockWT_2	HPmockWT_3	HPmockWT_4	HPmockpho2_1	HPmockpho2_2	HPmockpho2_3	HPmockpho2_4
AGIS_Os01g000010	28	428	52	770	467	591	58	394
AGIS_Os01g000020	24	20	50	62	14	14	28	22
AGIS_Os01g000030	167	383	237	308	195	256	164	319
AGIS_Os01g000040	724	1557	776	1807	1122	1386	1323	1771
AGIS_Os01g000050	125	406	184	467	287	311	277	381
AGIS_Os01g000060	3719	3369	3444	3786	2469	3539	5380	3513
AGIS_Os01g000070	79	279	101	267	227	212	59	160
AGIS_Os01g000080	942	2157	1327	2339	1468	1648	1704	2117
AGIS_Os01g000090	0	0	0	0	0	0	0	0
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	0	40	0	0	4	1	6	7
AGIS_Os01g000120	0	54	24	88	19	74	42	40
AGIS_Os01g000130	264	294	174	359	131	173	224	224
AGIS_Os01g000140	563	576	477	663	394	330	451	447
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	200	889	314	1121	752	845	472	881
AGIS_Os01g000170	286	460	266	357	219	185	254	235
AGIS_Os01g000180	34	115	52	115	113	550	390	215
AGIS_Os01g000190	72	68	291	396	27	1594	2212	390
AGIS_Os01g000200	78	132	135	172	60	189	397	172
AGIS_Os01g000210	0	0	0	0	0	0	0	0
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	6
AGIS_Os01g000250	0	0	0	0	0	0	0	0
AGIS_Os01g000260	0	4	0	0	0	0	0	0
AGIS_Os01g000270	0	8	0	11	0	8	0	0
AGIS_Os01g000280	29	72	0	22	32	1	20	0
AGIS_Os01g000290	0	0	0	0	0	0	0	0
AGIS_Os01g000300	434	353	372	302	325	271	411	406
AGIS_Os01g000310	142	219	206	304	84	350	409	191
AGIS_Os01g000320	1353	2506	2338	2466	1591	1829	2075	1846
AGIS_Os01g000330	104	444	92	722	507	578	216	447
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	92	52	48	107	67	64	43	48
AGIS_Os01g000360	490	888	428	1099	248	106	179	181
AGIS_Os01g000370	114	197	140	229	125	192	258	199
AGIS_Os01g000380	355	245	75	181	80	68	140	94
AGIS_Os01g000390	1888	2162	1815	2465	1439	1511	2056	1877
AGIS_Os01g000400	12	132	0	191	153	146	20	104
AGIS_Os01g000410	561	852	771	867	549	658	771	646
AGIS_Os01g000420	199	342	258	281	207	164	252	212
AGIS_Os01g000430	757	990	730	1007	472	571	641	724
AGIS_Os01g000440	1300	1577	931	1392	840	759	900	1035
AGIS_Os01g000450	202	263	83	292	104	173	225	335
AGIS_Os01g000460	0	0	0	4	12	3	0	3
AGIS_Os01g000470	9897	8115	7221	8607	3143	4199	8182	7888
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	44	207	60	321	116	272	66	126
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	169	518	120	983	506	672	246	411
AGIS_Os01g000530	2479	2725	1703	2565	1793	1156	1311	2200
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	0	0	0	0	1
AGIS_Os01g000570	57	301	99	629	268	375	85	253
AGIS_Os01g000580	28	357	152	783	399	476	77	415
AGIS_Os01g000590	0	0	6	2	8	9	0	5
AGIS_Os01g000600	0	0	0	0	0	0	0	1
AGIS_Os01g000610	4	18	18	10	6	46	24	30
AGIS_Os01g000620	0	74	54	55	43	59	96	48
AGIS_Os01g000630	1258	1869	1494	2270	924	980	1311	1504
AGIS_Os01g000640	3598	2030	1798	2694	1586	1732	2426	2565
AGIS_Os01g000650	417	171	140	155	96	111	176	311
AGIS_Os01g000660	4564	3113	2359	4155	513	911	2573	2061
AGIS_Os01g000670	268	498	386	509	187	297	227	247
AGIS_Os01g000680	116	69	74	153	24	60	91	121
AGIS_Os01g000690	57	168	33	209	166	336	34	136
AGIS_Os01g000700	1770	1801	1863	1883	829	918	1301	1083
AGIS_Os01g000710	1940	3283	3642	4821	2894	8592	8812	3651
AGIS_Os01g000720	447	922	617	1069	719	511	466	625
AGIS_Os01g000730	0	0	0	0	0	0	0	0
AGIS_Os01g000740	522	679	572	772	744	347	302	551
AGIS_Os01g000750	38	18	34	70	18	3	32	1
AGIS_Os01g000760	75	7	0	18	12	18	27	16
AGIS_Os01g000770	4	177	44	164	115	112	132	59
AGIS_Os01g000780	280	888	384	1437	1028	972	681	992
AGIS_Os01g000790	231	687	417	825	499	448	349	628
AGIS_Os01g000800	0	0	0	0	0	0	0	0
AGIS_Os01g000810	211	901	471	1509	954	1122	471	1158
AGIS_Os01g000820	0	0	0	0	0	2	0	1
AGIS_Os01g000830	0	0	0	0	0	0	0	0
AGIS_Os01g000840	0	0	0	0	0	0	0	0
AGIS_Os01g000850	483	392	386	373	618	248	391	332
AGIS_Os01g000860	0	0	0	0	0	0	0	0
AGIS_Os01g000870	154	171	189	288	223	181	163	339
AGIS_Os01g000880	0	0	0	0	0	0	0	0
AGIS_Os01g000890	73	70	85	260	208	215	109	178
AGIS_Os01g000900	30	219	61	228	182	303	216	288
AGIS_Os01g000910	0	0	0	0	0	0	0	0
AGIS_Os01g000920	34	14	0	0	0	0	0	8
AGIS_Os01g000930	20	0	0	0	10	4	0	21
AGIS_Os01g000940	0	14	0	0	4	0	0	4
AGIS_Os01g000950	836	2397	750	4559	3199	2938	982	2635
AGIS_Os01g000960	113	279	104	324	178	264	298	268
AGIS_Os01g000970	0	0	0	0	0	0	0	0
AGIS_Os01g000980	0	0	0	0	0	0	0	0
AGIS_Os01g000990	227	373	119	256	323	191	150	249
AGIS_Os01g001000	2063	1521	1462	2009	525	1291	1821	2394
AGIS_Os01g001010	735	696	435	733	602	583	817	722
AGIS_Os01g001020	341	453	578	531	449	312	365	650
AGIS_Os01g001030	0	3	0	2	4	4	0	18
AGIS_Os01g001040	102	66	32	75	16	24	14	13
AGIS_Os01g001050	0	0	0	1	1	0	0	0
AGIS_Os01g001060	28	18	12	68	70	30	8	42
AGIS_Os01g001070	1901	2773	1529	3095	2154	2023	2503	2753
AGIS_Os01g001080	196	401	382	487	396	279	254	456
AGIS_Os01g001090	138	116	161	227	236	191	313	294
AGIS_Os01g001100	0	0	0	0	0	0	0	0
AGIS_Os01g001110	14	101	8	4	49	25	20	16
AGIS_Os01g001120	1281	725	609	1037	243	455	751	512
AGIS_Os01g001130	4646	5106	3927	5717	3142	3381	4995	5580
AGIS_Os01g001140	95	42	145	104	61	40	119	194
AGIS_Os01g001150	156	146	135	234	96	175	148	190
AGIS_Os01g001160	220	422	301	610	288	310	207	298
AGIS_Os01g001170	26	8	0	1	20	19	46	26
AGIS_Os01g001180	3260	2434	1564	2526	1736	1128	1632	1464
AGIS_Os01g001190	0	0	0	0	0	0	0	0
