,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmockWT_1,CPM.HPmockWT_2,CPM.HPmockWT_3,CPM.HPmockWT_4,CPM.HPmockpho2_1,CPM.HPmockpho2_2,CPM.HPmockpho2_3,CPM.HPmockpho2_4
1,AGIS_Os01g000010, 9.381951e-01, 3.7811888043,1.622258e+00,2.401596e-01,0.622903713,Not_significant,1.314691e+00,1.503087e+01,2.617085e+00,2.208884e+01,2.196441e+01,2.780629e+01,2.563290e+00,1.589194e+01
2,AGIS_Os01g000020,-7.273623e-01, 0.3535564656,7.278247e-01,4.192446e-01,0.740297458,Not_significant,1.126878e+00,7.023771e-01,2.516428e+00,1.778582e+00,6.584621e-01,6.586938e-01,1.237450e+00,8.873674e-01
3,AGIS_Os01g000030,-2.526825e-02, 3.3931327500,5.548224e-03,9.425153e-01,0.981546617,Not_significant,7.841195e+00,1.345052e+01,1.192787e+01,8.835535e+00,9.171436e+00,1.204469e+01,7.247924e+00,1.286683e+01
4,AGIS_Os01g000040, 4.830988e-01, 5.7418728211,5.700378e+00,4.508211e-02,0.397919350,Not_significant,3.399416e+01,5.468006e+01,3.905497e+01,5.183705e+01,5.277103e+01,6.521068e+01,5.846953e+01,7.143308e+01
5,AGIS_Os01g000050, 4.539091e-01, 3.6323414550,1.984695e+00,1.978384e-01,0.593637684,Not_significant,5.869158e+00,1.425826e+01,9.260456e+00,1.339674e+01,1.349847e+01,1.463241e+01,1.224192e+01,1.536759e+01
6,AGIS_Os01g000060, 1.901690e-01, 7.2733297334,5.582954e-01,4.773124e-01,0.774320533,Not_significant,1.746192e+02,1.183154e+02,1.733316e+02,1.086082e+02,1.161245e+02,1.665084e+02,2.377673e+02,1.416964e+02
7,AGIS_Os01g000070, 7.263695e-02, 2.8237201397,2.263551e-02,8.843050e-01,0.961608280,Not_significant,3.709308e+00,9.798161e+00,5.083185e+00,7.659376e+00,1.067649e+01,9.974506e+00,2.607485e+00,6.453581e+00
8,AGIS_Os01g000080, 2.988368e-01, 6.1339386045,2.035707e+00,1.927709e-01,0.590299094,Not_significant,4.422997e+01,7.575137e+01,6.678601e+01,6.709843e+01,6.904445e+01,7.753767e+01,7.530770e+01,8.538895e+01
12,AGIS_Os01g000120, 1.087431e+00, 0.8247739618,8.932112e-01,3.735356e-01,0.713389257,Not_significant,0.000000e+00,1.896418e+00,1.207886e+00,2.524439e+00,8.936271e-01,3.481667e+00,1.856176e+00,1.613395e+00
13,AGIS_Os01g000130,-3.385512e-01, 3.2418738938,9.866766e-01,3.506359e-01,0.698107875,Not_significant,1.239566e+01,1.032494e+01,8.757170e+00,1.029856e+01,6.161324e+00,8.139573e+00,9.899603e+00,9.035014e+00
14,AGIS_Os01g000140,-3.097227e-01, 4.3430288049,1.594174e+00,2.434968e-01,0.624649112,Not_significant,2.643469e+01,2.022846e+01,2.400673e+01,1.901935e+01,1.853100e+01,1.552635e+01,1.993179e+01,1.802969e+01
16,AGIS_Os01g000160, 6.834509e-01, 4.7864557951,3.981955e+00,8.276943e-02,0.477536421,Not_significant,9.390652e+00,3.122066e+01,1.580317e+01,3.215791e+01,3.536882e+01,3.975687e+01,2.085988e+01,3.553503e+01
17,AGIS_Os01g000170,-4.090792e-01, 3.5481468742,1.848713e+00,2.122736e-01,0.605484064,Not_significant,1.342863e+01,1.615467e+01,1.338740e+01,1.024119e+01,1.030023e+01,8.704168e+00,1.122544e+01,9.478697e+00
18,AGIS_Os01g000180, 2.134489e+00, 3.1140237988,2.915572e+01,7.368087e-04,0.062151227,Not_significant,1.596411e+00,4.038668e+00,2.617085e+00,3.298982e+00,5.314730e+00,2.587726e+01,1.723592e+01,8.672000e+00
19,AGIS_Os01g000190, 1.708049e+00, 4.7952548556,2.756957e+00,1.371936e-01,0.542176297,Not_significant,3.380635e+00,2.388082e+00,1.464561e+01,1.135997e+01,1.269891e+00,7.499699e+01,9.775858e+01,1.573060e+01
20,AGIS_Os01g000200, 6.181078e-01, 2.8294101362,2.220148e+00,1.760780e-01,0.577917636,Not_significant,3.662354e+00,4.635689e+00,6.794356e+00,4.934130e+00,2.821980e+00,8.892366e+00,1.754528e+01,6.937600e+00
28,AGIS_Os01g000280,-1.627620e+00,-0.0631041553,3.991354e-01,5.459717e-01,0.811333114,Not_significant,1.361645e+00,2.528558e+00,0.000000e+00,6.311097e-01,1.505056e+00,4.704955e-02,8.838931e-01,0.000000e+00
30,AGIS_Os01g000300, 1.216889e-01, 3.9467040554,1.480925e-01,7.107920e-01,0.890335366,Not_significant,2.037772e+01,1.239696e+01,1.872223e+01,8.663414e+00,1.528573e+01,1.275043e+01,1.816400e+01,1.637596e+01
31,AGIS_Os01g000310, 2.506172e-01, 3.3270914771,3.746962e-01,5.582291e-01,0.819103772,Not_significant,6.667363e+00,7.691029e+00,1.036768e+01,8.720788e+00,3.950772e+00,1.646734e+01,1.807561e+01,7.703963e+00
32,AGIS_Os01g000320,-2.042961e-02, 6.3829140924,9.717801e-03,9.239815e-01,0.975958305,Not_significant,6.352776e+01,8.800785e+01,1.176682e+02,7.074166e+01,7.482951e+01,8.605364e+01,9.170391e+01,7.445819e+01
33,AGIS_Os01g000330, 9.706979e-01, 3.9672057789,5.157357e+00,5.431842e-02,0.422472237,Not_significant,4.883139e+00,1.559277e+01,4.630228e+00,2.071187e+01,2.384573e+01,2.719464e+01,9.546046e+00,1.802969e+01
35,AGIS_Os01g000350,-1.920934e-01, 1.4773848111,1.145760e-01,7.440059e-01,0.904971089,Not_significant,4.319700e+00,1.826180e+00,2.415771e+00,3.069488e+00,3.151211e+00,3.011172e+00,1.900370e+00,1.936074e+00
36,AGIS_Os01g000360,-1.791435e+00, 4.1277227687,2.564162e+01,1.119122e-03,0.080786821,Not_significant,2.300710e+01,3.118554e+01,2.154063e+01,3.152680e+01,1.166419e+01,4.987253e+00,7.910844e+00,7.300614e+00
