GeneID	HPmycWT_1	HPmycWT_2	HPmycWT_3	HPmycWT_4	HPmycpho2_1	HPmycpho2_2	HPmycpho2_3	HPmycpho2_4
AGIS_Os01g000010	64	345	646	305	360	364	484	745
AGIS_Os01g000020	22	14	22	47	6	10	38	11
AGIS_Os01g000030	400	175	163	218	177	196	274	212
AGIS_Os01g000040	1104	1373	1103	1267	877	1247	1357	1493
AGIS_Os01g000050	382	361	326	456	256	499	542	673
AGIS_Os01g000060	5184	2354	2233	2567	2878	4836	4843	3983
AGIS_Os01g000070	182	195	168	214	121	151	164	202
AGIS_Os01g000080	1656	1570	1687	2102	1648	2825	2866	3325
AGIS_Os01g000090	0	0	0	0	0	0	0	8
AGIS_Os01g000100	0	0	0	0	0	0	0	0
AGIS_Os01g000110	0	4	14	42	25	0	6	3
AGIS_Os01g000120	71	39	142	18	68	38	61	71
AGIS_Os01g000130	236	260	149	175	129	177	296	192
AGIS_Os01g000140	718	299	379	496	400	417	564	518
AGIS_Os01g000150	0	0	0	0	0	0	0	0
AGIS_Os01g000160	348	649	934	932	583	798	884	1155
AGIS_Os01g000170	312	293	174	268	164	106	189	178
AGIS_Os01g000180	226	125	205	173	456	722	952	1155
AGIS_Os01g000190	1164	166	422	387	1349	3623	3077	2949
AGIS_Os01g000200	234	66	172	179	242	690	552	546
AGIS_Os01g000210	0	0	0	0	0	0	0	4
AGIS_Os01g000220	0	0	0	0	0	0	0	0
AGIS_Os01g000230	0	0	0	0	0	0	0	0
AGIS_Os01g000240	0	0	0	0	0	0	0	0
AGIS_Os01g000250	0	0	0	0	0	0	0	0
AGIS_Os01g000260	0	0	3	0	16	0	0	0
AGIS_Os01g000270	14	2	11	6	4	0	2	0
AGIS_Os01g000280	0	24	82	59	14	10	21	45
AGIS_Os01g000290	0	0	4	0	0	0	0	0
AGIS_Os01g000300	512	246	281	405	330	293	476	441
AGIS_Os01g000310	234	167	181	244	243	451	520	531
AGIS_Os01g000320	2633	1828	1556	2150	1427	2187	2292	2214
AGIS_Os01g000330	92	490	553	623	500	585	713	990
AGIS_Os01g000340	0	0	0	0	0	0	0	0
AGIS_Os01g000350	92	60	64	125	67	22	55	34
AGIS_Os01g000360	615	385	469	479	49	159	205	254
AGIS_Os01g000370	149	147	141	213	96	136	215	107
AGIS_Os01g000380	94	156	43	190	169	66	51	94
AGIS_Os01g000390	2936	1851	1429	2076	1125	1911	1889	1927
AGIS_Os01g000400	19	129	126	85	93	97	145	207
AGIS_Os01g000410	867	555	567	836	382	448	573	630
AGIS_Os01g000420	304	280	203	311	157	158	295	265
AGIS_Os01g000430	1104	849	687	956	513	595	665	632
AGIS_Os01g000440	1897	1140	962	1351	802	948	1018	916
AGIS_Os01g000450	166	286	199	302	205	233	209	208
AGIS_Os01g000460	0	0	4	0	11	0	17	34
AGIS_Os01g000470	11859	4878	4544	6356	3910	5275	6389	4671
AGIS_Os01g000480	0	0	0	0	0	0	0	0
AGIS_Os01g000490	0	0	0	0	0	0	0	0
AGIS_Os01g000500	114	205	269	131	142	206	263	338
AGIS_Os01g000510	0	0	0	0	0	0	0	0
AGIS_Os01g000520	227	574	679	550	416	532	495	835
AGIS_Os01g000530	2208	1394	1154	2471	736	1009	1394	1000
AGIS_Os01g000540	0	0	0	0	0	0	0	0
AGIS_Os01g000550	0	0	0	0	0	0	0	0
AGIS_Os01g000560	0	0	0	0	0	2	0	6
AGIS_Os01g000570	223	261	397	241	270	241	333	539
AGIS_Os01g000580	198	326	441	286	313	313	453	659
AGIS_Os01g000590	0	1	0	11	1	0	11	21
AGIS_Os01g000600	0	0	0	0	0	0	0	0
AGIS_Os01g000610	0	3	7	14	5	18	20	27
AGIS_Os01g000620	57	29	36	26	61	65	11	40
AGIS_Os01g000630	2685	2270	1616	2186	1434	2258	2789	2841
AGIS_Os01g000640	3343	1616	1434	2417	1530	2146	2286	2171
AGIS_Os01g000650	180	100	17	232	81	92	152	154
AGIS_Os01g000660	6081	2668	1100	2860	1519	1261	1301	913
AGIS_Os01g000670	444	416	293	510	301	266	278	257
