,genes,logFC,logCPM,F,PValue,FDR,change,CPM.HPmycWT_1,CPM.HPmycWT_2,CPM.HPmycWT_3,CPM.HPmycWT_4,CPM.HPmycpho2_1,CPM.HPmycpho2_2,CPM.HPmycpho2_3,CPM.HPmycpho2_4
1,AGIS_Os01g000010, 8.472229e-01, 4.1478234126,1.920320e+00,2.046844e-01,0.4803747077,Not_significant,2.160555e+00,1.539166e+01,3.157356e+01,1.127452e+01,1.958357e+01,1.518282e+01,1.882829e+01,2.723078e+01
2,AGIS_Os01g000020,-8.386064e-01,-0.0929318741,9.088936e-01,3.692627e-01,0.6312829067,Not_significant,7.426906e-01,6.245892e-01,1.075260e+00,1.737384e+00,3.263929e-01,4.171106e-01,1.478254e+00,4.020652e-01
3,AGIS_Os01g000030,-1.502745e-02, 3.2138282985,3.038050e-03,9.574419e-01,0.9800451581,Not_significant,1.350347e+01,7.807365e+00,7.966703e+00,8.058506e+00,9.628590e+00,8.175367e+00,1.065899e+01,7.748893e+00
4,AGIS_Os01g000040, 7.748137e-02, 5.6688642043,1.879671e-01,6.764576e-01,0.8380977320,Not_significant,3.726957e+01,6.125435e+01,5.390965e+01,4.683545e+01,4.770776e+01,5.201369e+01,5.278924e+01,5.457121e+01
5,AGIS_Os01g000050, 3.582890e-01, 4.1587928462,2.942575e+00,1.259280e-01,0.3763956674,Not_significant,1.289581e+01,1.610548e+01,1.593341e+01,1.685632e+01,1.392610e+01,2.081382e+01,2.108457e+01,2.459908e+01
6,AGIS_Os01g000060, 5.490715e-01, 7.2008784847,6.510931e+00,3.518640e-02,0.1811527011,Not_significant,1.750049e+02,1.050202e+02,1.091389e+02,9.489076e+01,1.565598e+02,2.017147e+02,1.883996e+02,1.455841e+02
7,AGIS_Os01g000070,-2.077236e-01, 2.8643792555,5.585093e-01,4.769754e-01,0.7100808522,Not_significant,6.144077e+00,8.699635e+00,8.211080e+00,7.910644e+00,6.582257e+00,6.298369e+00,6.379834e+00,7.383379e+00
8,AGIS_Os01g000080, 6.280744e-01, 6.5063416772,1.613333e+01,4.141060e-03,0.0465864584,Not_significant,5.590435e+01,7.004322e+01,8.245293e+01,7.770174e+01,8.964925e+01,1.178337e+02,1.114915e+02,1.215333e+02
12,AGIS_Os01g000120, 2.086923e-01, 1.4950042750,1.048742e-01,7.546892e-01,0.8804944785,Not_significant,2.396865e+00,1.739927e+00,6.940318e+00,6.653812e-01,3.699119e+00,1.585020e+00,2.372987e+00,2.595148e+00
13,AGIS_Os01g000130,-1.462779e-02, 3.0641666536,2.237222e-03,9.634776e-01,0.9831098950,Not_significant,7.967045e+00,1.159951e+01,7.282446e+00,6.468984e+00,7.017447e+00,7.382857e+00,1.151482e+01,7.017865e+00
14,AGIS_Os01g000140, 1.288175e-01, 4.2773344925,3.774428e-01,5.566194e-01,0.7637573883,Not_significant,2.423872e+01,1.333944e+01,1.852381e+01,1.833495e+01,2.175953e+01,1.739351e+01,2.194041e+01,1.893361e+01
16,AGIS_Os01g000160, 3.698334e-01, 5.0391115106,1.532717e+00,2.521691e-01,0.5300104726,Not_significant,1.174802e+01,2.895417e+01,4.564969e+01,3.445196e+01,3.171451e+01,3.328542e+01,3.438886e+01,4.221684e+01
17,AGIS_Os01g000170,-6.474861e-01, 3.1265504898,4.020527e+00,8.131989e-02,0.2978389388,Not_significant,1.053270e+01,1.307176e+01,8.504333e+00,9.906787e+00,8.921406e+00,4.421372e+00,7.352370e+00,6.506146e+00
18,AGIS_Os01g000180, 2.183563e+00, 4.3616309460,7.311386e+01,3.424093e-05,0.0023821301,UP,7.629458e+00,5.576689e+00,1.001947e+01,6.395053e+00,2.480586e+01,3.011538e+01,3.703416e+01,4.221684e+01
19,AGIS_Os01g000190, 2.672024e+00, 6.0615296860,2.712856e+01,9.232277e-04,0.0174360296,UP,3.929509e+01,7.405843e+00,2.062545e+01,1.430570e+01,7.338400e+01,1.511192e+02,1.196997e+02,1.077900e+02
20,AGIS_Os01g000200, 1.709018e+00, 3.7803194822,1.646637e+01,3.959414e-03,0.0454807373,UP,7.899528e+00,2.944492e+00,8.406582e+00,6.616847e+00,1.316451e+01,2.878063e+01,2.147359e+01,1.995705e+01
28,AGIS_Os01g000280,-3.646725e-01, 0.5229142924,7.343735e-02,7.935283e-01,0.9009566360,Not_significant,0.000000e+00,1.070724e+00,4.007789e+00,2.180972e+00,7.615834e-01,4.171106e-01,8.169300e-01,1.644812e+00
30,AGIS_Os01g000300, 1.865948e-01, 3.9358933717,7.460842e-01,4.137147e-01,0.6626051757,Not_significant,1.728444e+01,1.097492e+01,1.373401e+01,1.497108e+01,1.795161e+01,1.222134e+01,1.851708e+01,1.611916e+01
31,AGIS_Os01g000310, 1.094400e+00, 3.7218768823,2.151469e+01,1.828119e-03,0.0274841702,UP,7.899528e+00,7.450457e+00,8.846461e+00,9.019612e+00,1.321891e+01,1.881169e+01,2.022874e+01,1.940878e+01
32,AGIS_Os01g000320, 5.553892e-02, 6.3784466553,1.184990e-01,7.398445e-01,0.8734604480,Not_significant,8.888657e+01,8.155350e+01,7.605024e+01,7.947609e+01,7.762711e+01,9.122208e+01,8.916208e+01,8.092476e+01
33,AGIS_Os01g000330, 9.048817e-01, 4.5786827638,3.219097e+00,1.120425e-01,0.3539762537,Not_significant,3.105797e+00,2.186062e+01,2.702814e+01,2.302958e+01,2.719941e+01,2.440097e+01,2.773672e+01,3.618587e+01
35,AGIS_Os01g000350,-9.305541e-01, 1.4666462808,3.115143e+00,1.170843e-01,0.3623983992,Not_significant,3.105797e+00,2.676811e+00,3.128030e+00,4.620703e+00,3.644721e+00,9.176432e-01,2.139579e+00,1.242747e+00
36,AGIS_Os01g000360,-1.667171e+00, 3.7255082771,2.114553e+01,1.950308e-03,0.0287217768,DOWN,2.076158e+01,1.717620e+01,2.292260e+01,1.770653e+01,2.665542e+00,6.632058e+00,7.974793e+00,9.284051e+00
37,AGIS_Os01g000370,-2.178796e-01, 2.6490075221,4.220961e-01,5.347397e-01,0.7490242183,Not_significant,5.030041e+00,6.558187e+00,6.891442e+00,7.873678e+00,5.222286e+00,5.672704e+00,8.363807e+00,3.910998e+00
38,AGIS_Os01g000380,-2.602123e-01, 2.2175757279,2.304682e-01,6.445350e-01,0.8188117369,Not_significant,3.173315e+00,6.959708e+00,2.101645e+00,7.023469e+00,9.193400e+00,2.752930e+00,1.983973e+00,3.435830e+00
39,AGIS_Os01g000390,-1.981896e-01, 6.2616034219,1.142371e+00,3.175534e-01,0.5902477986,Not_significant,9.911544e+01,8.257961e+01,6.984305e+01,7.674064e+01,6.119867e+01,7.970983e+01,7.348480e+01,7.043451e+01
