library_name	sample_alias	sample_accession	study_accession	run_accession	experiment_accession
STUDY	Saskia_PHO2_AM_RNAseq		PRJEB125245		
r2310_1	Saskia_r2310_1	ERS31241328	PRJEB125245	ERR17796168	ERX17188148
r2310_2	Saskia_r2310_2	ERS31241329	PRJEB125245	ERR17796179	ERX17188159
r2310_3	Saskia_r2310_3	ERS31241330	PRJEB125245	ERR17796190	ERX17188170
r2310_4	Saskia_r2310_4	ERS31241331	PRJEB125245	ERR17796194	ERX17188174
r2310_5	Saskia_r2310_5	ERS31241332	PRJEB125245	ERR17796195	ERX17188175
r2310_6	Saskia_r2310_6	ERS31241333	PRJEB125245	ERR17796196	ERX17188176
r2310_7	Saskia_r2310_7	ERS31241334	PRJEB125245	ERR17796197	ERX17188177
r2310_8	Saskia_r2310_8	ERS31241335	PRJEB125245	ERR17796198	ERX17188178
r2310_9	Saskia_r2310_9	ERS31241336	PRJEB125245	ERR17796199	ERX17188179
r2310_10	Saskia_r2310_10	ERS31241337	PRJEB125245	ERR17796169	ERX17188149
r2310_11	Saskia_r2310_11	ERS31241338	PRJEB125245	ERR17796170	ERX17188150
r2310_12	Saskia_r2310_12	ERS31241339	PRJEB125245	ERR17796171	ERX17188151
r2310_13	Saskia_r2310_13	ERS31241340	PRJEB125245	ERR17796172	ERX17188152
r2310_14	Saskia_r2310_14	ERS31241341	PRJEB125245	ERR17796173	ERX17188153
r2310_15	Saskia_r2310_15	ERS31241342	PRJEB125245	ERR17796174	ERX17188154
r2310_16	Saskia_r2310_16	ERS31241343	PRJEB125245	ERR17796175	ERX17188155
r2310_17	Saskia_r2310_17	ERS31241344	PRJEB125245	ERR17796176	ERX17188156
r2310_18	Saskia_r2310_18	ERS31241345	PRJEB125245	ERR17796177	ERX17188157
r2310_19	Saskia_r2310_19	ERS31241346	PRJEB125245	ERR17796178	ERX17188158
r2310_20	Saskia_r2310_20	ERS31241347	PRJEB125245	ERR17796180	ERX17188160
r2310_21	Saskia_r2310_21	ERS31241348	PRJEB125245	ERR17796181	ERX17188161
r2310_22	Saskia_r2310_22	ERS31241349	PRJEB125245	ERR17796182	ERX17188162
r2310_23	Saskia_r2310_23	ERS31241350	PRJEB125245	ERR17796183	ERX17188163
r2310_24	Saskia_r2310_24	ERS31241351	PRJEB125245	ERR17796184	ERX17188164
r2310_25	Saskia_r2310_25	ERS31241352	PRJEB125245	ERR17796185	ERX17188165
r2310_26	Saskia_r2310_26	ERS31241353	PRJEB125245	ERR17796186	ERX17188166
r2310_27	Saskia_r2310_27	ERS31241354	PRJEB125245	ERR17796187	ERX17188167
r2310_28	Saskia_r2310_28	ERS31241355	PRJEB125245	ERR17796188	ERX17188168
r2310_29	Saskia_r2310_29	ERS31241356	PRJEB125245	ERR17796189	ERX17188169
r2310_30	Saskia_r2310_30	ERS31241357	PRJEB125245	ERR17796191	ERX17188171
r2310_31	Saskia_r2310_31	ERS31241358	PRJEB125245	ERR17796192	ERX17188172
r2310_32	Saskia_r2310_32	ERS31241359	PRJEB125245	ERR17796193	ERX17188173
