library_name	sample_alias	genotype	phosphate	inoculation	replicate	ERS	SAMEA	ERR	ERX	PRJEB
r2310_1	Saskia_r2310_1	WT	LP 25uM	mock	1	ERS31241328	SAMEA123420480	ERR17796168	ERX17188148	PRJEB125245
r2310_2	Saskia_r2310_2	WT	LP 25uM	mock	2	ERS31241329	SAMEA123420481	ERR17796179	ERX17188159	PRJEB125245
r2310_3	Saskia_r2310_3	WT	LP 25uM	mock	3	ERS31241330	SAMEA123420482	ERR17796190	ERX17188170	PRJEB125245
r2310_4	Saskia_r2310_4	WT	LP 25uM	mock	4	ERS31241331	SAMEA123420483	ERR17796194	ERX17188174	PRJEB125245
r2310_5	Saskia_r2310_5	WT	LP 25uM	myc	1	ERS31241332	SAMEA123420484	ERR17796195	ERX17188175	PRJEB125245
r2310_6	Saskia_r2310_6	WT	LP 25uM	myc	2	ERS31241333	SAMEA123420485	ERR17796196	ERX17188176	PRJEB125245
r2310_7	Saskia_r2310_7	WT	LP 25uM	myc	3	ERS31241334	SAMEA123420486	ERR17796197	ERX17188177	PRJEB125245
r2310_8	Saskia_r2310_8	WT	LP 25uM	myc	4	ERS31241335	SAMEA123420487	ERR17796198	ERX17188178	PRJEB125245
r2310_9	Saskia_r2310_9	pho2	LP 25uM	mock	1	ERS31241336	SAMEA123420488	ERR17796199	ERX17188179	PRJEB125245
r2310_10	Saskia_r2310_10	pho2	LP 25uM	mock	2	ERS31241337	SAMEA123420489	ERR17796169	ERX17188149	PRJEB125245
r2310_11	Saskia_r2310_11	pho2	LP 25uM	mock	3	ERS31241338	SAMEA123420490	ERR17796170	ERX17188150	PRJEB125245
r2310_12	Saskia_r2310_12	pho2	LP 25uM	mock	4	ERS31241339	SAMEA123420491	ERR17796171	ERX17188151	PRJEB125245
r2310_13	Saskia_r2310_13	pho2	LP 25uM	myc	1	ERS31241340	SAMEA123420492	ERR17796172	ERX17188152	PRJEB125245
r2310_14	Saskia_r2310_14	pho2	LP 25uM	myc	2	ERS31241341	SAMEA123420493	ERR17796173	ERX17188153	PRJEB125245
r2310_15	Saskia_r2310_15	pho2	LP 25uM	myc	3	ERS31241342	SAMEA123420494	ERR17796174	ERX17188154	PRJEB125245
r2310_16	Saskia_r2310_16	pho2	LP 25uM	myc	4	ERS31241343	SAMEA123420495	ERR17796175	ERX17188155	PRJEB125245
r2310_17	Saskia_r2310_17	WT	HP 250uM	mock	1	ERS31241344	SAMEA123420496	ERR17796176	ERX17188156	PRJEB125245
r2310_18	Saskia_r2310_18	WT	HP 250uM	mock	2	ERS31241345	SAMEA123420497	ERR17796177	ERX17188157	PRJEB125245
r2310_19	Saskia_r2310_19	WT	HP 250uM	mock	3	ERS31241346	SAMEA123420498	ERR17796178	ERX17188158	PRJEB125245
r2310_20	Saskia_r2310_20	WT	HP 250uM	mock	4	ERS31241347	SAMEA123420499	ERR17796180	ERX17188160	PRJEB125245
r2310_21	Saskia_r2310_21	WT	HP 250uM	myc	1	ERS31241348	SAMEA123420500	ERR17796181	ERX17188161	PRJEB125245
r2310_22	Saskia_r2310_22	WT	HP 250uM	myc	2	ERS31241349	SAMEA123420501	ERR17796182	ERX17188162	PRJEB125245
r2310_23	Saskia_r2310_23	WT	HP 250uM	myc	3	ERS31241350	SAMEA123420502	ERR17796183	ERX17188163	PRJEB125245
r2310_24	Saskia_r2310_24	WT	HP 250uM	myc	4	ERS31241351	SAMEA123420503	ERR17796184	ERX17188164	PRJEB125245
r2310_25	Saskia_r2310_25	pho2	HP 250uM	mock	1	ERS31241352	SAMEA123420504	ERR17796185	ERX17188165	PRJEB125245
r2310_26	Saskia_r2310_26	pho2	HP 250uM	mock	2	ERS31241353	SAMEA123420505	ERR17796186	ERX17188166	PRJEB125245
r2310_27	Saskia_r2310_27	pho2	HP 250uM	mock	3	ERS31241354	SAMEA123420506	ERR17796187	ERX17188167	PRJEB125245
r2310_28	Saskia_r2310_28	pho2	HP 250uM	mock	4	ERS31241355	SAMEA123420507	ERR17796188	ERX17188168	PRJEB125245
r2310_29	Saskia_r2310_29	pho2	HP 250uM	myc	1	ERS31241356	SAMEA123420508	ERR17796189	ERX17188169	PRJEB125245
r2310_30	Saskia_r2310_30	pho2	HP 250uM	myc	2	ERS31241357	SAMEA123420509	ERR17796191	ERX17188171	PRJEB125245
r2310_31	Saskia_r2310_31	pho2	HP 250uM	myc	3	ERS31241358	SAMEA123420510	ERR17796192	ERX17188172	PRJEB125245
r2310_32	Saskia_r2310_32	pho2	HP 250uM	myc	4	ERS31241359	SAMEA123420511	ERR17796193	ERX17188173	PRJEB125245
