library_name	sample_alias	study_alias	genotype	phosphate	phosphate_uM	inoculation	replicate	concatenated_lanes	instrument	library_source	library_selection	library_strategy	layout	fq1	fq1_md5	fq1_bytes	fq2	fq2_md5	fq2_bytes	fq1_src	fq2_src	sample_title	sample_description	md5_source	study_accession	sample_accession
r2310_1	Saskia_r2310_1	Saskia_PHO2_AM_RNAseq	WT	LP	25	mock	1	yes	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_1_EKRN230074688-1A_1.fq.gz	79ef2126eb945555efb3cf1d4d5488a7	1577689853	r2310_1_EKRN230074688-1A_2.fq.gz	43d7c1ab0552193923f1e706537a1fa9	1605744820	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_1/r2310_1_EKRN230074688-1A_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_1/r2310_1_EKRN230074688-1A_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 1	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 1 (experimental batch 1). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_1. This library was sequenced on two NovaSeq 6000 flow cells (HWT7HDSX7 and H2WFLDSXC); the two lanes were concatenated into a single FASTQ pair before submission.	computed	PRJEB125245	ERS31241328
r2310_2	Saskia_r2310_2	Saskia_PHO2_AM_RNAseq	WT	LP	25	mock	2	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_2_EKRN230074689-1A_HWT7HDSX7_L2_1.fq.gz	98e2c3e344d31c317272c476c9077ed9	2527252556	r2310_2_EKRN230074689-1A_HWT7HDSX7_L2_2.fq.gz	a8477e9d8c06e12fcec9fc888dd05c12	2593537353	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_2/r2310_2_EKRN230074689-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_2/r2310_2_EKRN230074689-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 2	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 2 (experimental batch 2). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_2.	novogene	PRJEB125245	ERS31241329
r2310_3	Saskia_r2310_3	Saskia_PHO2_AM_RNAseq	WT	LP	25	mock	3	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_3_EKRN230074690-1A_HWT7HDSX7_L2_1.fq.gz	8e07cb981a798a5d13553bb2ebf4f823	2932195085	r2310_3_EKRN230074690-1A_HWT7HDSX7_L2_2.fq.gz	f9e648dd80ba0f595178fc61d4f6ea12	2990552258	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_3/r2310_3_EKRN230074690-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_3/r2310_3_EKRN230074690-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 3	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 3 (experimental batch 3). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_3.	novogene	PRJEB125245	ERS31241330
r2310_4	Saskia_r2310_4	Saskia_PHO2_AM_RNAseq	WT	LP	25	mock	4	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_4_EKRN230074691-1A_HWT7HDSX7_L2_1.fq.gz	da4b12a29b6a207d5c607dcbe9335388	2330613534	r2310_4_EKRN230074691-1A_HWT7HDSX7_L2_2.fq.gz	0bc6b89112bb4700b2eeb8e2aa7cb269	2401946904	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_4/r2310_4_EKRN230074691-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_4/r2310_4_EKRN230074691-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 4	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 4 (experimental batch 4). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_4.	novogene	PRJEB125245	ERS31241331
r2310_5	Saskia_r2310_5	Saskia_PHO2_AM_RNAseq	WT	LP	25	myc	1	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_5_EKRN230074692-1A_HWT7HDSX7_L2_1.fq.gz	c052000782b80a70572253ad536f9e27	2183784849	r2310_5_EKRN230074692-1A_HWT7HDSX7_L2_2.fq.gz	a768b9e7ed5fd4744a5a88b5f4f48ef8	2227472883	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_5/r2310_5_EKRN230074692-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_5/r2310_5_EKRN230074692-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 1	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 1 (experimental batch 1). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_5.	novogene	PRJEB125245	ERS31241332
r2310_6	Saskia_r2310_6	Saskia_PHO2_AM_RNAseq	WT	LP	25	myc	2	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_6_EKRN230074693-1A_HWT7HDSX7_L2_1.fq.gz	500d8c2515684cd33a15e202fb8e2423	1560229913	r2310_6_EKRN230074693-1A_HWT7HDSX7_L2_2.fq.gz	f98fc5010d89d5e903272195b21ec36a	1577634068	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_6/r2310_6_EKRN230074693-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_6/r2310_6_EKRN230074693-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 2	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 2 (experimental batch 2). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_6.	novogene	PRJEB125245	ERS31241333
r2310_7	Saskia_r2310_7	Saskia_PHO2_AM_RNAseq	WT	LP	25	myc	3	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_7_EKRN230074694-1A_HWT7HDSX7_L2_1.fq.gz	9083b72010aeae3136ce56c679698539	2730787475	r2310_7_EKRN230074694-1A_HWT7HDSX7_L2_2.fq.gz	880e38101b6f24bd30f11cf8760dfe6c	2785929751	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_7/r2310_7_EKRN230074694-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_7/r2310_7_EKRN230074694-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 3	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 3 (experimental batch 3). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_7.	novogene	PRJEB125245	ERS31241334
r2310_8	Saskia_r2310_8	Saskia_PHO2_AM_RNAseq	WT	LP	25	myc	4	yes	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_8_EKRN230074695-1A_1.fq.gz	5ff17d67f57124ef58f67af901617cf3	1686886344	r2310_8_EKRN230074695-1A_2.fq.gz	dbb348fc7ab0244ea33cd2d21ea2ff8c	1716523884	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_8/r2310_8_EKRN230074695-1A_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_8/r2310_8_EKRN230074695-1A_2.fq.gz	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 4	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 4 (experimental batch 4). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_8. This library was sequenced on two NovaSeq 6000 flow cells (HWT7HDSX7 and H2WFLDSXC); the two lanes were concatenated into a single FASTQ pair before submission.	computed	PRJEB125245	ERS31241335
r2310_9	Saskia_r2310_9	Saskia_PHO2_AM_RNAseq	pho2	LP	25	mock	1	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_9_EKRN230074696-1A_HWT7HDSX7_L2_1.fq.gz	507865f4748088d44507789625a6cc3a	2427480370	r2310_9_EKRN230074696-1A_HWT7HDSX7_L2_2.fq.gz	1482473071502e22c207010146a8e254	2498915292	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_9/r2310_9_EKRN230074696-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_01/01.RawData/r2310_9/r2310_9_EKRN230074696-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare pho2 root, low phosphate (25 uM), mock inoculation (water), replicate 1	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: pho2 Tos17 insertion mutant of OsPHO2 (LOC_Os05g48390); allele not distinguished between pho2-1 (NF2586) and pho2-2 (NE9017). Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 1 (experimental batch 1). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_9.	novogene	PRJEB125245	ERS31241336
r2310_10	Saskia_r2310_10	Saskia_PHO2_AM_RNAseq	pho2	LP	25	mock	2	no	Illumina NovaSeq 6000	TRANSCRIPTOMIC	Oligo-dT	RNA-Seq	PAIRED	r2310_10_EKRN230074697-1A_HWT7HDSX7_L2_1.fq.gz	4a2b8e09d5ee1e9b00089a074008054f	2216790029	r2310_10_EKRN230074697-1A_HWT7HDSX7_L2_2.fq.gz	70583c556a11beb52c8cfbd62e00d4b3	2275094223	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_10/r2310_10_EKRN230074697-1A_HWT7HDSX7_L2_1.fq.gz	/rds/user/cx264/hpc-work/project/2.Jeongmin/01.Saskia/1.data/X204SC23091440-Z01-F002_02/01.RawData/r2310_10/r2310_10_EKRN230074697-1A_HWT7HDSX7_L2_2.fq.gz	Oryza sativa Nipponbare pho2 root, low phosphate (25 uM), mock inoculation (water), replicate 2	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: pho2 Tos17 insertion mutant of OsPHO2 (LOC_Os05g48390); allele not distinguished between pho2-1 (NF2586) and pho2-2 (NE9017). Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 2 (experimental batch 2). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_10.	novogene	PRJEB125245	ERS31241337
