#checklist_accession	ERC000037
# Paste these rows into the Webin Portal 'Submit Samples' spreadsheet after selecting ENA Plant Sample Checklist (ERC000037). Keep sample_alias exactly as written. Hold date is set on the STUDY, not here.
sample_alias	tax_id	scientific_name	common_name	sample_title	sample_description	collection date	geographic location (country and/or sea)	geographic location (region and locality)	cultivar	genotype	organism part	isolation_source	infect	collected_by
Saskia_r2310_1	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 1	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 1 (experimental batch 1). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_1. This library was sequenced on two NovaSeq 6000 flow cells (HWT7HDSX7 and H2WFLDSXC); the two lanes were concatenated into a single FASTQ pair before submission.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	none	Jeongmin Choi
Saskia_r2310_2	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 2	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 2 (experimental batch 2). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_2.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	none	Jeongmin Choi
Saskia_r2310_3	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 3	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 3 (experimental batch 3). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_3.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	none	Jeongmin Choi
Saskia_r2310_4	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), mock inoculation (water), replicate 4	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 4 (experimental batch 4). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_4.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	none	Jeongmin Choi
Saskia_r2310_5	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 1	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 1 (experimental batch 1). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_5.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	Rhizophagus irregularis	Jeongmin Choi
Saskia_r2310_6	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 2	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 2 (experimental batch 2). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_6.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	Rhizophagus irregularis	Jeongmin Choi
Saskia_r2310_7	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 3	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 3 (experimental batch 3). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_7.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	Rhizophagus irregularis	Jeongmin Choi
Saskia_r2310_8	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare WT root, low phosphate (25 uM), Rhizophagus irregularis (600 spores), replicate 4	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: wild type. Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Inoculated with 600 freshly extracted Rhizophagus irregularis spores from hairy carrot root organ cultures. Biological replicate 4 (experimental batch 4). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_8. This library was sequenced on two NovaSeq 6000 flow cells (HWT7HDSX7 and H2WFLDSXC); the two lanes were concatenated into a single FASTQ pair before submission.	2023-10	United Kingdom	Cambridge	Nipponbare	wild type	root	root	Rhizophagus irregularis	Jeongmin Choi
Saskia_r2310_9	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare pho2 root, low phosphate (25 uM), mock inoculation (water), replicate 1	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: pho2 Tos17 insertion mutant of OsPHO2 (LOC_Os05g48390); allele not distinguished between pho2-1 (NF2586) and pho2-2 (NE9017). Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 1 (experimental batch 1). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_9.	2023-10	United Kingdom	Cambridge	Nipponbare	pho2	root	root	none	Jeongmin Choi
Saskia_r2310_10	39947	Oryza sativa Japonica Group	rice	Oryza sativa Nipponbare pho2 root, low phosphate (25 uM), mock inoculation (water), replicate 2	Rice (Oryza sativa L. ssp. Japonica cv. Nipponbare) root RNA-seq. Genotype: pho2 Tos17 insertion mutant of OsPHO2 (LOC_Os05g48390); allele not distinguished between pho2-1 (NF2586) and pho2-2 (NE9017). Grown in autoclaved silica 14/25 sand in a CONVIRON EVO chamber (12 h light/12 h dark, 350 uE m-2 s-1, 28/20 C, 65% RH). Seedlings watered with RO water for one week, then fertilised twice weekly with half-strength Hoagland solution at 25 uM phosphate (LP) plus 0.01% (w/v) Sequestrene Rapid iron supplement. Mock inoculated with RO water. Biological replicate 2 (experimental batch 2). Organism part: root. Collection date: 2023-10. Geographic location: United Kingdom (Crop Science Centre, University of Cambridge). mRNA library (oligo-dT), 150 bp paired-end, Illumina NovaSeq 6000, Novogene (Cambridge, UK). Library name: r2310_10.	2023-10	United Kingdom	Cambridge	Nipponbare	pho2	root	root	none	Jeongmin Choi
