library_name	filename	local_bytes	status	utc	note
r2310_10	r2310_10_EKRN230074697-1A_HWT7HDSX7_L2_1.fq.gz	2216790029	done	2026-09-05T10:15:22Z	41.9MB/s
r2310_10	r2310_10_EKRN230074697-1A_HWT7HDSX7_L2_2.fq.gz	2275094223	done	2026-09-05T10:16:19Z	39.8MB/s
r2310_11	r2310_11_EKRN230074698-1A_HWT7HDSX7_L2_1.fq.gz	2196342523	done	2026-09-05T10:17:20Z	35.6MB/s
r2310_11	r2310_11_EKRN230074698-1A_HWT7HDSX7_L2_2.fq.gz	2253360781	done	2026-09-05T10:18:19Z	38.4MB/s
r2310_12	r2310_12_EKRN230074699-1A_HWT7HDSX7_L2_1.fq.gz	2026495628	done	2026-09-05T10:19:09Z	40.7MB/s
r2310_12	r2310_12_EKRN230074699-1A_HWT7HDSX7_L2_2.fq.gz	2047216359	done	2026-09-05T10:20:04Z	37.0MB/s
r2310_13	r2310_13_EKRN230074700-1A_HWT7HDSX7_L2_1.fq.gz	2174895617	done	2026-09-05T10:21:25Z	27.0MB/s
r2310_13	r2310_13_EKRN230074700-1A_HWT7HDSX7_L2_2.fq.gz	2206495806	done	2026-09-05T10:22:24Z	37.7MB/s
r2310_14	r2310_14_EKRN230074701-1A_HWT7HDSX7_L2_1.fq.gz	2540302187	done	2026-09-05T10:23:26Z	40.5MB/s
r2310_14	r2310_14_EKRN230074701-1A_HWT7HDSX7_L2_2.fq.gz	2576515098	done	2026-09-05T10:24:25Z	43.8MB/s
r2310_15	r2310_15_EKRN230074702-1A_HWT7HDSX7_L2_1.fq.gz	2299508684	done	2026-09-05T10:25:26Z	37.5MB/s
r2310_15	r2310_15_EKRN230074702-1A_HWT7HDSX7_L2_2.fq.gz	2329230475	done	2026-09-05T10:26:24Z	40.2MB/s
r2310_16	r2310_16_EKRN230074703-1A_HWT7HDSX7_L2_1.fq.gz	2307853776	done	2026-09-05T10:27:45Z	28.5MB/s
r2310_16	r2310_16_EKRN230074703-1A_HWT7HDSX7_L2_2.fq.gz	2359083602	done	2026-09-05T10:28:47Z	38.6MB/s
r2310_17	r2310_17_EKRN230074704-1A_HWT7HDSX7_L2_1.fq.gz	2563629102	done	2026-09-05T10:29:43Z	45.3MB/s
r2310_17	r2310_17_EKRN230074704-1A_HWT7HDSX7_L2_2.fq.gz	2620697206	done	2026-09-05T10:30:43Z	43.7MB/s
r2310_18	r2310_18_EKRN230074705-1A_HWT7HDSX7_L2_1.fq.gz	2430908342	done	2026-09-05T10:31:47Z	38.3MB/s
r2310_18	r2310_18_EKRN230074705-1A_HWT7HDSX7_L2_2.fq.gz	2463260936	done	2026-09-05T10:32:58Z	34.7MB/s
r2310_19	r2310_19_EKRN230074706-1A_1.fq.gz	1665442899	done	2026-09-05T10:33:40Z	39.6MB/s
r2310_19	r2310_19_EKRN230074706-1A_2.fq.gz	1690444888	done	2026-09-05T10:34:10Z	56.6MB/s
r2310_1	r2310_1_EKRN230074688-1A_1.fq.gz	1577689853	done	2026-09-05T09:59:10Z	33.7MB/s
r2310_1	r2310_1_EKRN230074688-1A_2.fq.gz	1605744820	done	2026-09-05T09:59:49Z	40.7MB/s
r2310_20	r2310_20_EKRN230074707-1A_HWT7HDSX7_L2_1.fq.gz	2823161230	done	2026-09-05T10:35:09Z	47.7MB/s
r2310_20	r2310_20_EKRN230074707-1A_HWT7HDSX7_L2_2.fq.gz	2902601195	done	2026-09-05T10:36:12Z	46.0MB/s
r2310_21	r2310_21_EKRN230074708-1A_HWT7HDSX7_L2_1.fq.gz	3152907361	done	2026-09-05T10:37:47Z	33.4MB/s
r2310_21	r2310_21_EKRN230074708-1A_HWT7HDSX7_L2_2.fq.gz	3253740615	done	2026-09-05T10:39:23Z	33.8MB/s
r2310_22	r2310_22_EKRN230074709-1A_HWT7HDSX7_L3_1.fq.gz	1979058035	done	2026-09-05T10:40:32Z	28.6MB/s
r2310_22	r2310_22_EKRN230074709-1A_HWT7HDSX7_L3_2.fq.gz	2014422235	done	2026-09-05T10:41:53Z	24.8MB/s
r2310_23	r2310_23_EKRN230074710-1A_1.fq.gz	1590686849	done	2026-09-05T10:42:40Z	33.8MB/s
r2310_23	r2310_23_EKRN230074710-1A_2.fq.gz	1631745333	done	2026-09-05T10:43:34Z	30.8MB/s
r2310_24	r2310_24_EKRN230074711-1A_HWT7HDSX7_L2_1.fq.gz	2455230639	done	2026-09-05T10:44:47Z	33.3MB/s
r2310_24	r2310_24_EKRN230074711-1A_HWT7HDSX7_L2_2.fq.gz	2517976664	done	2026-09-05T10:46:19Z	27.4MB/s
r2310_25	r2310_25_EKRN230074712-1A_HWT7HDSX7_L2_1.fq.gz	1959063518	done	2026-09-05T10:48:51Z	12.9MB/s
r2310_25	r2310_25_EKRN230074712-1A_HWT7HDSX7_L2_2.fq.gz	2028469351	done	2026-09-05T10:50:29Z	20.9MB/s
r2310_26	r2310_26_EKRN230074713-1A_HWT7HDSX7_L2_1.fq.gz	1772497839	done	2026-09-05T10:51:55Z	20.6MB/s
r2310_26	r2310_26_EKRN230074713-1A_HWT7HDSX7_L2_2.fq.gz	1835011400	done	2026-09-05T10:52:46Z	35.6MB/s
r2310_27	r2310_27_EKRN230074714-1A_HWT7HDSX7_L2_1.fq.gz	2267364340	done	2026-09-05T10:54:23Z	23.4MB/s
r2310_27	r2310_27_EKRN230074714-1A_HWT7HDSX7_L2_2.fq.gz	2296916325	done	2026-09-05T10:56:25Z	18.8MB/s
r2310_28	r2310_28_EKRN230074715-1A_HWT7HDSX7_L2_1.fq.gz	2395217297	done	2026-09-05T10:58:14Z	22.0MB/s
r2310_28	r2310_28_EKRN230074715-1A_HWT7HDSX7_L2_2.fq.gz	2467120341	done	2026-09-05T10:59:45Z	27.0MB/s
r2310_29	r2310_29_EKRN230074716-1A_HWT7HDSX7_L2_1.fq.gz	1882302909	done	2026-09-05T11:01:10Z	22.2MB/s
r2310_29	r2310_29_EKRN230074716-1A_HWT7HDSX7_L2_2.fq.gz	1933334436	done	2026-09-05T11:02:40Z	21.3MB/s
r2310_2	r2310_2_EKRN230074689-1A_HWT7HDSX7_L2_1.fq.gz	2527252556	done	2026-09-05T10:00:43Z	46.5MB/s
r2310_2	r2310_2_EKRN230074689-1A_HWT7HDSX7_L2_2.fq.gz	2593537353	done	2026-09-05T10:01:46Z	41.2MB/s
