library_name	success	ERR	ERX	ERA	receipt
r2310_1	true	ERR17796168	ERX17188148	ERA36946321	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_1/receipt.xml
r2310_10	true	ERR17796169	ERX17188149	ERA36946322	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_10/receipt.xml
r2310_11	true	ERR17796170	ERX17188150	ERA36946323	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_11/receipt.xml
r2310_12	true	ERR17796171	ERX17188151	ERA36946324	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_12/receipt.xml
r2310_13	true	ERR17796172	ERX17188152	ERA36946325	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_13/receipt.xml
r2310_14	true	ERR17796173	ERX17188153	ERA36946326	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_14/receipt.xml
r2310_15	true	ERR17796174	ERX17188154	ERA36946327	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_15/receipt.xml
r2310_16	true	ERR17796175	ERX17188155	ERA36946328	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_16/receipt.xml
r2310_17	true	ERR17796176	ERX17188156	ERA36946329	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_17/receipt.xml
r2310_18	true	ERR17796177	ERX17188157	ERA36946330	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_18/receipt.xml
r2310_19	true	ERR17796178	ERX17188158	ERA36946331	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_19/receipt.xml
r2310_2	true	ERR17796179	ERX17188159	ERA36946332	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_2/receipt.xml
r2310_20	true	ERR17796180	ERX17188160	ERA36946333	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_20/receipt.xml
r2310_21	true	ERR17796181	ERX17188161	ERA36946334	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_21/receipt.xml
r2310_22	true	ERR17796182	ERX17188162	ERA36946335	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_22/receipt.xml
r2310_23	true	ERR17796183	ERX17188163	ERA36946336	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_23/receipt.xml
r2310_24	true	ERR17796184	ERX17188164	ERA36946337	/home/cx264/rds/hpc-work/project/2.Jeongmin/01.Saskia/1.data/ENA_submit/xml/runs/r2310_24/receipt.xml
